Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
EQUINX901,0,1348,1529.0,NYC Hudson Yards,,,,,,,,,
EQUINX001,0,1361.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX001,1,1225.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX001,2,1226.515625,2092.5,NYC Hudson Yards,,,,,,,,,
EQUINX001,3,1363.515625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX002,0,1225.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX002,1,1051.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX002,2,1050.015625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX002,3,1226.515625,2092.5,NYC Hudson Yards,,,,,,,,,
EQUINX003,0,1051.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX003,1,927.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX003,2,927.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX003,3,1050.015625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX004,0,927.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX004,1,795.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX004,2,796.515625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX004,3,927.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX005,0,795.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX005,1,560.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX005,2,560.515625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX005,3,796.515625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX006,0,560.515625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX006,1,433.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX006,2,433.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX006,3,560.515625,2093.5,NYC Hudson Yards,,,,,,,,,
EQUINX007,0,433.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX007,1,259.015625,1927.5,NYC Hudson Yards,,,,,,,,,
EQUINX007,2,259.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX007,3,433.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX008,0,1010.015625,1829.5,NYC Hudson Yards,,,,,,,,,
EQUINX008,1,1113.015625,1829.5,NYC Hudson Yards,,,,,,,,,
EQUINX008,2,1113.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX008,3,1029.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX008,4,1029.015625,1754.5,NYC Hudson Yards,,,,,,,,,
EQUINX008,5,1011.015625,1754.5,NYC Hudson Yards,,,,,,,,,
EQUINX009,0,1113.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX009,1,975.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX009,2,975.015625,1593.5,NYC Hudson Yards,,,,,,,,,
EQUINX009,3,1113.015625,1593.5,NYC Hudson Yards,,,,,,,,,
EQUINX010,0,975.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX010,1,830.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX010,2,830.015625,1594.5,NYC Hudson Yards,,,,,,,,,
EQUINX010,3,975.015625,1593.5,NYC Hudson Yards,,,,,,,,,
EQUINX011,0,830.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX011,1,830.015625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX011,2,948.015625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX011,3,948.015625,1754.5,NYC Hudson Yards,,,,,,,,,
EQUINX011,4,923.015625,1754.5,NYC Hudson Yards,,,,,,,,,
EQUINX011,5,923.015625,1701.5,NYC Hudson Yards,,,,,,,,,
EQUINX012,0,830.015625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX012,1,680.015625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX012,2,680.015625,1754.5,NYC Hudson Yards,,,,,,,,,
EQUINX012,3,705.015625,1754.5,NYC Hudson Yards,,,,,,,,,
EQUINX012,4,705.015625,1703.5,NYC Hudson Yards,,,,,,,,,
EQUINX012,5,830.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX013,0,830.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX013,1,653.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX013,2,653.015625,1592.5,NYC Hudson Yards,,,,,,,,,
EQUINX013,3,830.015625,1594.5,NYC Hudson Yards,,,,,,,,,
EQUINX014,0,653.015625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX014,1,456.515625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX014,2,456.515625,1590.5,NYC Hudson Yards,,,,,,,,,
EQUINX014,3,653.015625,1592.5,NYC Hudson Yards,,,,,,,,,
EQUINX015,0,456.515625,1702.5,NYC Hudson Yards,,,,,,,,,
EQUINX015,1,456.515625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX015,2,627.015625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX015,3,627.015625,1755.5,NYC Hudson Yards,,,,,,,,,
EQUINX015,4,602.015625,1755.5,NYC Hudson Yards,,,,,,,,,
EQUINX015,5,602.015625,1701.5,NYC Hudson Yards,,,,,,,,,
EQUINX016,0,456.515625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX016,1,322.015625,1864.5,NYC Hudson Yards,,,,,,,,,
EQUINX016,2,322.015625,1775.5,NYC Hudson Yards,,,,,,,,,
EQUINX016,3,457.015625,1775.5,NYC Hudson Yards,,,,,,,,,
EQUINX017,0,322.015625,1775.5,NYC Hudson Yards,,,,,,,,,
EQUINX017,1,322.015625,1687.5,NYC Hudson Yards,,,,,,,,,
EQUINX017,2,457.015625,1687.5,NYC Hudson Yards,,,,,,,,,
EQUINX017,3,457.015625,1775.5,NYC Hudson Yards,,,,,,,,,
EQUINX018,0,322.015625,1687.5,NYC Hudson Yards,,,,,,,,,
EQUINX018,1,322.015625,1568.5,NYC Hudson Yards,,,,,,,,,
EQUINX018,2,455.015625,1568.5,NYC Hudson Yards,,,,,,,,,
EQUINX018,3,457.015625,1687.5,NYC Hudson Yards,,,,,,,,,
EQUINX019,0,322.015625,1568.5,NYC Hudson Yards,,,,,,,,,
EQUINX019,1,322.015625,1473.5,NYC Hudson Yards,,,,,,,,,
EQUINX019,2,456.015625,1473.0,NYC Hudson Yards,,,,,,,,,
EQUINX019,3,455.015625,1568.5,NYC Hudson Yards,,,,,,,,,
EQUINX020,0,322.015625,1473.5,NYC Hudson Yards,,,,,,,,,
EQUINX020,1,322.015625,1379.0,NYC Hudson Yards,,,,,,,,,
EQUINX020,2,455.015625,1379.0,NYC Hudson Yards,,,,,,,,,
EQUINX020,3,456.015625,1473.0,NYC Hudson Yards,,,,,,,,,
EQUINX021,0,322.015625,1379.0,NYC Hudson Yards,,,,,,,,,
EQUINX021,1,322.015625,1283.0,NYC Hudson Yards,,,,,,,,,
EQUINX021,2,454.015625,1283.0,NYC Hudson Yards,,,,,,,,,
EQUINX021,3,455.015625,1379.0,NYC Hudson Yards,,,,,,,,,
EQUINX022,0,322.015625,1283.0,NYC Hudson Yards,,,,,,,,,
EQUINX022,1,322.015625,1192.0,NYC Hudson Yards,,,,,,,,,
EQUINX022,2,455.015625,1191.0,NYC Hudson Yards,,,,,,,,,
EQUINX022,3,454.015625,1283.0,NYC Hudson Yards,,,,,,,,,
EQUINX023,0,259.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX023,1,101.015625,2094.5,NYC Hudson Yards,,,,,,,,,
EQUINX023,2,101.015625,1867.5,NYC Hudson Yards,,,,,,,,,
EQUINX023,3,256.015625,1867.5,NYC Hudson Yards,,,,,,,,,
EQUINX024,0,101.015625,1867.5,NYC Hudson Yards,,,,,,,,,
EQUINX024,1,101.015625,1688.5,NYC Hudson Yards,,,,,,,,,
EQUINX024,2,257.015625,1688.5,NYC Hudson Yards,,,,,,,,,
EQUINX024,3,256.015625,1867.5,NYC Hudson Yards,,,,,,,,,
EQUINX025,0,257.015625,1688.5,NYC Hudson Yards,,,,,,,,,
EQUINX025,1,257.015625,1563.0,NYC Hudson Yards,,,,,,,,,
EQUINX025,2,100.015625,1563.0,NYC Hudson Yards,,,,,,,,,
EQUINX025,3,101.015625,1688.5,NYC Hudson Yards,,,,,,,,,
EQUINX026,0,257.015625,1563.0,NYC Hudson Yards,,,,,,,,,
EQUINX026,1,257.015625,1375.5,NYC Hudson Yards,,,,,,,,,
EQUINX026,2,101.015625,1378.0,NYC Hudson Yards,,,,,,,,,
EQUINX026,3,100.015625,1563.0,NYC Hudson Yards,,,,,,,,,
EQUINX027,0,257.015625,1375.5,NYC Hudson Yards,,,,,,,,,
EQUINX027,1,257.015625,1252.0,NYC Hudson Yards,,,,,,,,,
EQUINX027,2,100.015625,1252.0,NYC Hudson Yards,,,,,,,,,
EQUINX027,3,100.015625,1377.0,NYC Hudson Yards,,,,,,,,,
EQUINX028,0,257.015625,1252.0,NYC Hudson Yards,,,,,,,,,
EQUINX028,1,257.015625,1068.0,NYC Hudson Yards,,,,,,,,,
EQUINX028,2,99.015625,1068.0,NYC Hudson Yards,,,,,,,,,
EQUINX028,3,100.015625,1252.0,NYC Hudson Yards,,,,,,,,,
EQUINX029,0,257.015625,1068.0,NYC Hudson Yards,,,,,,,,,
EQUINX029,1,257.015625,943.5,NYC Hudson Yards,,,,,,,,,
EQUINX029,2,99.015625,943.5,NYC Hudson Yards,,,,,,,,,
EQUINX029,3,99.015625,1068.0,NYC Hudson Yards,,,,,,,,,
EQUINX030,0,257.015625,943.5,NYC Hudson Yards,,,,,,,,,
EQUINX030,1,257.015625,818.5,NYC Hudson Yards,,,,,,,,,
EQUINX030,2,98.015625,819.5,NYC Hudson Yards,,,,,,,,,
EQUINX030,3,99.015625,943.5,NYC Hudson Yards,,,,,,,,,
EQUINX031,0,257.015625,818.5,NYC Hudson Yards,,,,,,,,,
EQUINX031,1,257.015625,690.5,NYC Hudson Yards,,,,,,,,,
EQUINX031,2,99.015625,690.5,NYC Hudson Yards,,,,,,,,,
EQUINX031,3,98.015625,819.5,NYC Hudson Yards,,,,,,,,,
EQUINX032,0,257.015625,690.5,NYC Hudson Yards,,,,,,,,,
EQUINX032,1,257.015625,457.5,NYC Hudson Yards,,,,,,,,,
