Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NASGLH901,0,1449,1168.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH001,0,2659.666626,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH001,1,2786.666626,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH001,2,2786.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH001,3,2659.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH002,0,2659.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH002,1,2536.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH002,2,2536.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH002,3,2659.666626,1202.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH003,0,2536.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH003,1,2410.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH003,2,2410.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH003,3,2536.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH004,0,2410.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH004,1,2282.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH004,2,2282.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH004,3,2410.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH005,0,2282.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH005,1,2155.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH005,2,2155.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH005,3,2282.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH006,0,2155.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH006,1,2028,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH006,2,2028,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH006,3,2155.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH007,0,2028,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH007,1,1919.666626,1075.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH007,2,1919.666626,1202.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH007,3,2028,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH008,0,884.666687,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH008,1,998.666687,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH008,2,998.666687,1073.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH008,3,884.666687,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH009,0,884.666687,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH009,1,756.3333435,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH009,2,756.3333435,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH009,3,884.666687,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH010,0,756.3333435,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH010,1,630.6666565,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH010,2,630.6666565,1204.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH010,3,756.3333435,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH011,0,630.6666565,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH011,1,502.6666565,1074.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH011,2,502.6666565,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH011,3,631.6666565,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH012,0,631.6666565,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH012,1,631.6666565,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH012,2,756.3333435,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH012,3,756.3333435,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH013,0,756.3333435,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH013,1,884.6666565,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH013,2,884.666687,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH013,3,756.3333435,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH014,0,884.6666565,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH014,1,999,1329.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH014,2,998.666687,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH014,3,884.666687,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH015,0,1919.666626,1202.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH015,1,1919.666626,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH015,2,2028.333374,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH015,3,2028,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH016,0,2028.333374,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH016,1,2155.666626,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH016,2,2155.666626,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH016,3,2028,1203.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH017,0,2155.666626,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
NASGLH017,1,2282.666626,1330.0,Nashville - 1033 Demonbreun,,,,,,,,,
