Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NASUNI001,0,874.333313,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI001,1,874.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI001,2,841.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI001,3,841.333313,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI002,0,874.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI002,1,967.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI002,2,967.666687,452.0,Nashville - 414 Union,,,,,,,,,
NASUNI002,3,874.333313,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI003,0,967.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI003,1,1005.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI003,2,1005.666687,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI003,3,967.666687,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI004,0,1005.333313,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI004,1,1070.666687,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI004,2,1070.666687,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI004,3,1005.666687,453.3333333,Nashville - 414 Union,,,,,,,,,
NASUNI005,0,1070.666687,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI005,1,1136,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI005,2,1136,453.3333333,Nashville - 414 Union,,,,,,,,,
NASUNI005,3,1070.666687,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI006,0,1136,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI006,1,1180,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI006,2,1180,453.3333333,Nashville - 414 Union,,,,,,,,,
NASUNI006,3,1136,453.3333333,Nashville - 414 Union,,,,,,,,,
NASUNI007,0,1180,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI007,1,1230,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI007,2,1230,453.3333333,Nashville - 414 Union,,,,,,,,,
NASUNI007,3,1180,453.3333333,Nashville - 414 Union,,,,,,,,,
NASUNI008,0,1230,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI008,1,1334.666687,399.0,Nashville - 414 Union,,,,,,,,,
NASUNI008,2,1388.666687,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI008,3,1229.666687,453.0,Nashville - 414 Union,,,,,,,,,
NASUNI009,0,955.666687,378.0,Nashville - 414 Union,,,,,,,,,
NASUNI009,1,1003.666687,378.0,Nashville - 414 Union,,,,,,,,,
NASUNI009,2,1003.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI009,3,955.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI010,0,1003.666687,378.0,Nashville - 414 Union,,,,,,,,,
NASUNI010,1,1049.666687,378.0,Nashville - 414 Union,,,,,,,,,
NASUNI010,2,1049.666687,341.0,Nashville - 414 Union,,,,,,,,,
NASUNI010,3,1003.666687,341.0,Nashville - 414 Union,,,,,,,,,
NASUNI011,0,1093.666687,379.0,Nashville - 414 Union,,,,,,,,,
NASUNI011,1,1142.666687,379.0,Nashville - 414 Union,,,,,,,,,
NASUNI011,2,1142.666687,341.0,Nashville - 414 Union,,,,,,,,,
NASUNI011,3,1093.666687,341.0,Nashville - 414 Union,,,,,,,,,
NASUNI012,0,1142.666687,379.0,Nashville - 414 Union,,,,,,,,,
NASUNI012,1,1185.666687,379.0,Nashville - 414 Union,,,,,,,,,
NASUNI012,2,1185.666687,358.0,Nashville - 414 Union,,,,,,,,,
NASUNI012,3,1142.666687,316.0,Nashville - 414 Union,,,,,,,,,
NASUNI013,0,1003.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI013,1,1050.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI013,2,1049.666687,341.0,Nashville - 414 Union,,,,,,,,,
NASUNI013,3,1003.666687,341.0,Nashville - 414 Union,,,,,,,,,
NASUNI014,0,1049.666687,378.0,Nashville - 414 Union,,,,,,,,,
NASUNI014,1,1093.666687,379.0,Nashville - 414 Union,,,,,,,,,
NASUNI014,2,1094.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI014,3,1050.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI015,0,1094.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI015,1,1127.666687,302.0,Nashville - 414 Union,,,,,,,,,
NASUNI015,2,1142.666687,316.0,Nashville - 414 Union,,,,,,,,,
NASUNI015,3,1142.666687,341.0,Nashville - 414 Union,,,,,,,,,
