Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
GMNTWN246,0,845,2350.0,Nashville Germantown,246,,,,,,,,
GMNTWN246,1,660,2350.0,Nashville Germantown,246,,,,,,,,
GMNTWN246,2,660,2505.0,Nashville Germantown,246,,,,,,,,
GMNTWN246,3,840,2505.0,Nashville Germantown,246,,,,,,,,
GMNTWN247,0,840,2505.0,Nashville Germantown,247,,,,,,,,
GMNTWN247,1,995,2505.0,Nashville Germantown,247,,,,,,,,
GMNTWN247,2,995,2350.0,Nashville Germantown,247,,,,,,,,
GMNTWN247,3,845,2350.0,Nashville Germantown,247,,,,,,,,
GMNTWN255,0,995,2505.0,Nashville Germantown,255,,,,,,,,
GMNTWN255,1,1150,2490.0,Nashville Germantown,255,,,,,,,,
GMNTWN255,2,1150,2350.0,Nashville Germantown,255,,,,,,,,
GMNTWN255,3,995,2350.0,Nashville Germantown,255,,,,,,,,
GMNTWN256,0,1150,2490.0,Nashville Germantown,256,,,,,,,,
GMNTWN256,1,1255,2480.0,Nashville Germantown,256,,,,,,,,
GMNTWN256,2,1255,2350.0,Nashville Germantown,256,,,,,,,,
GMNTWN256,3,1150,2350.0,Nashville Germantown,256,,,,,,,,
GMNTWN257,0,1255,2480.0,Nashville Germantown,257,,,,,,,,
GMNTWN257,1,1370,2465.0,Nashville Germantown,257,,,,,,,,
GMNTWN257,2,1370,2350.0,Nashville Germantown,257,,,,,,,,
GMNTWN257,3,1255,2350.0,Nashville Germantown,257,,,,,,,,
GMNTWN263,0,1370,2465.0,Nashville Germantown,263,,,,,,,,
GMNTWN263,1,1495,2450.0,Nashville Germantown,263,,,,,,,,
GMNTWN263,2,1495,2350.0,Nashville Germantown,263,,,,,,,,
GMNTWN263,3,1370,2350.0,Nashville Germantown,263,,,,,,,,
GMNTWN265,0,1495,2450.0,Nashville Germantown,265,,,,,,,,
GMNTWN265,1,1650,2435.0,Nashville Germantown,265,,,,,,,,
GMNTWN265,2,1650,2350.0,Nashville Germantown,265,,,,,,,,
GMNTWN265,3,1495,2350.0,Nashville Germantown,265,,,,,,,,
GMNTWN268,0,1650,2435.0,Nashville Germantown,268,,,,,,,,
GMNTWN268,1,1825,2415.0,Nashville Germantown,268,,,,,,,,
GMNTWN268,2,1825,2350.0,Nashville Germantown,268,,,,,,,,
GMNTWN268,3,1650,2350.0,Nashville Germantown,268,,,,,,,,
GMNTWN245,0,660,2350.0,Nashville Germantown,245,,,,,,,,
GMNTWN245,1,660,2250.0,Nashville Germantown,245,,,,,,,,
GMNTWN245,2,785,2250.0,Nashville Germantown,245,,,,,,,,
GMNTWN245,3,785,2350.0,Nashville Germantown,245,,,,,,,,
GMNTWN243,0,660,2250.0,Nashville Germantown,243,,,,,,,,
GMNTWN243,1,660,2095.0,Nashville Germantown,243,,,,,,,,
GMNTWN243,2,785,2095.0,Nashville Germantown,243,,,,,,,,
GMNTWN243,3,785,2250.0,Nashville Germantown,243,,,,,,,,
GMNTWN241,0,660,2095.0,Nashville Germantown,241,,,,,,,,
GMNTWN241,1,660,2020.0,Nashville Germantown,241,,,,,,,,
GMNTWN241,2,785,2020.0,Nashville Germantown,241,,,,,,,,
GMNTWN241,3,785,2095.0,Nashville Germantown,241,,,,,,,,
GMNTWN240,0,660,2020.0,Nashville Germantown,240,,,,,,,,
GMNTWN240,1,660,1895.0,Nashville Germantown,240,,,,,,,,
GMNTWN240,2,785,1895.0,Nashville Germantown,240,,,,,,,,
GMNTWN240,3,785,2020.0,Nashville Germantown,240,,,,,,,,
GMNTWN239,0,660,1895.0,Nashville Germantown,239,,,,,,,,
GMNTWN239,1,660,1695.0,Nashville Germantown,239,,,,,,,,
GMNTWN239,2,785,1695.0,Nashville Germantown,239,,,,,,,,
GMNTWN239,3,785,1895.0,Nashville Germantown,239,,,,,,,,
GMNTWN238,0,785,1695.0,Nashville Germantown,238,,,,,,,,
GMNTWN238,1,925,1695.0,Nashville Germantown,238,,,,,,,,
GMNTWN238,2,925,1830.0,Nashville Germantown,238,,,,,,,,
GMNTWN238,3,785,1830.0,Nashville Germantown,238,,,,,,,,
GMNTWN236,0,925,1830.0,Nashville Germantown,236,,,,,,,,
GMNTWN236,1,1030,1830.0,Nashville Germantown,236,,,,,,,,
GMNTWN236,2,1030,1695.0,Nashville Germantown,236,,,,,,,,
GMNTWN236,3,925,1695.0,Nashville Germantown,236,,,,,,,,
GMNTWN235,0,1030,1830.0,Nashville Germantown,235,,,,,,,,
GMNTWN235,1,1135,1830.0,Nashville Germantown,235,,,,,,,,
GMNTWN235,2,1135,1695.0,Nashville Germantown,235,,,,,,,,
GMNTWN235,3,1030,1695.0,Nashville Germantown,235,,,,,,,,
