Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NASYRD1401,0,685,555.0,Nashville Yards,1401,,,,,,,,
NASYRD1401,1,685,340.0,Nashville Yards,1401,,,,,,,,
NASYRD1401,2,495,340.0,Nashville Yards,1401,,,,,,,,
NASYRD1401,3,495,535.0,Nashville Yards,1401,,,,,,,,
NASYRD1401,4,515,555.0,Nashville Yards,1401,,,,,,,,
NASYRD1402,0,495,340.0,Nashville Yards,1402,,,,,,,,
NASYRD1402,1,420,340.0,Nashville Yards,1402,,,,,,,,
NASYRD1402,2,270,490.0,Nashville Yards,1402,,,,,,,,
NASYRD1402,3,420,640.0,Nashville Yards,1402,,,,,,,,
NASYRD1402,4,515,555.0,Nashville Yards,1402,,,,,,,,
NASYRD1402,5,495,535.0,Nashville Yards,1402,,,,,,,,
NASYRD1403,0,270,490.0,Nashville Yards,1403,,,,,,,,
NASYRD1403,1,170,590.0,Nashville Yards,1403,,,,,,,,
NASYRD1403,2,320,740.0,Nashville Yards,1403,,,,,,,,
NASYRD1403,3,420,640.0,Nashville Yards,1403,,,,,,,,
NASYRD1404,0,495,650.0,Nashville Yards,1404,,,,,,,,
NASYRD1404,1,275,870.0,Nashville Yards,1404,,,,,,,,
NASYRD1404,2,275,940.0,Nashville Yards,1404,,,,,,,,
NASYRD1404,3,495,940.0,Nashville Yards,1404,,,,,,,,
NASYRD1405,0,170,590.0,Nashville Yards,1405,,,,,,,,
NASYRD1405,1,20,740.0,Nashville Yards,1405,,,,,,,,
NASYRD1405,2,20,865.0,Nashville Yards,1405,,,,,,,,
NASYRD1405,3,215,865.0,Nashville Yards,1405,,,,,,,,
NASYRD1405,4,215,845.0,Nashville Yards,1405,,,,,,,,
NASYRD1405,5,320,740.0,Nashville Yards,1405,,,,,,,,
NASYRD1406,0,20,865.0,Nashville Yards,1406,,,,,,,,
NASYRD1406,1,20,1140.0,Nashville Yards,1406,,,,,,,,
NASYRD1406,2,215,1140.0,Nashville Yards,1406,,,,,,,,
NASYRD1406,3,215,865.0,Nashville Yards,1406,,,,,,,,
NASYRD1407,0,370,1125.0,Nashville Yards,1407,,,,,,,,
NASYRD1407,1,370,1000.0,Nashville Yards,1407,,,,,,,,
NASYRD1407,2,270,1000.0,Nashville Yards,1407,,,,,,,,
NASYRD1407,3,270,1125.0,Nashville Yards,1407,,,,,,,,
NASYRD1408,0,270,1125.0,Nashville Yards,1408,,,,,,,,
NASYRD1408,1,270,1250.0,Nashville Yards,1408,,,,,,,,
NASYRD1408,2,370,1250.0,Nashville Yards,1408,,,,,,,,
NASYRD1408,3,370,1125.0,Nashville Yards,1408,,,,,,,,
NASYRD1409,0,20,1140.0,Nashville Yards,1409,,,,,,,,
NASYRD1409,1,20,1280.0,Nashville Yards,1409,,,,,,,,
NASYRD1409,2,215,1280.0,Nashville Yards,1409,,,,,,,,
NASYRD1409,3,215,1140.0,Nashville Yards,1409,,,,,,,,
NASYRD1410,0,270,1250.0,Nashville Yards,1410,,,,,,,,
NASYRD1410,1,270,1365.0,Nashville Yards,1410,,,,,,,,
NASYRD1410,2,385,1365.0,Nashville Yards,1410,,,,,,,,
NASYRD1410,3,385,1250.0,Nashville Yards,1410,,,,,,,,
NASYRD1411,0,215,1280.0,Nashville Yards,1411,,,,,,,,
NASYRD1411,1,215,1490.0,Nashville Yards,1411,,,,,,,,
NASYRD1411,2,20,1490.0,Nashville Yards,1411,,,,,,,,
NASYRD1411,3,20,1280.0,Nashville Yards,1411,,,,,,,,
NASYRD1412,0,270,1365.0,Nashville Yards,1412,,,,,,,,
NASYRD1412,1,270,1475.0,Nashville Yards,1412,,,,,,,,
NASYRD1412,2,385,1475.0,Nashville Yards,1412,,,,,,,,
NASYRD1412,3,385,1365.0,Nashville Yards,1412,,,,,,,,
NASYRD1413,0,20,1490.0,Nashville Yards,1413,,,,,,,,
NASYRD1413,1,20,1630.0,Nashville Yards,1413,,,,,,,,
NASYRD1413,2,215,1630.0,Nashville Yards,1413,,,,,,,,
NASYRD1413,3,215,1490.0,Nashville Yards,1413,,,,,,,,
NASYRD1414,0,270,1475.0,Nashville Yards,1414,,,,,,,,
NASYRD1414,1,270,1595.0,Nashville Yards,1414,,,,,,,,
NASYRD1414,2,385,1595.0,Nashville Yards,1414,,,,,,,,
NASYRD1414,3,385,1475.0,Nashville Yards,1414,,,,,,,,
NASYRD1415,0,270,1595.0,Nashville Yards,1415,,,,,,,,
NASYRD1415,1,270,1710.0,Nashville Yards,1415,,,,,,,,
NASYRD1415,2,385,1710.0,Nashville Yards,1415,,,,,,,,
NASYRD1415,3,385,1595.0,Nashville Yards,1415,,,,,,,,
NASYRD1416,0,20,1630.0,Nashville Yards,1416,,,,,,,,
NASYRD1416,1,20,1910.0,Nashville Yards,1416,,,,,,,,
NASYRD1416,2,215,1910.0,Nashville Yards,1416,,,,,,,,
NASYRD1416,3,215,1630.0,Nashville Yards,1416,,,,,,,,
NASYRD1417,0,270,1710.0,Nashville Yards,1417,,,,,,,,
NASYRD1417,1,270,1825.0,Nashville Yards,1417,,,,,,,,
NASYRD1417,2,385,1825.0,Nashville Yards,1417,,,,,,,,
NASYRD1417,3,385,1710.0,Nashville Yards,1417,,,,,,,,
NASYRD1418,0,270,1825.0,Nashville Yards,1418,,,,,,,,
NASYRD1418,1,270,1935.0,Nashville Yards,1418,,,,,,,,
NASYRD1418,2,385,1935.0,Nashville Yards,1418,,,,,,,,
NASYRD1418,3,385,1825.0,Nashville Yards,1418,,,,,,,,
NASYRD1419,0,20,1910.0,Nashville Yards,1419,,,,,,,,
NASYRD1419,1,20,2185.0,Nashville Yards,1419,,,,,,,,
NASYRD1419,2,250,2185.0,Nashville Yards,1419,,,,,,,,
NASYRD1419,3,250,1995.0,Nashville Yards,1419,,,,,,,,
NASYRD1419,4,215,1995.0,Nashville Yards,1419,,,,,,,,
NASYRD1419,5,215,1910.0,Nashville Yards,1419,,,,,,,,
NASYRD1420,0,250,2185.0,Nashville Yards,1420,,,,,,,,
NASYRD1420,1,525,2185.0,Nashville Yards,1420,,,,,,,,
NASYRD1420,2,525,1995.0,Nashville Yards,1420,,,,,,,,
NASYRD1420,3,250,1995.0,Nashville Yards,1420,,,,,,,,
NASYRD1421,0,385,1935.0,Nashville Yards,1421,,,,,,,,
NASYRD1421,1,495,1935.0,Nashville Yards,1421,,,,,,,,
NASYRD1421,2,495,1825.0,Nashville Yards,1421,,,,,,,,
NASYRD1421,3,385,1825.0,Nashville Yards,1421,,,,,,,,
NASYRD1422,0,495,1825.0,Nashville Yards,1422,,,,,,,,
NASYRD1422,1,495,1710.0,Nashville Yards,1422,,,,,,,,
NASYRD1422,2,385,1710.0,Nashville Yards,1422,,,,,,,,
NASYRD1422,3,385,1825.0,Nashville Yards,1422,,,,,,,,
NASYRD1423,0,495,1710.0,Nashville Yards,1423,,,,,,,,
NASYRD1423,1,495,1595.0,Nashville Yards,1423,,,,,,,,
NASYRD1423,2,385,1595.0,Nashville Yards,1423,,,,,,,,
NASYRD1423,3,385,1710.0,Nashville Yards,1423,,,,,,,,
NASYRD1424,0,495,1595.0,Nashville Yards,1424,,,,,,,,
NASYRD1424,1,495,1475.0,Nashville Yards,1424,,,,,,,,
NASYRD1424,2,385,1475.0,Nashville Yards,1424,,,,,,,,
NASYRD1424,3,385,1595.0,Nashville Yards,1424,,,,,,,,
NASYRD1425,0,495,1475.0,Nashville Yards,1425,,,,,,,,
NASYRD1425,1,495,1365.0,Nashville Yards,1425,,,,,,,,
NASYRD1425,2,385,1365.0,Nashville Yards,1425,,,,,,,,
NASYRD1425,3,385,1475.0,Nashville Yards,1425,,,,,,,,
NASYRD1426,0,495,1365.0,Nashville Yards,1426,,,,,,,,
NASYRD1426,1,495,1250.0,Nashville Yards,1426,,,,,,,,
NASYRD1426,2,385,1250.0,Nashville Yards,1426,,,,,,,,
NASYRD1426,3,385,1365.0,Nashville Yards,1426,,,,,,,,
NASYRD1427,0,705,1805.0,Nashville Yards,1427,,,,,,,,
NASYRD1427,1,705,1630.0,Nashville Yards,1427,,,,,,,,
NASYRD1427,2,555,1630.0,Nashville Yards,1427,,,,,,,,
NASYRD1427,3,555,1805.0,Nashville Yards,1427,,,,,,,,
NASYRD1428,0,705,1805.0,Nashville Yards,1428,,,,,,,,
NASYRD1428,1,705,1935.0,Nashville Yards,1428,,,,,,,,
NASYRD1428,2,555,1935.0,Nashville Yards,1428,,,,,,,,
NASYRD1428,3,555,1805.0,Nashville Yards,1428,,,,,,,,
NASYRD1429,0,525,2185.0,Nashville Yards,1429,,,,,,,,
NASYRD1429,1,665,2185.0,Nashville Yards,1429,,,,,,,,
NASYRD1429,2,665,1995.0,Nashville Yards,1429,,,,,,,,
NASYRD1429,3,525,1995.0,Nashville Yards,1429,,,,,,,,
NASYRD1430,0,665,2185.0,Nashville Yards,1430,,,,,,,,
NASYRD1430,1,805,2185.0,Nashville Yards,1430,,,,,,,,
NASYRD1430,2,805,1995.0,Nashville Yards,1430,,,,,,,,
NASYRD1430,3,665,1995.0,Nashville Yards,1430,,,,,,,,
NASYRD1431,0,805,2185.0,Nashville Yards,1431,,,,,,,,
NASYRD1431,1,945,2185.0,Nashville Yards,1431,,,,,,,,
NASYRD1431,2,945,1995.0,Nashville Yards,1431,,,,,,,,
NASYRD1431,3,805,1995.0,Nashville Yards,1431,,,,,,,,
NASYRD1432,0,945,2185.0,Nashville Yards,1432,,,,,,,,
NASYRD1432,1,"1,085",2185.0,Nashville Yards,1432,,,,,,,,
NASYRD1432,2,"1,085",1995.0,Nashville Yards,1432,,,,,,,,
NASYRD1432,3,945,1995.0,Nashville Yards,1432,,,,,,,,
NASYRD1433,0,"1,135",1935.0,Nashville Yards,1433,,,,,,,,
NASYRD1433,1,"1,135",1835.0,Nashville Yards,1433,,,,,,,,
NASYRD1433,2,"1,010",1835.0,Nashville Yards,1433,,,,,,,,
NASYRD1433,3,"1,010",1935.0,Nashville Yards,1433,,,,,,,,
NASYRD1434,0,"1,135",1835.0,Nashville Yards,1434,,,,,,,,
NASYRD1434,1,"1,135",1730.0,Nashville Yards,1434,,,,,,,,
NASYRD1434,2,"1,010",1730.0,Nashville Yards,1434,,,,,,,,
NASYRD1434,3,"1,010",1835.0,Nashville Yards,1434,,,,,,,,
NASYRD1435,0,"1,135",1730.0,Nashville Yards,1435,,,,,,,,
