Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NASCST901,0,542,794.0,Nashville- Cummins Station,,,,,,,,,
NASCST001,0,419,1127.0,Nashville- Cummins Station,,,,,,,,,
NASCST001,1,193,1127.0,Nashville- Cummins Station,,,,,,,,,
NASCST001,2,193,779.0,Nashville- Cummins Station,,,,,,,,,
NASCST001,3,418,779.0,Nashville- Cummins Station,,,,,,,,,
NASCST002,0,418,779.0,Nashville- Cummins Station,,,,,,,,,
NASCST002,1,419,558.0,Nashville- Cummins Station,,,,,,,,,
NASCST002,2,194,558.0,Nashville- Cummins Station,,,,,,,,,
NASCST002,3,193,779.0,Nashville- Cummins Station,,,,,,,,,
NASCST003,0,194,558.0,Nashville- Cummins Station,,,,,,,,,
NASCST003,1,194,392.0,Nashville- Cummins Station,,,,,,,,,
NASCST003,2,535,392.0,Nashville- Cummins Station,,,,,,,,,
NASCST003,3,535,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST004,0,535,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST004,1,649,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST004,2,648,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST004,3,535,387.0,Nashville- Cummins Station,,,,,,,,,
NASCST005,0,649,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST005,1,864,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST005,2,866,389.0,Nashville- Cummins Station,,,,,,,,,
NASCST005,3,648,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST006,0,864,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST006,1,1078,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST006,2,1078,391.0,Nashville- Cummins Station,,,,,,,,,
NASCST006,3,866,389.0,Nashville- Cummins Station,,,,,,,,,
NASCST007,0,1078,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST007,1,1296,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST007,2,1296,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST007,3,1078,391.0,Nashville- Cummins Station,,,,,,,,,
NASCST008,0,1296,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST008,1,1667,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST008,2,1667,554.0,Nashville- Cummins Station,,,,,,,,,
NASCST008,3,1296,557.0,Nashville- Cummins Station,,,,,,,,,
NASCST009,0,1667,554.0,Nashville- Cummins Station,,,,,,,,,
NASCST009,1,1775,554.0,Nashville- Cummins Station,,,,,,,,,
NASCST009,2,1775,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST009,3,1667,390.0,Nashville- Cummins Station,,,,,,,,,
NASCST010,0,1775,554.0,Nashville- Cummins Station,,,,,,,,,
