Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SNABAY901,0,3272,2260.0,Newport Beach,,,,,,,,,
SNABAY001,0,2826.5,2312.5,Newport Beach,,,,,,,,,
SNABAY001,1,2286,2312.5,Newport Beach,,,,,,,,,
SNABAY001,2,2286,2582.5,Newport Beach,,,,,,,,,
SNABAY001,3,2538,2582.5,Newport Beach,,,,,,,,,
SNABAY001,4,2538,2491.5,Newport Beach,,,,,,,,,
SNABAY001,5,2799,2491.5,Newport Beach,,,,,,,,,
SNABAY001,6,2799,2459.5,Newport Beach,,,,,,,,,
SNABAY001,7,2828,2458.5,Newport Beach,,,,,,,,,
SNABAY002,0,2350,2710.5,Newport Beach,,,,,,,,,
SNABAY002,1,2438,2710.5,Newport Beach,,,,,,,,,
SNABAY002,2,2438,2625.5,Newport Beach,,,,,,,,,
SNABAY002,3,2350,2625.5,Newport Beach,,,,,,,,,
SNABAY003,0,2350,2625.5,Newport Beach,,,,,,,,,
SNABAY003,1,2263,2625.5,Newport Beach,,,,,,,,,
SNABAY003,2,2263,2709.5,Newport Beach,,,,,,,,,
SNABAY003,3,2350,2710.5,Newport Beach,,,,,,,,,
SNABAY004,0,2263,2625.5,Newport Beach,,,,,,,,,
SNABAY004,1,2175,2625.5,Newport Beach,,,,,,,,,
SNABAY004,2,2175,2708.5,Newport Beach,,,,,,,,,
SNABAY004,3,2263,2709.5,Newport Beach,,,,,,,,,
SNABAY005,0,2175,2625.5,Newport Beach,,,,,,,,,
SNABAY005,1,2088,2625.5,Newport Beach,,,,,,,,,
SNABAY005,2,2088,2707.5,Newport Beach,,,,,,,,,
SNABAY005,3,2175,2708.5,Newport Beach,,,,,,,,,
SNABAY006,0,2088,2625.5,Newport Beach,,,,,,,,,
SNABAY006,1,2001.5,2625.5,Newport Beach,,,,,,,,,
SNABAY006,2,2001.5,2708.5,Newport Beach,,,,,,,,,
SNABAY006,3,2088,2707.5,Newport Beach,,,,,,,,,
SNABAY007,0,2001.5,2625.5,Newport Beach,,,,,,,,,
SNABAY007,1,1912.5,2625.5,Newport Beach,,,,,,,,,
SNABAY007,2,1912.5,2708.5,Newport Beach,,,,,,,,,
SNABAY007,3,2001.5,2708.5,Newport Beach,,,,,,,,,
SNABAY008,0,1683,2745.5,Newport Beach,,,,,,,,,
SNABAY008,1,1770,2745.5,Newport Beach,,,,,,,,,
SNABAY008,2,1770,2626.5,Newport Beach,,,,,,,,,
SNABAY008,3,1682,2626.5,Newport Beach,,,,,,,,,
SNABAY009,0,1682,2626.5,Newport Beach,,,,,,,,,
SNABAY009,1,1595,2626.5,Newport Beach,,,,,,,,,
SNABAY009,2,1596,2745.5,Newport Beach,,,,,,,,,
SNABAY009,3,1683,2745.5,Newport Beach,,,,,,,,,
SNABAY010,0,1595,2626.5,Newport Beach,,,,,,,,,
SNABAY010,1,1509,2626.5,Newport Beach,,,,,,,,,
SNABAY010,2,1508,2745.5,Newport Beach,,,,,,,,,
SNABAY010,3,1596,2745.5,Newport Beach,,,,,,,,,
SNABAY011,0,1509,2626.5,Newport Beach,,,,,,,,,
SNABAY011,1,1420,2626.5,Newport Beach,,,,,,,,,
SNABAY011,2,1422,2746.5,Newport Beach,,,,,,,,,
SNABAY011,3,1508,2745.5,Newport Beach,,,,,,,,,
SNABAY012,0,1420,2626.5,Newport Beach,,,,,,,,,
SNABAY012,1,1332,2626.5,Newport Beach,,,,,,,,,
SNABAY012,2,1332,2746.5,Newport Beach,,,,,,,,,
SNABAY012,3,1422,2746.5,Newport Beach,,,,,,,,,
SNABAY013,0,1332,2626.5,Newport Beach,,,,,,,,,
SNABAY013,1,1275,2626.5,Newport Beach,,,,,,,,,
SNABAY013,2,1275,2746.5,Newport Beach,,,,,,,,,
SNABAY013,3,1332,2746.5,Newport Beach,,,,,,,,,
SNABAY014,0,1231.5,2106.5,Newport Beach,,,,,,,,,
SNABAY014,1,1419.5,2106.5,Newport Beach,,,,,,,,,
SNABAY014,2,1419.5,1914.5,Newport Beach,,,,,,,,,
SNABAY014,3,1231.5,1915.5,Newport Beach,,,,,,,,,
SNABAY015,0,1419.5,2106.5,Newport Beach,,,,,,,,,
SNABAY015,1,1590.5,2106.5,Newport Beach,,,,,,,,,
SNABAY015,2,1590.5,1955.5,Newport Beach,,,,,,,,,
SNABAY015,3,1550.5,1955.5,Newport Beach,,,,,,,,,
SNABAY015,4,1550.5,1913.5,Newport Beach,,,,,,,,,
SNABAY015,5,1419.5,1914.5,Newport Beach,,,,,,,,,
SNABAY016,0,1455.5,2251.5,Newport Beach,,,,,,,,,
SNABAY016,1,1567.5,2251.5,Newport Beach,,,,,,,,,
SNABAY016,2,1567.5,2147.5,Newport Beach,,,,,,,,,
SNABAY016,3,1455.5,2147.5,Newport Beach,,,,,,,,,
SNABAY017,0,1567.5,2147.5,Newport Beach,,,,,,,,,
SNABAY017,1,1654.5,2147.5,Newport Beach,,,,,,,,,
SNABAY017,2,1654.5,2296.5,Newport Beach,,,,,,,,,
SNABAY017,3,1597.5,2296.5,Newport Beach,,,,,,,,,
SNABAY017,4,1596.5,2251.5,Newport Beach,,,,,,,,,
SNABAY017,5,1567.5,2251.5,Newport Beach,,,,,,,,,
SNABAY018,0,1654.5,2147.5,Newport Beach,,,,,,,,,
SNABAY018,1,1743.5,2147.5,Newport Beach,,,,,,,,,
SNABAY018,2,1743.5,2296.5,Newport Beach,,,,,,,,,
SNABAY018,3,1654.5,2296.5,Newport Beach,,,,,,,,,
SNABAY019,0,1590.5,2106.5,Newport Beach,,,,,,,,,
SNABAY019,1,1762.5,2106.5,Newport Beach,,,,,,,,,
SNABAY019,2,1762.5,1954.5,Newport Beach,,,,,,,,,
SNABAY019,3,1590.5,1955.5,Newport Beach,,,,,,,,,
SNABAY020,0,1231.5,1915.5,Newport Beach,,,,,,,,,
SNABAY020,1,1231.5,2171.5,Newport Beach,,,,,,,,,
SNABAY020,2,1091.5,2171.5,Newport Beach,,,,,,,,,
SNABAY020,3,1091.5,1914.5,Newport Beach,,,,,,,,,
SNABAY021,0,1273.5,2221.0,Newport Beach,,,,,,,,,
SNABAY021,1,1323.5,2221.0,Newport Beach,,,,,,,,,
SNABAY021,2,1323.5,2147.0,Newport Beach,,,,,,,,,
SNABAY021,3,1273.5,2147.0,Newport Beach,,,,,,,,,
SNABAY022,0,1273.5,2221.0,Newport Beach,,,,,,,,,
SNABAY022,1,1273.5,2293.0,Newport Beach,,,,,,,,,
SNABAY022,2,1323.5,2293.0,Newport Beach,,,,,,,,,
SNABAY022,3,1323.5,2221.0,Newport Beach,,,,,,,,,
SNABAY023,0,1231.5,2171.5,Newport Beach,,,,,,,,,
SNABAY023,1,1231.5,2308.0,Newport Beach,,,,,,,,,
SNABAY023,2,1092.5,2308.0,Newport Beach,,,,,,,,,
SNABAY023,3,1091.5,2171.5,Newport Beach,,,,,,,,,
SNABAY024,0,1231.5,2308.0,Newport Beach,,,,,,,,,
SNABAY024,1,1231.5,2507.5,Newport Beach,,,,,,,,,
SNABAY024,2,1092.5,2507.5,Newport Beach,,,,,,,,,
SNABAY024,3,1092.5,2308.0,Newport Beach,,,,,,,,,
SNABAY025,0,1231.5,2507.5,Newport Beach,,,,,,,,,
SNABAY025,1,1231.5,2712.5,Newport Beach,,,,,,,,,
SNABAY025,2,1091.5,2710.5,Newport Beach,,,,,,,,,
SNABAY025,3,1092.5,2507.5,Newport Beach,,,,,,,,,
SNABAY026,0,1231.5,2712.5,Newport Beach,,,,,,,,,
SNABAY026,1,1231.5,2849.5,Newport Beach,,,,,,,,,
SNABAY026,2,1091.5,2849.5,Newport Beach,,,,,,,,,
SNABAY026,3,1091.5,2710.5,Newport Beach,,,,,,,,,
SNABAY027,0,1231.5,2849.5,Newport Beach,,,,,,,,,
SNABAY027,1,1231.5,2962.0,Newport Beach,,,,,,,,,
SNABAY027,2,1091.5,2962.0,Newport Beach,,,,,,,,,
SNABAY027,3,1091.5,2849.5,Newport Beach,,,,,,,,,
SNABAY028,0,1231.5,2962.0,Newport Beach,,,,,,,,,
SNABAY028,1,1231.5,3103.0,Newport Beach,,,,,,,,,
SNABAY028,2,1093.5,3103.0,Newport Beach,,,,,,,,,
SNABAY028,3,1091.5,2962.0,Newport Beach,,,,,,,,,
SNABAY029,0,1275,2746.5,Newport Beach,,,,,,,,,
SNABAY029,1,1275,2862.0,Newport Beach,,,,,,,,,
SNABAY029,2,1330.5,2862.0,Newport Beach,,,,,,,,,
SNABAY029,3,1332,2746.5,Newport Beach,,,,,,,,,
SNABAY030,0,1330.5,2862.0,Newport Beach,,,,,,,,,
SNABAY030,1,1421.5,2862.0,Newport Beach,,,,,,,,,
SNABAY030,2,1422,2746.5,Newport Beach,,,,,,,,,
SNABAY030,3,1332,2746.5,Newport Beach,,,,,,,,,
SNABAY031,0,1421.5,2862.0,Newport Beach,,,,,,,,,
SNABAY031,1,1507.5,2862.0,Newport Beach,,,,,,,,,
SNABAY031,2,1508,2745.5,Newport Beach,,,,,,,,,
SNABAY031,3,1422,2746.5,Newport Beach,,,,,,,,,
SNABAY032,0,1365.5,2904.0,Newport Beach,,,,,,,,,
SNABAY032,1,1364.5,3101.0,Newport Beach,,,,,,,,,
SNABAY032,2,1553.5,3101.0,Newport Beach,,,,,,,,,
SNABAY032,3,1553.5,2903.0,Newport Beach,,,,,,,,,
SNABAY033,0,1507.5,2862.0,Newport Beach,,,,,,,,,
SNABAY033,1,1594.5,2862.0,Newport Beach,,,,,,,,,
SNABAY033,2,1596,2745.5,Newport Beach,,,,,,,,,
SNABAY033,3,1508,2745.5,Newport Beach,,,,,,,,,
SNABAY034,0,1553.5,2903.0,Newport Beach,,,,,,,,,
SNABAY034,1,1740.5,2903.0,Newport Beach,,,,,,,,,
SNABAY034,2,1740.5,3100.0,Newport Beach,,,,,,,,,
SNABAY034,3,1553.5,3101.0,Newport Beach,,,,,,,,,
SNABAY035,0,1594.5,2862.0,Newport Beach,,,,,,,,,
SNABAY035,1,1682.5,2862.0,Newport Beach,,,,,,,,,
SNABAY035,2,1683,2745.5,Newport Beach,,,,,,,,,
SNABAY035,3,1596,2745.5,Newport Beach,,,,,,,,,
SNABAY036,0,1682.5,2862.0,Newport Beach,,,,,,,,,
SNABAY036,1,1769.5,2861.0,Newport Beach,,,,,,,,,
SNABAY036,2,1770,2745.5,Newport Beach,,,,,,,,,
SNABAY036,3,1683,2745.5,Newport Beach,,,,,,,,,
SNABAY037,0,1914,2862.5,Newport Beach,,,,,,,,,
SNABAY037,1,2002,2862.5,Newport Beach,,,,,,,,,
SNABAY037,2,2001.5,2708.5,Newport Beach,,,,,,,,,
SNABAY037,3,1912.5,2708.5,Newport Beach,,,,,,,,,
SNABAY038,0,2002,2862.5,Newport Beach,,,,,,,,,
SNABAY038,1,2089,2862.5,Newport Beach,,,,,,,,,
SNABAY038,2,2088,2707.5,Newport Beach,,,,,,,,,
SNABAY038,3,2001.5,2708.5,Newport Beach,,,,,,,,,
SNABAY039,0,1951,3100.5,Newport Beach,,,,,,,,,
SNABAY039,1,2163,3100.5,Newport Beach,,,,,,,,,
SNABAY039,2,2163,2903.5,Newport Beach,,,,,,,,,
SNABAY039,3,1950,2903.5,Newport Beach,,,,,,,,,
SNABAY040,0,2089,2862.5,Newport Beach,,,,,,,,,
SNABAY040,1,2177,2862.5,Newport Beach,,,,,,,,,
SNABAY040,2,2175,2708.5,Newport Beach,,,,,,,,,
SNABAY040,3,2088,2707.5,Newport Beach,,,,,,,,,
SNABAY041,0,2177,2862.5,Newport Beach,,,,,,,,,
SNABAY041,1,2263.5,2862.5,Newport Beach,,,,,,,,,
SNABAY041,2,2263,2709.5,Newport Beach,,,,,,,,,
SNABAY041,3,2175,2708.5,Newport Beach,,,,,,,,,
SNABAY042,0,2263.5,2862.5,Newport Beach,,,,,,,,,
SNABAY042,1,2350.5,2862.5,Newport Beach,,,,,,,,,
SNABAY042,2,2350,2710.5,Newport Beach,,,,,,,,,
SNABAY042,3,2263,2709.5,Newport Beach,,,,,,,,,
