Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NJCNEW001,0,2380,836.0,Newport Tower,1,,,,,,,,
NJCNEW001,1,2381,638.0,Newport Tower,1,,,,,,,,
NJCNEW001,2,2550,638.0,Newport Tower,1,,,,,,,,
NJCNEW001,3,2550,836.0,Newport Tower,1,,,,,,,,
NJCNEW002,0,2381,638.0,Newport Tower,2,,,,,,,,
NJCNEW002,1,2379,488.0,Newport Tower,2,,,,,,,,
NJCNEW002,2,2552,489.0,Newport Tower,2,,,,,,,,
NJCNEW002,3,2550,638.0,Newport Tower,2,,,,,,,,
NJCNEW003,0,2379,488.0,Newport Tower,3,,,,,,,,
NJCNEW003,1,2380,362.0,Newport Tower,3,,,,,,,,
NJCNEW003,2,2551,363.0,Newport Tower,3,,,,,,,,
NJCNEW003,3,2552,489.0,Newport Tower,3,,,,,,,,
NJCNEW004,0,2595,543.0,Newport Tower,4,,,,,,,,
NJCNEW004,1,2595,366.0,Newport Tower,4,,,,,,,,
NJCNEW004,2,2701,362.0,Newport Tower,4,,,,,,,,
NJCNEW004,3,2701,540.0,Newport Tower,4,,,,,,,,
NJCNEW005,0,2593,738.0,Newport Tower,5,,,,,,,,
NJCNEW005,1,2595,543.0,Newport Tower,5,,,,,,,,
NJCNEW005,2,2710,542.0,Newport Tower,5,,,,,,,,
NJCNEW005,3,2711,739.0,Newport Tower,5,,,,,,,,
NJCNEW006,0,2597,931.0,Newport Tower,6,,,,,,,,
NJCNEW006,1,2595,782.0,Newport Tower,6,,,,,,,,
NJCNEW006,2,2709,780.0,Newport Tower,6,,,,,,,,
NJCNEW006,3,2710,932.0,Newport Tower,6,,,,,,,,
NJCNEW007,0,2711,739.0,Newport Tower,7,,,,,,,,
NJCNEW007,1,2857,740.0,Newport Tower,7,,,,,,,,
NJCNEW007,2,2860,542.0,Newport Tower,7,,,,,,,,
NJCNEW007,3,2710,542.0,Newport Tower,7,,,,,,,,
NJCNEW008,0,2710,932.0,Newport Tower,8,,,,,,,,
NJCNEW008,1,2858,931.0,Newport Tower,8,,,,,,,,
NJCNEW008,2,2858,779.0,Newport Tower,8,,,,,,,,
NJCNEW008,3,2709,780.0,Newport Tower,8,,,,,,,,
NJCNEW010,0,2861,893.0,Newport Tower,9,,,,,,,,
NJCNEW010,1,3022,895.0,Newport Tower,9,,,,,,,,
NJCNEW010,2,3022,780.0,Newport Tower,9,,,,,,,,
NJCNEW010,3,2857,780.0,Newport Tower,9,,,,,,,,
NJCNEW009,0,2857,740.0,Newport Tower,10,,,,,,,,
NJCNEW009,1,3007,741.0,Newport Tower,1,,,,,,,,
NJCNEW009,2,3006,544.0,Newport Tower,10,,,,,,,,
NJCNEW009,3,2860,542.0,Newport Tower,10,,,,,,,,
NJCNEW011,0,3007,741.0,Newport Tower,11,,,,,,,,
NJCNEW011,1,3063,740.0,Newport Tower,11,,,,,,,,
NJCNEW011,2,3063,710.0,Newport Tower,11,,,,,,,,
NJCNEW011,3,3138,708.0,Newport Tower,11,,,,,,,,
NJCNEW011,4,3139,544.0,Newport Tower,11,,,,,,,,
NJCNEW011,5,3006,544.0,Newport Tower,11,,,,,,,,
NJCNEW017,0,2858,1008.0,Newport Tower,12,,,,,,,,
NJCNEW017,1,2861,893.0,Newport Tower,12,,,,,,,,
NJCNEW017,2,3022,895.0,Newport Tower,12,,,,,,,,
NJCNEW017,3,3022,1008.0,Newport Tower,12,,,,,,,,
NJCNEW016,0,2858,1159.0,Newport Tower,13,,,,,,,,
NJCNEW016,1,2859,1051.0,Newport Tower,13,,,,,,,,
NJCNEW016,2,2962,1051.0,Newport Tower,13,,,,,,,,
NJCNEW016,3,2961,1159.0,Newport Tower,13,,,,,,,,
NJCNEW015,0,2858,1008.0,Newport Tower,14,,,,,,,,
NJCNEW015,1,2859,931.0,Newport Tower,14,,,,,,,,
NJCNEW015,2,2710,932.0,Newport Tower,14,,,,,,,,
NJCNEW015,3,2710,1008.0,Newport Tower,14,,,,,,,,
NJCNEW014,0,2859,1051.0,Newport Tower,15,,,,,,,,
NJCNEW014,1,2858,1159.0,Newport Tower,15,,,,,,,,
NJCNEW014,2,2711,1158.0,Newport Tower,15,,,,,,,,
NJCNEW014,3,2709,1052.0,Newport Tower,15,,,,,,,,
NJCNEW013,0,2595,1005.0,Newport Tower,16,,,,,,,,
NJCNEW013,1,2597,931.0,Newport Tower,16,,,,,,,,
NJCNEW013,2,2710,932.0,Newport Tower,16,,,,,,,,
NJCNEW013,3,2710,1008.0,Newport Tower,16,,,,,,,,
NJCNEW012,0,2621,1049.0,Newport Tower,17,,,,,,,,
NJCNEW012,1,2709,1052.0,Newport Tower,17,,,,,,,,
NJCNEW012,2,2711,1158.0,Newport Tower,17,,,,,,,,
NJCNEW012,3,2622,1159.0,Newport Tower,17,,,,,,,,
NJCNEW019,0,2619,1276.0,Newport Tower,18,,,,,,,,
NJCNEW019,1,2622,1159.0,Newport Tower,18,,,,,,,,
NJCNEW019,2,2711,1158.0,Newport Tower,18,,,,,,,,
NJCNEW019,3,2712,1276.0,Newport Tower,18,,,,,,,,
NJCNEW018,0,2666,1446.0,Newport Tower,19,,,,,,,,
NJCNEW018,1,2770,1447.0,Newport Tower,19,,,,,,,,
NJCNEW018,2,2772,1318.0,Newport Tower,19,,,,,,,,
NJCNEW018,3,2664,1318.0,Newport Tower,19,,,,,,,,
NJCNEW020,0,2772,1318.0,Newport Tower,20,,,,,,,,
NJCNEW020,1,2858,1318.0,Newport Tower,20,,,,,,,,
NJCNEW020,2,2855,1447.0,Newport Tower,20,,,,,,,,
NJCNEW020,3,2770,1447.0,Newport Tower,20,,,,,,,,
NJCNEW021,0,2712,1276.0,Newport Tower,21,,,,,,,,
NJCNEW021,1,2711,1158.0,Newport Tower,21,,,,,,,,
NJCNEW021,2,2858,1159.0,Newport Tower,21,,,,,,,,
NJCNEW021,3,2860,1277.0,Newport Tower,21,,,,,,,,
NJCNEW022,0,2855,1447.0,Newport Tower,22,,,,,,,,
NJCNEW022,1,2858,1318.0,Newport Tower,22,,,,,,,,
NJCNEW022,2,3026,1318.0,Newport Tower,22,,,,,,,,
