Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCNOM201,0,"1,500",2955.0,NoMad add 3rd,201,,,,,,,,
NYCNOM201,1,"1,500",2845.0,NoMad add 3rd,201,,,,,,,,
NYCNOM201,2,"1,295",2845.0,NoMad add 3rd,201,,,,,,,,
NYCNOM201,3,"1,295",2955.0,NoMad add 3rd,201,,,,,,,,
NYCNOM202,0,"1,500",2955.0,NoMad add 3rd,202,,,,,,,,
NYCNOM202,1,"1,575",2955.0,NoMad add 3rd,202,,,,,,,,
NYCNOM202,2,"1,575",2985.0,NoMad add 3rd,202,,,,,,,,
NYCNOM202,3,"1,665",2985.0,NoMad add 3rd,202,,,,,,,,
NYCNOM202,4,"1,665",2845.0,NoMad add 3rd,202,,,,,,,,
NYCNOM202,5,"1,500",2845.0,NoMad add 3rd,202,,,,,,,,
NYCNOM203,0,"1,665",2985.0,NoMad add 3rd,203,,,,,,,,
NYCNOM203,1,"1,755",2985.0,NoMad add 3rd,203,,,,,,,,
NYCNOM203,2,"1,755",2845.0,NoMad add 3rd,203,,,,,,,,
NYCNOM203,3,"1,665",2845.0,NoMad add 3rd,203,,,,,,,,
NYCNOM204,0,"1,575",2985.0,NoMad add 3rd,204,,,,,,,,
NYCNOM204,1,"1,575",3255.0,NoMad add 3rd,204,,,,,,,,
NYCNOM204,2,"1,755",3255.0,NoMad add 3rd,204,,,,,,,,
NYCNOM204,3,"1,755",2985.0,NoMad add 3rd,204,,,,,,,,
NYCNOM205,0,"1,755",3255.0,NoMad add 3rd,205,,,,,,,,
NYCNOM205,1,"1,965",3255.0,NoMad add 3rd,205,,,,,,,,
NYCNOM205,2,"1,965",3045.0,NoMad add 3rd,205,,,,,,,,
NYCNOM205,3,"1,755",3045.0,NoMad add 3rd,205,,,,,,,,
NYCNOM206,0,"1,965",3255.0,NoMad add 3rd,206,,,,,,,,
NYCNOM206,1,"2,115",3255.0,NoMad add 3rd,206,,,,,,,,
NYCNOM206,2,"2,115",3045.0,NoMad add 3rd,206,,,,,,,,
NYCNOM206,3,"1,965",3045.0,NoMad add 3rd,206,,,,,,,,
NYCNOM207,0,"2,115",3255.0,NoMad add 3rd,207,,,,,,,,
NYCNOM207,1,"2,290",3255.0,NoMad add 3rd,207,,,,,,,,
NYCNOM207,2,"2,290",3045.0,NoMad add 3rd,207,,,,,,,,
