Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BETROS901,0,1848.5,1674.6,North Bethesda- Pike and Rose,,,,,,,,,
BETROS001,0,1666.5,1449.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS001,1,1530.5,1449.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS001,2,1530.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS001,3,1664.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS002,0,1530.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS002,1,1386.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS002,2,1386.5,1448.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS002,3,1530.5,1449.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS003,0,1386.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS003,1,1243.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS003,2,1243.5,1449.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS003,3,1386.5,1448.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS004,0,1243.5,1626.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS004,1,1108.5,1626.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS004,2,1066,1472.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS004,3,1163,1450.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS004,4,1243.5,1449.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS005,0,1066,1472.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS005,1,962.5,1501.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS005,2,1003.5,1650.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS005,3,1106.5,1622.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS006,0,1003.5,1648.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS006,1,856.5,1692.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS006,2,823.5,1568.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS006,3,969.5,1527.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS006,4,1003.5,1652.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS007,0,1409.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS007,1,1468.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS007,2,1468.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS007,3,1408.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS008,0,1408.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS008,1,1324.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS008,2,1324.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS008,3,1409.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS009,0,1324.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS009,1,1237.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS009,2,1237.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS009,3,1324.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS010,0,1237.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS010,1,1152.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS010,2,1152.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS010,3,1237.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS011,0,1152.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS011,1,1056.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS011,2,1056.5,1682.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS011,3,1105.5,1667.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS011,4,1152.5,1666.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS012,0,1056.5,1682.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS012,1,908.5,1722.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS012,2,938.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS012,3,1057.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS013,0,1409.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS013,1,1409.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS013,2,1486.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS013,3,1486.5,1768.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS013,4,1469.5,1768.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS013,5,1468.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS014,0,1409.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS014,1,1323.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS014,2,1324.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS014,3,1409.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS015,0,1323.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS015,1,1239.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS015,2,1239.5,1746.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS015,3,1324.5,1745.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS016,0,1239.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS016,1,1154.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS016,2,1152.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS016,3,1239.5,1746.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS017,0,1154.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS017,1,1057.5,1823.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS017,2,1056.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS017,3,1152.5,1744.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS018,0,823.5,1568.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS018,1,878.5,1761.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS018,2,738.5,1803.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS018,3,686.5,1606.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS019,0,878.5,1761.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS019,1,906.5,1859.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS019,2,906.5,1894.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS019,3,773.5,1931.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS019,4,738.5,1803.5,North Bethesda- Pike and Rose,,,,,,,,,
BETROS020,0,906.5,1894.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS020,1,906.5,2055.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS020,2,788.5,2055.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS020,3,788.5,1982.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS020,4,773.5,1931.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS021,0,906.5,2055.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS021,1,906.5,2152.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS021,2,788.5,2152.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS021,3,788.5,2055.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS022,0,906.5,2152.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS022,1,906.5,2248.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS022,2,789.5,2248.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS022,3,788.5,2152.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS023,0,906.5,2248.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS023,1,906.5,2342.0,North Bethesda- Pike and Rose,,,,,,,,,
BETROS023,2,789.5,2342.0,North Bethesda- Pike and Rose,,,,,,,,,
