Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHILAS201,0,"1,320",2895.0,North LaSalle,201,,,,,,,,
CHILAS201,1,"1,420",2895.0,North LaSalle,201,,,,,,,,
CHILAS201,2,"1,420",2800.0,North LaSalle,201,,,,,,,,
CHILAS201,3,"1,320",2800.0,North LaSalle,201,,,,,,,,
CHILAS202,0,"1,320",2895.0,North LaSalle,202,,,,,,,,
CHILAS202,1,"1,320",2995.0,North LaSalle,202,,,,,,,,
CHILAS202,2,"1,420",2995.0,North LaSalle,202,,,,,,,,
CHILAS202,3,"1,420",2895.0,North LaSalle,202,,,,,,,,
CHILAS203,0,"1,450",3055.0,North LaSalle,203,,,,,,,,
CHILAS203,1,"1,450",3250.0,North LaSalle,203,,,,,,,,
CHILAS203,2,"1,655",3250.0,North LaSalle,203,,,,,,,,
CHILAS203,3,"1,655",3055.0,North LaSalle,203,,,,,,,,
CHILAS204,0,"1,655",3250.0,North LaSalle,204,,,,,,,,
CHILAS204,1,"1,845",3250.0,North LaSalle,204,,,,,,,,
CHILAS204,2,"1,845",3055.0,North LaSalle,204,,,,,,,,
CHILAS204,3,"1,655",3055.0,North LaSalle,204,,,,,,,,
CHILAS205,0,"1,845",3250.0,North LaSalle,205,,,,,,,,
CHILAS205,1,"2,020",3250.0,North LaSalle,205,,,,,,,,
CHILAS205,2,"2,020",3055.0,North LaSalle,205,,,,,,,,
CHILAS205,3,"1,845",3055.0,North LaSalle,205,,,,,,,,
CHILAS206,0,"2,020",3250.0,North LaSalle,206,,,,,,,,
CHILAS206,1,"2,530",3250.0,North LaSalle,206,,,,,,,,
CHILAS206,2,"2,525",3055.0,North LaSalle,206,,,,,,,,
CHILAS206,3,"2,020",3055.0,North LaSalle,206,,,,,,,,
CHILAS207,0,"2,525",3055.0,North LaSalle,207,,,,,,,,
CHILAS207,1,"2,525",2890.0,North LaSalle,207,,,,,,,,
CHILAS207,2,"2,335",2890.0,North LaSalle,207,,,,,,,,
CHILAS207,3,"2,335",3055.0,North LaSalle,207,,,,,,,,
CHILAS208,0,"2,525",2890.0,North LaSalle,208,,,,,,,,
CHILAS208,1,"2,525",2800.0,North LaSalle,208,,,,,,,,
CHILAS208,2,"2,335",2800.0,North LaSalle,208,,,,,,,,
CHILAS208,3,"2,335",2890.0,North LaSalle,208,,,,,,,,
CHILAS209,0,"2,525",2800.0,North LaSalle,209,,,,,,,,
CHILAS209,1,"2,520",2635.0,North LaSalle,209,,,,,,,,
CHILAS209,2,"2,335",2635.0,North LaSalle,209,,,,,,,,
CHILAS209,3,"2,335",2800.0,North LaSalle,209,,,,,,,,
CHILAS210,0,"2,520",2635.0,North LaSalle,210,,,,,,,,
CHILAS210,1,"2,515",2465.0,North LaSalle,210,,,,,,,,
CHILAS210,2,"2,335",2465.0,North LaSalle,210,,,,,,,,
CHILAS210,3,"2,335",2635.0,North LaSalle,210,,,,,,,,
CHILAS211,0,"2,515",2465.0,North LaSalle,211,,,,,,,,
CHILAS211,1,"2,515",2250.0,North LaSalle,211,,,,,,,,
CHILAS211,2,"2,335",2250.0,North LaSalle,211,,,,,,,,
CHILAS211,3,"2,335",2465.0,North LaSalle,211,,,,,,,,
CHILAS212,0,"2,515",2250.0,North LaSalle,212,,,,,,,,
CHILAS212,1,"2,515",2015.0,North LaSalle,212,,,,,,,,
CHILAS212,2,"2,225",2015.0,North LaSalle,212,,,,,,,,
CHILAS212,3,"2,225",2220.0,North LaSalle,212,,,,,,,,
CHILAS212,4,"2,265",2220.0,North LaSalle,212,,,,,,,,
CHILAS212,5,"2,265",2250.0,North LaSalle,212,,,,,,,,
CHILAS213,0,"2,265",2220.0,North LaSalle,213,,,,,,,,
CHILAS213,1,"2,115",2220.0,North LaSalle,213,,,,,,,,
CHILAS213,2,"2,115",2265.0,North LaSalle,213,,,,,,,,
CHILAS213,3,"2,070",2265.0,North LaSalle,213,,,,,,,,
CHILAS213,4,"2,070",2325.0,North LaSalle,213,,,,,,,,
CHILAS213,5,"2,265",2325.0,North LaSalle,213,,,,,,,,
CHILAS214,0,"2,070",2395.0,North LaSalle,214,,,,,,,,
CHILAS214,1,"2,070",2530.0,North LaSalle,214,,,,,,,,
CHILAS214,2,"2,175",2530.0,North LaSalle,214,,,,,,,,
CHILAS214,3,"2,175",2395.0,North LaSalle,214,,,,,,,,
CHILAS215,0,"2,495",2015.0,North LaSalle,215,,,,,,,,
CHILAS215,1,"2,495",1750.0,North LaSalle,215,,,,,,,,
CHILAS215,2,"2,160",1750.0,North LaSalle,215,,,,,,,,
CHILAS215,3,"2,160",1975.0,North LaSalle,215,,,,,,,,
CHILAS215,4,"2,115",1975.0,North LaSalle,215,,,,,,,,
CHILAS215,5,"2,115",2015.0,North LaSalle,215,,,,,,,,
CHILAS216,0,"2,160",1975.0,North LaSalle,216,,,,,,,,
CHILAS216,1,"2,070",1975.0,North LaSalle,216,,,,,,,,
CHILAS216,2,"2,070",1850.0,North LaSalle,216,,,,,,,,
CHILAS216,3,"2,160",1850.0,North LaSalle,216,,,,,,,,
CHILAS217,0,"2,070",1850.0,North LaSalle,217,,,,,,,,
CHILAS217,1,"2,070",1750.0,North LaSalle,217,,,,,,,,
CHILAS217,2,"2,160",1750.0,North LaSalle,217,,,,,,,,
CHILAS217,3,"2,160",1850.0,North LaSalle,217,,,,,,,,
CHILAS218,0,"1,525",2410.0,North LaSalle,218,,,,,,,,
CHILAS218,1,"1,525",2490.0,North LaSalle,218,,,,,,,,
CHILAS218,2,"1,670",2490.0,North LaSalle,218,,,,,,,,
CHILAS218,3,"1,670",2410.0,North LaSalle,218,,,,,,,,
CHILAS219,0,"1,120",2635.0,North LaSalle,219,,,,,,,,
CHILAS219,1,"1,120",2800.0,North LaSalle,219,,,,,,,,
CHILAS219,2,"1,420",2800.0,North LaSalle,219,,,,,,,,
CHILAS219,3,"1,420",2635.0,North LaSalle,219,,,,,,,,
CHILAS220,0,"1,420",2635.0,North LaSalle,220,,,,,,,,
CHILAS220,1,"1,420",2525.0,North LaSalle,220,,,,,,,,
CHILAS220,2,"1,200",2525.0,North LaSalle,220,,,,,,,,
CHILAS220,3,"1,200",2635.0,North LaSalle,220,,,,,,,,
CHILAS221,0,"1,420",2525.0,North LaSalle,221,,,,,,,,
CHILAS221,1,"1,420",2410.0,North LaSalle,221,,,,,,,,
CHILAS221,2,"1,200",2410.0,North LaSalle,221,,,,,,,,
CHILAS221,3,"1,200",2525.0,North LaSalle,221,,,,,,,,
CHILAS222,0,980,2410.0,North LaSalle,222,,,,,,,,
CHILAS222,1,980,2495.0,North LaSalle,222,,,,,,,,
CHILAS222,2,"1,125",2495.0,North LaSalle,222,,,,,,,,
CHILAS222,3,"1,125",2410.0,North LaSalle,222,,,,,,,,
CHILAS223,0,495,1750.0,North LaSalle,223,,,,,,,,
CHILAS223,1,495,1865.0,North LaSalle,223,,,,,,,,
CHILAS223,2,580,1865.0,North LaSalle,223,,,,,,,,
CHILAS223,3,580,1750.0,North LaSalle,223,,,,,,,,
CHILAS224,0,495,1865.0,North LaSalle,224,,,,,,,,
CHILAS224,1,495,1975.0,North LaSalle,224,,,,,,,,
CHILAS224,2,580,1975.0,North LaSalle,224,,,,,,,,
CHILAS224,3,580,1865.0,North LaSalle,224,,,,,,,,
CHILAS225,0,495,1750.0,North LaSalle,225,,,,,,,,
CHILAS225,1,100,1750.0,North LaSalle,225,,,,,,,,
CHILAS225,2,100,2060.0,North LaSalle,225,,,,,,,,
CHILAS225,3,160,2015.0,North LaSalle,225,,,,,,,,
CHILAS225,4,535,2015.0,North LaSalle,225,,,,,,,,
CHILAS225,5,535,1975.0,North LaSalle,225,,,,,,,,
CHILAS225,6,495,1975.0,North LaSalle,225,,,,,,,,
CHILAS226,0,445,2265.0,North LaSalle,226,,,,,,,,
CHILAS226,1,445,2390.0,North LaSalle,226,,,,,,,,
CHILAS226,2,580,2390.0,North LaSalle,226,,,,,,,,
CHILAS226,3,580,2265.0,North LaSalle,226,,,,,,,,
CHILAS227,0,445,2265.0,North LaSalle,227,,,,,,,,
CHILAS227,1,330,2265.0,North LaSalle,227,,,,,,,,
CHILAS227,2,330,2390.0,North LaSalle,227,,,,,,,,
CHILAS227,3,445,2390.0,North LaSalle,227,,,,,,,,
CHILAS228,0,100,2060.0,North LaSalle,228,,,,,,,,
CHILAS228,1,100,2185.0,North LaSalle,228,,,,,,,,
CHILAS228,2,150,2220.0,North LaSalle,228,,,,,,,,
CHILAS228,3,150,2265.0,North LaSalle,228,,,,,,,,
CHILAS228,4,425,2265.0,North LaSalle,228,,,,,,,,
CHILAS228,5,425,2015.0,North LaSalle,228,,,,,,,,
CHILAS228,6,160,2015.0,North LaSalle,228,,,,,,,,
CHILAS229,0,150,2265.0,North LaSalle,229,,,,,,,,
CHILAS229,1,150,2400.0,North LaSalle,229,,,,,,,,
CHILAS229,2,260,2400.0,North LaSalle,229,,,,,,,,
CHILAS229,3,260,2265.0,North LaSalle,229,,,,,,,,
CHILAS230,0,150,2400.0,North LaSalle,230,,,,,,,,
CHILAS230,1,150,2525.0,North LaSalle,230,,,,,,,,
CHILAS230,2,260,2525.0,North LaSalle,230,,,,,,,,
CHILAS230,3,260,2400.0,North LaSalle,230,,,,,,,,
CHILAS231,0,115,2985.0,North LaSalle,231,,,,,,,,
CHILAS231,1,115,3250.0,North LaSalle,231,,,,,,,,
CHILAS231,2,360,3250.0,North LaSalle,231,,,,,,,,
CHILAS231,3,360,3055.0,North LaSalle,231,,,,,,,,
CHILAS231,4,390,3055.0,North LaSalle,231,,,,,,,,
CHILAS231,5,390,2985.0,North LaSalle,231,,,,,,,,
CHILAS232,0,360,3250.0,North LaSalle,232,,,,,,,,
CHILAS232,1,530,3250.0,North LaSalle,232,,,,,,,,
CHILAS232,2,530,3055.0,North LaSalle,232,,,,,,,,
CHILAS232,3,360,3055.0,North LaSalle,232,,,,,,,,
CHILAS233,0,530,3250.0,North LaSalle,233,,,,,,,,
CHILAS233,1,805,3250.0,North LaSalle,233,,,,,,,,
CHILAS233,2,805,3055.0,North LaSalle,233,,,,,,,,
CHILAS233,3,530,3055.0,North LaSalle,233,,,,,,,,
CHILAS234,0,560,2815.0,North LaSalle,234,,,,,,,,
CHILAS234,1,560,2990.0,North LaSalle,234,,,,,,,,
CHILAS234,2,805,2990.0,North LaSalle,234,,,,,,,,
CHILAS234,3,805,2815.0,North LaSalle,234,,,,,,,,
CHILAS235,0,805,3250.0,North LaSalle,235,,,,,,,,
CHILAS235,1,995,3250.0,North LaSalle,235,,,,,,,,
CHILAS235,2,995,3055.0,North LaSalle,235,,,,,,,,
CHILAS235,3,805,3055.0,North LaSalle,235,,,,,,,,
CHILAS236,0,825,2995.0,North LaSalle,236,,,,,,,,
CHILAS236,1,"1,015",2995.0,North LaSalle,236,,,,,,,,
CHILAS236,2,"1,015",2800.0,North LaSalle,236,,,,,,,,
CHILAS236,3,825,2800.0,North LaSalle,236,,,,,,,,
CHILAS237,0,995,3250.0,North LaSalle,237,,,,,,,,
CHILAS237,1,"1,195",3250.0,North LaSalle,237,,,,,,,,
CHILAS237,2,"1,195",3055.0,North LaSalle,237,,,,,,,,
CHILAS237,3,995,3055.0,North LaSalle,237,,,,,,,,
CHILAS238,0,"1,320",2800.0,North LaSalle,238,,,,,,,,
CHILAS238,1,"1,085",2800.0,North LaSalle,238,,,,,,,,
CHILAS238,2,"1,085",2995.0,North LaSalle,238,,,,,,,,
CHILAS238,3,"1,320",2995.0,North LaSalle,238,,,,,,,,
CHILAS239,0,"1,195",3055.0,North LaSalle,239,,,,,,,,
CHILAS239,1,"1,195",3215.0,North LaSalle,239,,,,,,,,
CHILAS239,2,"1,450",3215.0,North LaSalle,239,,,,,,,,
CHILAS239,3,"1,450",3055.0,North LaSalle,239,,,,,,,,
CHILAS301,0,"1,505",1440.0,North LaSalle,301,,,,,,,,
CHILAS301,1,"1,505",1520.0,North LaSalle,301,,,,,,,,
CHILAS301,2,"1,555",1520.0,North LaSalle,301,,,,,,,,
CHILAS301,3,"1,555",1590.0,North LaSalle,301,,,,,,,,
CHILAS301,4,"1,650",1590.0,North LaSalle,301,,,,,,,,
CHILAS301,5,"1,650",1440.0,North LaSalle,301,,,,,,,,
CHILAS302,0,"1,650",1590.0,North LaSalle,302,,,,,,,,
CHILAS302,1,"1,830",1590.0,North LaSalle,302,,,,,,,,
CHILAS302,2,"1,830",1440.0,North LaSalle,302,,,,,,,,
CHILAS302,3,"1,650",1440.0,North LaSalle,302,,,,,,,,
CHILAS303,0,"1,830",1590.0,North LaSalle,303,,,,,,,,
CHILAS303,1,"2,100",1590.0,North LaSalle,303,,,,,,,,
CHILAS303,2,"2,100",1440.0,North LaSalle,303,,,,,,,,
CHILAS303,3,"1,830",1440.0,North LaSalle,303,,,,,,,,
CHILAS304,0,"2,100",1590.0,North LaSalle,304,,,,,,,,
CHILAS304,1,"2,285",1590.0,North LaSalle,304,,,,,,,,
CHILAS304,2,"2,285",1440.0,North LaSalle,304,,,,,,,,
CHILAS304,3,"2,100",1440.0,North LaSalle,304,,,,,,,,
CHILAS305,0,"2,285",1590.0,North LaSalle,305,,,,,,,,
CHILAS305,1,"2,510",1590.0,North LaSalle,305,,,,,,,,
CHILAS305,2,"2,510",1380.0,North LaSalle,305,,,,,,,,
CHILAS305,3,"2,355",1380.0,North LaSalle,305,,,,,,,,
CHILAS305,4,"2,355",1440.0,North LaSalle,305,,,,,,,,
CHILAS305,5,"2,285",1440.0,North LaSalle,305,,,,,,,,
CHILAS306,0,"2,510",1380.0,North LaSalle,306,,,,,,,,
CHILAS306,1,"2,510",1215.0,North LaSalle,306,,,,,,,,
CHILAS306,2,"2,355",1215.0,North LaSalle,306,,,,,,,,
CHILAS306,3,"2,355",1380.0,North LaSalle,306,,,,,,,,
CHILAS307,0,"2,355",1215.0,North LaSalle,307,,,,,,,,
CHILAS307,1,"2,485",1215.0,North LaSalle,307,,,,,,,,
CHILAS307,2,"2,485",1115.0,North LaSalle,307,,,,,,,,
CHILAS307,3,"2,355",1115.0,North LaSalle,307,,,,,,,,
CHILAS308,0,"2,355",1115.0,North LaSalle,308,,,,,,,,
CHILAS308,1,"2,510",1115.0,North LaSalle,308,,,,,,,,
CHILAS308,2,"2,510",960.0,North LaSalle,308,,,,,,,,
CHILAS308,3,"2,355",960.0,North LaSalle,308,,,,,,,,
CHILAS309,0,"2,310",785.0,North LaSalle,309,,,,,,,,
CHILAS309,1,"2,480",785.0,North LaSalle,309,,,,,,,,
CHILAS309,2,"2,480",550.0,North LaSalle,309,,,,,,,,
CHILAS309,3,"2,310",550.0,North LaSalle,309,,,,,,,,
CHILAS310,0,"2,480",550.0,North LaSalle,310,,,,,,,,
CHILAS310,1,"2,480",315.0,North LaSalle,310,,,,,,,,
CHILAS310,2,"2,310",315.0,North LaSalle,310,,,,,,,,
CHILAS310,3,"2,310",550.0,North LaSalle,310,,,,,,,,
CHILAS311,0,"2,480",315.0,North LaSalle,311,,,,,,,,
CHILAS311,1,"2,480",110.0,North LaSalle,311,,,,,,,,
CHILAS311,2,"2,065",110.0,North LaSalle,311,,,,,,,,
CHILAS311,3,"2,065",315.0,North LaSalle,311,,,,,,,,
CHILAS312,0,"2,065",615.0,North LaSalle,312,,,,,,,,
CHILAS312,1,"2,065",785.0,North LaSalle,312,,,,,,,,
CHILAS312,2,"2,240",785.0,North LaSalle,312,,,,,,,,
CHILAS312,3,"2,240",615.0,North LaSalle,312,,,,,,,,
CHILAS313,0,385,620.0,North LaSalle,313,,,,,,,,
CHILAS313,1,385,785.0,North LaSalle,313,,,,,,,,
CHILAS313,2,580,785.0,North LaSalle,313,,,,,,,,
CHILAS313,3,580,620.0,North LaSalle,313,,,,,,,,
CHILAS314,0,325,105.0,North LaSalle,314,,,,,,,,
CHILAS314,1,325,330.0,North LaSalle,314,,,,,,,,
CHILAS314,2,580,330.0,North LaSalle,314,,,,,,,,
CHILAS314,3,580,105.0,North LaSalle,314,,,,,,,,
CHILAS315,0,325,105.0,North LaSalle,315,,,,,,,,
CHILAS315,1,155,105.0,North LaSalle,315,,,,,,,,
CHILAS315,2,155,405.0,North LaSalle,315,,,,,,,,
CHILAS315,3,325,405.0,North LaSalle,315,,,,,,,,
CHILAS316,0,325,405.0,North LaSalle,316,,,,,,,,
CHILAS316,1,75,405.0,North LaSalle,316,,,,,,,,
CHILAS316,2,75,575.0,North LaSalle,316,,,,,,,,
CHILAS316,3,325,575.0,North LaSalle,316,,,,,,,,
CHILAS317,0,325,575.0,North LaSalle,317,,,,,,,,
CHILAS317,1,160,575.0,North LaSalle,317,,,,,,,,
CHILAS317,2,160,715.0,North LaSalle,317,,,,,,,,
CHILAS317,3,325,715.0,North LaSalle,317,,,,,,,,
CHILAS318,0,160,715.0,North LaSalle,318,,,,,,,,
CHILAS318,1,160,845.0,North LaSalle,318,,,,,,,,
CHILAS318,2,325,845.0,North LaSalle,318,,,,,,,,
CHILAS318,3,325,715.0,North LaSalle,318,,,,,,,,
