Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PASMIL901,0,1488,1424.0,Old Pasadena,,,,,,,,,
PASMIL001,0,1377,2130.0,Old Pasadena,,,,,,,,,
PASMIL001,1,1540,2130.0,Old Pasadena,,,,,,,,,
PASMIL001,2,1540,1944.0,Old Pasadena,,,,,,,,,
PASMIL001,3,1377,1944.0,Old Pasadena,,,,,,,,,
PASMIL002,0,1377,1946.0,Old Pasadena,,,,,,,,,
PASMIL002,1,1219,1944.0,Old Pasadena,,,,,,,,,
PASMIL002,2,1219,2131.0,Old Pasadena,,,,,,,,,
PASMIL002,3,1377,2130.0,Old Pasadena,,,,,,,,,
PASMIL003,0,1219,1944.0,Old Pasadena,,,,,,,,,
PASMIL003,1,989,1944.0,Old Pasadena,,,,,,,,,
PASMIL003,2,989,2133.0,Old Pasadena,,,,,,,,,
PASMIL003,3,1219,2131.0,Old Pasadena,,,,,,,,,
PASMIL004,0,989,1944.0,Old Pasadena,,,,,,,,,
PASMIL004,1,759,1944.0,Old Pasadena,,,,,,,,,
PASMIL004,2,759,2131.0,Old Pasadena,,,,,,,,,
PASMIL004,3,989,2133.0,Old Pasadena,,,,,,,,,
PASMIL005,0,759,1944.0,Old Pasadena,,,,,,,,,
PASMIL005,1,568,1944.0,Old Pasadena,,,,,,,,,
PASMIL005,2,568,2131.0,Old Pasadena,,,,,,,,,
PASMIL005,3,759,2131.0,Old Pasadena,,,,,,,,,
PASMIL006,0,568,1944.0,Old Pasadena,,,,,,,,,
PASMIL006,1,384,1944.0,Old Pasadena,,,,,,,,,
PASMIL006,2,383,2131.0,Old Pasadena,,,,,,,,,
PASMIL006,3,568,2131.0,Old Pasadena,,,,,,,,,
PASMIL007,0,1468,1880.0,Old Pasadena,,,,,,,,,
PASMIL007,1,1327,1881.0,Old Pasadena,,,,,,,,,
PASMIL007,2,1326,1747.0,Old Pasadena,,,,,,,,,
PASMIL007,3,1468,1747.0,Old Pasadena,,,,,,,,,
PASMIL008,0,1327,1881.0,Old Pasadena,,,,,,,,,
PASMIL008,1,1173,1881.0,Old Pasadena,,,,,,,,,
PASMIL008,2,1173,1749.0,Old Pasadena,,,,,,,,,
PASMIL008,3,1326,1747.0,Old Pasadena,,,,,,,,,
PASMIL009,0,1173,1881.0,Old Pasadena,,,,,,,,,
PASMIL009,1,1053,1881.0,Old Pasadena,,,,,,,,,
PASMIL009,2,1053,1749.0,Old Pasadena,,,,,,,,,
PASMIL009,3,1173,1749.0,Old Pasadena,,,,,,,,,
PASMIL010,0,1053,1881.0,Old Pasadena,,,,,,,,,
PASMIL010,1,933,1881.0,Old Pasadena,,,,,,,,,
PASMIL010,2,933,1749.0,Old Pasadena,,,,,,,,,
PASMIL010,3,1053,1749.0,Old Pasadena,,,,,,,,,
