Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AVEOPT1201,0,1505,2070.0,Optima Onyx,1201,,,,,,,,
AVEOPT1201,1,1505,1930.0,Optima Onyx,1201,,,,,,,,
AVEOPT1201,2,1360,1930.0,Optima Onyx,1201,,,,,,,,
AVEOPT1201,3,1360,1990.0,Optima Onyx,1201,,,,,,,,
AVEOPT1201,4,1330,1990.0,Optima Onyx,1201,,,,,,,,
AVEOPT1201,5,1330,2070.0,Optima Onyx,1201,,,,,,,,
AVEOPT1202,0,1330,2070.0,Optima Onyx,1202,,,,,,,,
AVEOPT1202,1,1175,2070.0,Optima Onyx,1202,,,,,,,,
AVEOPT1202,2,1175,1930.0,Optima Onyx,1202,,,,,,,,
AVEOPT1202,3,1330,1930.0,Optima Onyx,1202,,,,,,,,
AVEOPT1203,0,1330,2125.0,Optima Onyx,1203,,,,,,,,
AVEOPT1203,1,1330,2225.0,Optima Onyx,1203,,,,,,,,
AVEOPT1203,2,1240,2225.0,Optima Onyx,1203,,,,,,,,
AVEOPT1203,3,1240,2125.0,Optima Onyx,1203,,,,,,,,
AVEOPT1204,0,1240,2225.0,Optima Onyx,1204,,,,,,,,
AVEOPT1204,1,1145,2225.0,Optima Onyx,1204,,,,,,,,
AVEOPT1204,2,1145,2125.0,Optima Onyx,1204,,,,,,,,
AVEOPT1204,3,1240,2125.0,Optima Onyx,1204,,,,,,,,
AVEOPT1205,0,1175,2070.0,Optima Onyx,1205,,,,,,,,
AVEOPT1205,1,910,2070.0,Optima Onyx,1205,,,,,,,,
AVEOPT1205,2,910,1930.0,Optima Onyx,1205,,,,,,,,
AVEOPT1205,3,1175,1930.0,Optima Onyx,1205,,,,,,,,
AVEOPT1206,0,1145,2225.0,Optima Onyx,1206,,,,,,,,
AVEOPT1206,1,1045,2225.0,Optima Onyx,1206,,,,,,,,
AVEOPT1206,2,1045,2125.0,Optima Onyx,1206,,,,,,,,
AVEOPT1206,3,1145,2125.0,Optima Onyx,1206,,,,,,,,
AVEOPT1207,0,1045,2225.0,Optima Onyx,1207,,,,,,,,
AVEOPT1207,1,945,2225.0,Optima Onyx,1207,,,,,,,,
AVEOPT1207,2,945,2125.0,Optima Onyx,1207,,,,,,,,
AVEOPT1207,3,1045,2125.0,Optima Onyx,1207,,,,,,,,
AVEOPT1208,0,910,2070.0,Optima Onyx,1208,,,,,,,,
AVEOPT1208,1,725,2070.0,Optima Onyx,1208,,,,,,,,
AVEOPT1208,2,725,1930.0,Optima Onyx,1208,,,,,,,,
AVEOPT1208,3,890,1930.0,Optima Onyx,1208,,,,,,,,
AVEOPT1208,4,890,1985.0,Optima Onyx,1208,,,,,,,,
AVEOPT1208,5,910,1985.0,Optima Onyx,1208,,,,,,,,
AVEOPT1209,0,945,2125.0,Optima Onyx,1209,,,,,,,,
AVEOPT1209,1,830,2125.0,Optima Onyx,1209,,,,,,,,
AVEOPT1209,2,830,2260.0,Optima Onyx,1209,,,,,,,,
AVEOPT1209,3,945,2260.0,Optima Onyx,1209,,,,,,,,
AVEOPT1210,0,780,2215.0,Optima Onyx,1210,,,,,,,,
AVEOPT1210,1,700,2215.0,Optima Onyx,1210,,,,,,,,
AVEOPT1210,2,700,2125.0,Optima Onyx,1210,,,,,,,,
AVEOPT1210,3,780,2125.0,Optima Onyx,1210,,,,,,,,
AVEOPT1211,0,725,2070.0,Optima Onyx,1211,,,,,,,,
AVEOPT1211,1,450,2070.0,Optima Onyx,1211,,,,,,,,
AVEOPT1211,2,450,1975.0,Optima Onyx,1211,,,,,,,,
AVEOPT1211,3,470,1975.0,Optima Onyx,1211,,,,,,,,
AVEOPT1211,4,470,1930.0,Optima Onyx,1211,,,,,,,,
AVEOPT1211,5,725,1930.0,Optima Onyx,1211,,,,,,,,
AVEOPT1212,0,700,2215.0,Optima Onyx,1212,,,,,,,,
AVEOPT1212,1,615,2215.0,Optima Onyx,1212,,,,,,,,
AVEOPT1212,2,615,2125.0,Optima Onyx,1212,,,,,,,,
AVEOPT1212,3,700,2125.0,Optima Onyx,1212,,,,,,,,
AVEOPT1213,0,615,2215.0,Optima Onyx,1213,,,,,,,,
AVEOPT1213,1,530,2215.0,Optima Onyx,1213,,,,,,,,
AVEOPT1213,2,530,2125.0,Optima Onyx,1213,,,,,,,,
AVEOPT1213,3,615,2125.0,Optima Onyx,1213,,,,,,,,
AVEOPT1214,0,480,2150.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,1,275,2150.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,2,275,1930.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,3,435,1930.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,4,435,1935.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,5,450,1935.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,6,450,2070.0,Optima Onyx,1214,,,,,,,,
AVEOPT1214,7,480,2070.0,Optima Onyx,1214,,,,,,,,
AVEOPT1215,0,480,2150.0,Optima Onyx,1215,,,,,,,,
