Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ORLORA001,0,517,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA001,1,440,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA001,2,440,20.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA001,3,517,20.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA002,0,440,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA002,1,350,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA002,2,350,20.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA002,3,440,20.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,0,350,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,1,231,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,2,231,144.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,3,197,144.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,4,197,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,5,181,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,6,181,123.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,7,203.3333321,106.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,8,224,94.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,9,247,83.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,10,271,75.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,11,297,69.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,12,322,66.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA003,13,349,66.33332825,Orlando - 300 S Orange,,,,,,,,,
ORLORA004,0,372.3333321,157.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA004,1,299.3333321,157.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA004,2,299.3333321,233.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA004,3,372.3333321,233.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA005,0,299.3333321,233.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA005,1,255.3333321,233.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA005,2,255.3333321,157.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA005,3,299.3333321,157.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,0,231,144.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,1,231,231.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,2,98.33333206,231.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,3,98.33333206,123.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,4,181,123.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,5,181,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,6,197,130.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA006,7,197,144.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA007,0,231,231.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA007,1,231,294.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA007,2,98.33333206,294.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA007,3,98.33333206,231.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA008,0,256,263.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA008,1,256,329.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA008,2,300,329.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA008,3,301,263.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA009,0,300,329.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA009,1,300,375.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA009,2,256,375.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA009,3,256,329.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA010,0,256,375.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA010,1,256,423.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA010,2,300,423.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA010,3,300,375.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA011,0,231,320.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA011,1,187,320.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA011,2,187,391.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA011,3,231,391.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA012,0,231,391.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA012,1,231,453.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA012,2,183,453.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA012,3,183,390.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA013,0,231,453.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA013,1,231,538.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA013,2,183,538.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA013,3,183,453.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA014,0,187,320.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA014,1,134,320.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA014,2,134,390.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA014,3,187,391.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA015,0,134,390.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA015,1,134,453.6666679,Orlando - 300 S Orange,,,,,,,,,
ORLORA015,2,183,453.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA015,3,183,391.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA016,0,134,453.6666679,Orlando - 300 S Orange,,,,,,,,,
ORLORA016,1,134,537.6666679,Orlando - 300 S Orange,,,,,,,,,
ORLORA016,2,183,538.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA016,3,183,453.3333282,Orlando - 300 S Orange,,,,,,,,,
ORLORA017,0,15,342.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA017,1,105,342.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA017,2,105,295.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA017,3,98.33333206,294.6666718,Orlando - 300 S Orange,,,,,,,,,
ORLORA017,4,98,290.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA017,5,15,290.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA018,0,105,342.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA018,1,105,396.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA018,2,15,396.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA018,3,15,342.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA019,0,105,396.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA019,1,105,467.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA019,2,16,467.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA019,3,15,396.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA020,0,105,467.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA020,1,105,534.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA020,2,16,534.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA020,3,16,467.333334,Orlando - 300 S Orange,,,,,,,,,
ORLORA021,0,105,534.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA021,1,105,642.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA021,2,16,642.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA021,3,16,534.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA022,0,105,642.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA022,1,189,642.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA022,2,189,565.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA022,3,105,565.0,Orlando - 300 S Orange,,,,,,,,,
ORLORA023,0,189,565.0,Orlando - 300 S Orange,,,,,,,,,
