Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PALMIL101,0,940,2430.0,Palo Alto Page Mill,101,,,,,,,,
PALMIL101,1,940,1990.0,Palo Alto Page Mill,101,,,,,,,,
PALMIL101,2,800,1990.0,Palo Alto Page Mill,101,,,,,,,,
PALMIL101,3,800,2210.0,Palo Alto Page Mill,101,,,,,,,,
PALMIL101,4,695,2210.0,Palo Alto Page Mill,101,,,,,,,,
PALMIL101,5,695,2430.0,Palo Alto Page Mill,101,,,,,,,,
PALMIL102,0,940,2430.0,Palo Alto Page Mill,102,,,,,,,,
PALMIL102,1,"1,065",2430.0,Palo Alto Page Mill,102,,,,,,,,
PALMIL102,2,"1,065",2235.0,Palo Alto Page Mill,102,,,,,,,,
PALMIL102,3,940,2235.0,Palo Alto Page Mill,102,,,,,,,,
PALMIL103,0,"1,065",2430.0,Palo Alto Page Mill,103,,,,,,,,
PALMIL103,1,"1,310",2430.0,Palo Alto Page Mill,103,,,,,,,,
PALMIL103,2,"1,310",2235.0,Palo Alto Page Mill,103,,,,,,,,
PALMIL103,3,"1,065",2235.0,Palo Alto Page Mill,103,,,,,,,,
PALMIL104,0,"1,310",2235.0,Palo Alto Page Mill,104,,,,,,,,
PALMIL104,1,"1,495",2235.0,Palo Alto Page Mill,104,,,,,,,,
PALMIL104,2,"1,495",2440.0,Palo Alto Page Mill,104,,,,,,,,
PALMIL104,3,"1,310",2440.0,Palo Alto Page Mill,104,,,,,,,,
PALMIL105,0,"1,590",2185.0,Palo Alto Page Mill,105,,,,,,,,
PALMIL105,1,"1,590",2100.0,Palo Alto Page Mill,105,,,,,,,,
PALMIL105,2,"1,475",2100.0,Palo Alto Page Mill,105,,,,,,,,
PALMIL105,3,"1,475",2185.0,Palo Alto Page Mill,105,,,,,,,,
PALMIL106,0,"1,495",2440.0,Palo Alto Page Mill,106,,,,,,,,
PALMIL106,1,"1,615",2440.0,Palo Alto Page Mill,106,,,,,,,,
PALMIL106,2,"1,615",2235.0,Palo Alto Page Mill,106,,,,,,,,
PALMIL106,3,"1,495",2235.0,Palo Alto Page Mill,106,,,,,,,,
PALMIL107,0,"1,615",2440.0,Palo Alto Page Mill,107,,,,,,,,
PALMIL107,1,"1,735",2440.0,Palo Alto Page Mill,107,,,,,,,,
PALMIL107,2,"1,735",2235.0,Palo Alto Page Mill,107,,,,,,,,
PALMIL107,3,"1,615",2235.0,Palo Alto Page Mill,107,,,,,,,,
PALMIL108,0,"1,590",2185.0,Palo Alto Page Mill,108,,,,,,,,
PALMIL108,1,"1,705",2185.0,Palo Alto Page Mill,108,,,,,,,,
PALMIL108,2,"1,705",2100.0,Palo Alto Page Mill,108,,,,,,,,
PALMIL108,3,"1,590",2100.0,Palo Alto Page Mill,108,,,,,,,,
PALMIL109,0,"1,705",2100.0,Palo Alto Page Mill,109,,,,,,,,
PALMIL109,1,"1,705",1940.0,Palo Alto Page Mill,109,,,,,,,,
PALMIL109,2,"1,605",1940.0,Palo Alto Page Mill,109,,,,,,,,
PALMIL109,3,"1,605",2100.0,Palo Alto Page Mill,109,,,,,,,,
PALMIL110,0,"1,705",1940.0,Palo Alto Page Mill,110,,,,,,,,
PALMIL110,1,"1,705",1855.0,Palo Alto Page Mill,110,,,,,,,,
PALMIL110,2,"1,590",1855.0,Palo Alto Page Mill,110,,,,,,,,
PALMIL110,3,"1,590",1940.0,Palo Alto Page Mill,110,,,,,,,,
PALMIL111,0,"1,705",1855.0,Palo Alto Page Mill,111,,,,,,,,
PALMIL111,1,"1,705",1775.0,Palo Alto Page Mill,111,,,,,,,,
PALMIL111,2,"1,590",1775.0,Palo Alto Page Mill,111,,,,,,,,
PALMIL111,3,"1,590",1855.0,Palo Alto Page Mill,111,,,,,,,,
PALMIL112,0,"1,705",1775.0,Palo Alto Page Mill,112,,,,,,,,
PALMIL112,1,"1,705",1695.0,Palo Alto Page Mill,112,,,,,,,,
PALMIL112,2,"1,590",1695.0,Palo Alto Page Mill,112,,,,,,,,
PALMIL112,3,"1,590",1775.0,Palo Alto Page Mill,112,,,,,,,,
PALMIL113,0,"1,590",1775.0,Palo Alto Page Mill,113,,,,,,,,
PALMIL113,1,"1,475",1775.0,Palo Alto Page Mill,113,,,,,,,,
PALMIL113,2,"1,475",1695.0,Palo Alto Page Mill,113,,,,,,,,
PALMIL113,3,"1,590",1695.0,Palo Alto Page Mill,113,,,,,,,,
PALMIL114,0,"1,590",1855.0,Palo Alto Page Mill,114,,,,,,,,
PALMIL114,1,"1,475",1855.0,Palo Alto Page Mill,114,,,,,,,,
PALMIL114,2,"1,475",1775.0,Palo Alto Page Mill,114,,,,,,,,
PALMIL114,3,"1,590",1775.0,Palo Alto Page Mill,114,,,,,,,,
PALMIL115,0,"1,590",1940.0,Palo Alto Page Mill,115,,,,,,,,
PALMIL115,1,"1,475",1940.0,Palo Alto Page Mill,115,,,,,,,,
PALMIL115,2,"1,475",1855.0,Palo Alto Page Mill,115,,,,,,,,
PALMIL115,3,"1,590",1855.0,Palo Alto Page Mill,115,,,,,,,,
PALMIL116,0,"1,735",2440.0,Palo Alto Page Mill,116,,,,,,,,
PALMIL116,1,"1,920",2440.0,Palo Alto Page Mill,116,,,,,,,,
PALMIL116,2,"1,920",2235.0,Palo Alto Page Mill,116,,,,,,,,
PALMIL116,3,"1,735",2235.0,Palo Alto Page Mill,116,,,,,,,,
PALMIL117,0,"1,920",2440.0,Palo Alto Page Mill,117,,,,,,,,
PALMIL117,1,"2,045",2440.0,Palo Alto Page Mill,117,,,,,,,,
PALMIL117,2,"2,045",2235.0,Palo Alto Page Mill,117,,,,,,,,
PALMIL117,3,"1,920",2235.0,Palo Alto Page Mill,117,,,,,,,,
PALMIL118,0,"2,045",2440.0,Palo Alto Page Mill,118,,,,,,,,
PALMIL118,1,"2,165",2440.0,Palo Alto Page Mill,118,,,,,,,,
PALMIL118,2,"2,165",2235.0,Palo Alto Page Mill,118,,,,,,,,
PALMIL118,3,"2,045",2235.0,Palo Alto Page Mill,118,,,,,,,,
PALMIL119,0,"2,315",2185.0,Palo Alto Page Mill,119,,,,,,,,
PALMIL119,1,"2,315",2095.0,Palo Alto Page Mill,119,,,,,,,,
PALMIL119,2,"2,195",2095.0,Palo Alto Page Mill,119,,,,,,,,
PALMIL119,3,"2,195",2185.0,Palo Alto Page Mill,119,,,,,,,,
PALMIL120,0,"2,165",2440.0,Palo Alto Page Mill,120,,,,,,,,
PALMIL120,1,"2,230",2440.0,Palo Alto Page Mill,120,,,,,,,,
PALMIL120,2,"2,230",2430.0,Palo Alto Page Mill,120,,,,,,,,
PALMIL120,3,"2,290",2430.0,Palo Alto Page Mill,120,,,,,,,,
PALMIL120,4,"2,290",2235.0,Palo Alto Page Mill,120,,,,,,,,
PALMIL120,5,"2,165",2235.0,Palo Alto Page Mill,120,,,,,,,,
PALMIL121,0,"2,290",2430.0,Palo Alto Page Mill,121,,,,,,,,
PALMIL121,1,"2,530",2430.0,Palo Alto Page Mill,121,,,,,,,,
PALMIL121,2,"2,530",2235.0,Palo Alto Page Mill,121,,,,,,,,
PALMIL121,3,"2,290",2235.0,Palo Alto Page Mill,121,,,,,,,,
PALMIL122,0,"2,315",2185.0,Palo Alto Page Mill,122,,,,,,,,
PALMIL122,1,"2,425",2185.0,Palo Alto Page Mill,122,,,,,,,,
PALMIL122,2,"2,425",2050.0,Palo Alto Page Mill,122,,,,,,,,
PALMIL122,3,"2,315",2050.0,Palo Alto Page Mill,122,,,,,,,,
PALMIL123,0,"2,565",2185.0,Palo Alto Page Mill,123,,,,,,,,
PALMIL123,1,"2,710",2185.0,Palo Alto Page Mill,123,,,,,,,,
PALMIL123,2,"2,710",1920.0,Palo Alto Page Mill,123,,,,,,,,
PALMIL123,3,"2,565",1920.0,Palo Alto Page Mill,123,,,,,,,,
PALMIL124,0,"2,530",2430.0,Palo Alto Page Mill,124,,,,,,,,
PALMIL124,1,"2,715",2430.0,Palo Alto Page Mill,124,,,,,,,,
PALMIL124,2,"2,715",2235.0,Palo Alto Page Mill,124,,,,,,,,
PALMIL124,3,"2,530",2235.0,Palo Alto Page Mill,124,,,,,,,,
PALMIL125,0,"2,715",2430.0,Palo Alto Page Mill,125,,,,,,,,
PALMIL125,1,"2,900",2430.0,Palo Alto Page Mill,125,,,,,,,,
PALMIL125,2,"2,900",2235.0,Palo Alto Page Mill,125,,,,,,,,
PALMIL125,3,"2,715",2235.0,Palo Alto Page Mill,125,,,,,,,,
PALMIL126,0,"2,710",2185.0,Palo Alto Page Mill,126,,,,,,,,
PALMIL126,1,"2,855",2185.0,Palo Alto Page Mill,126,,,,,,,,
PALMIL126,2,"2,855",1920.0,Palo Alto Page Mill,126,,,,,,,,
PALMIL126,3,"2,710",1920.0,Palo Alto Page Mill,126,,,,,,,,
PALMIL127,0,"2,855",2185.0,Palo Alto Page Mill,127,,,,,,,,
PALMIL127,1,"2,955",2185.0,Palo Alto Page Mill,127,,,,,,,,
PALMIL127,2,"2,955",2065.0,Palo Alto Page Mill,127,,,,,,,,
PALMIL127,3,"2,855",2065.0,Palo Alto Page Mill,127,,,,,,,,
PALMIL128,0,"2,900",2430.0,Palo Alto Page Mill,128,,,,,,,,
PALMIL128,1,"3,020",2430.0,Palo Alto Page Mill,128,,,,,,,,
PALMIL128,2,"3,020",2235.0,Palo Alto Page Mill,128,,,,,,,,
PALMIL128,3,"2,900",2235.0,Palo Alto Page Mill,128,,,,,,,,
PALMIL129,0,"3,020",2430.0,Palo Alto Page Mill,129,,,,,,,,
PALMIL129,1,"3,155",2430.0,Palo Alto Page Mill,129,,,,,,,,
PALMIL129,2,"3,155",2170.0,Palo Alto Page Mill,129,,,,,,,,
PALMIL129,3,"3,020",2170.0,Palo Alto Page Mill,129,,,,,,,,
PALMIL130,0,"2,955",2065.0,Palo Alto Page Mill,130,,,,,,,,
PALMIL130,1,"2,955",1945.0,Palo Alto Page Mill,130,,,,,,,,
PALMIL130,2,"2,855",1945.0,Palo Alto Page Mill,130,,,,,,,,
PALMIL130,3,"2,855",2065.0,Palo Alto Page Mill,130,,,,,,,,
PALMIL131,0,"2,565",2185.0,Palo Alto Page Mill,131,,,,,,,,
