Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PALHAN001,0,2198,2165.0,Palo Alto,1,,,,,,,,
PALHAN001,1,2392,2167.0,Palo Alto,1,,,,,,,,
PALHAN001,2,2394,2063.0,Palo Alto,1,,,,,,,,
PALHAN001,3,2521,2058.0,Palo Alto,1,,,,,,,,
PALHAN001,4,2521,1571.0,Palo Alto,1,,,,,,,,
PALHAN001,5,2297,1571.0,Palo Alto,1,,,,,,,,
PALHAN001,6,2294,1611.0,Palo Alto,1,,,,,,,,
PALHAN001,7,2205,1611.0,Palo Alto,1,,,,,,,,
PALHAN002,0,1991,1500.0,Palo Alto,2,,,,,,,,
PALHAN002,1,2198,1499.0,Palo Alto,2,,,,,,,,
PALHAN002,2,2200,1338.0,Palo Alto,2,,,,,,,,
PALHAN002,3,1992,1336.0,Palo Alto,2,,,,,,,,
PALHAN003,0,2019,1686.0,Palo Alto,3,,,,,,,,
PALHAN003,1,2194,1687.0,Palo Alto,3,,,,,,,,
PALHAN003,2,2194,1574.0,Palo Alto,3,,,,,,,,
PALHAN003,3,2020,1572.0,Palo Alto,3,,,,,,,,
PALHAN004,0,2018,1807.0,Palo Alto,4,,,,,,,,
PALHAN004,1,2195,1807.0,Palo Alto,4,,,,,,,,
PALHAN004,2,2194,1687.0,Palo Alto,4,,,,,,,,
PALHAN004,3,2019,1686.0,Palo Alto,4,,,,,,,,
PALHAN005,0,2018,1807.0,Palo Alto,5,,,,,,,,
PALHAN005,1,2019,1956.0,Palo Alto,5,,,,,,,,
PALHAN005,2,2196,1956.0,Palo Alto,5,,,,,,,,
PALHAN005,3,2195,1807.0,Palo Alto,5,,,,,,,,
PALHAN006,0,2018,2169.0,Palo Alto,6,,,,,,,,
PALHAN006,1,2019,1956.0,Palo Alto,6,,,,,,,,
PALHAN006,2,2196,1956.0,Palo Alto,6,,,,,,,,
PALHAN006,3,2198,2165.0,Palo Alto,6,,,,,,,,
PALHAN007,0,1930,2168.0,Palo Alto,7,,,,,,,,
PALHAN007,1,1749,2169.0,Palo Alto,7,,,,,,,,
PALHAN007,2,1751,1958.0,Palo Alto,7,,,,,,,,
PALHAN007,3,1928,1958.0,Palo Alto,7,,,,,,,,
PALHAN008,0,1751,1958.0,Palo Alto,8,,,,,,,,
PALHAN008,1,1753,1807.0,Palo Alto,8,,,,,,,,
PALHAN008,2,1930,1806.0,Palo Alto,8,,,,,,,,
PALHAN008,3,1928,1958.0,Palo Alto,8,,,,,,,,
PALHAN009,0,1753,1807.0,Palo Alto,9,,,,,,,,
PALHAN009,1,1930,1806.0,Palo Alto,9,,,,,,,,
PALHAN009,2,1927,1688.0,Palo Alto,9,,,,,,,,
PALHAN009,3,1749,1686.0,Palo Alto,9,,,,,,,,
PALHAN010,0,1749,1686.0,Palo Alto,10,,,,,,,,
PALHAN010,1,1750,1571.0,Palo Alto,10,,,,,,,,
PALHAN010,2,1930,1571.0,Palo Alto,10,,,,,,,,
PALHAN010,3,1927,1688.0,Palo Alto,10,,,,,,,,
PALHAN011,0,1768,1500.0,Palo Alto,11,,,,,,,,
PALHAN011,1,1991,1500.0,Palo Alto,11,,,,,,,,
PALHAN011,2,1992,1336.0,Palo Alto,11,,,,,,,,
PALHAN011,3,1771,1333.0,Palo Alto,11,,,,,,,,
PALHAN012,0,1555,2167.0,Palo Alto,12,,,,,,,,
PALHAN012,1,1749,2169.0,Palo Alto,12,,,,,,,,
PALHAN012,2,1750,1571.0,Palo Alto,12,,,,,,,,
PALHAN012,3,1523,1571.0,Palo Alto,12,,,,,,,,
PALHAN012,4,1522,1610.0,Palo Alto,12,,,,,,,,
PALHAN012,5,1375,1611.0,Palo Alto,12,,,,,,,,
PALHAN012,6,1376,2062.0,Palo Alto,12,,,,,,,,
PALHAN012,7,1555,2065.0,Palo Alto,12,,,,,,,,
PALHAN013,0,996,2172.0,Palo Alto,13,,,,,,,,
PALHAN013,1,1194,2172.0,Palo Alto,13,,,,,,,,
PALHAN013,2,1197,2063.0,Palo Alto,13,,,,,,,,
PALHAN013,3,1376,2062.0,Palo Alto,13,,,,,,,,
PALHAN013,4,1375,1611.0,Palo Alto,13,,,,,,,,
PALHAN013,5,1227,1612.0,Palo Alto,13,,,,,,,,
PALHAN013,6,1226,1568.0,Palo Alto,13,,,,,,,,
PALHAN013,7,999,1571.0,Palo Alto,13,,,,,,,,
PALHAN014,0,866,1692.0,Palo Alto,14,,,,,,,,
PALHAN014,1,994,1694.0,Palo Alto,14,,,,,,,,
PALHAN014,2,995,1573.0,Palo Alto,14,,,,,,,,
PALHAN014,3,865,1569.0,Palo Alto,14,,,,,,,,
PALHAN015,0,866,1692.0,Palo Alto,15,,,,,,,,
PALHAN015,1,702,1693.0,Palo Alto,15,,,,,,,,
PALHAN015,2,704,1570.0,Palo Alto,15,,,,,,,,
PALHAN015,3,865,1569.0,Palo Alto,15,,,,,,,,
PALHAN016,0,702,1693.0,Palo Alto,16,,,,,,,,
PALHAN016,1,703,1848.0,Palo Alto,16,,,,,,,,
PALHAN016,2,994,1845.0,Palo Alto,16,,,,,,,,
