Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PariLev601,0,1160,2125.0,Paris Levallois,601,,,,,,,,
PariLev601,1,1160,2030.0,Paris Levallois,601,,,,,,,,
PariLev601,2,1340,2030.0,Paris Levallois,601,,,,,,,,
PariLev601,3,1340,1955.0,Paris Levallois,601,,,,,,,,
PariLev601,4,1030,1955.0,Paris Levallois,601,,,,,,,,
PariLev601,5,1030,2125.0,Paris Levallois,601,,,,,,,,
PariLev602,0,1030,1955.0,Paris Levallois,602,,,,,,,,
PariLev602,1,855,1955.0,Paris Levallois,602,,,,,,,,
PariLev602,2,855,2125.0,Paris Levallois,602,,,,,,,,
PariLev602,3,1030,2125.0,Paris Levallois,602,,,,,,,,
PariLev603,0,855,1955.0,Paris Levallois,603,,,,,,,,
PariLev603,1,680,1955.0,Paris Levallois,603,,,,,,,,
PariLev603,2,680,2125.0,Paris Levallois,603,,,,,,,,
PariLev603,3,855,2125.0,Paris Levallois,603,,,,,,,,
PariLev604,0,680,1955.0,Paris Levallois,604,,,,,,,,
PariLev604,1,505,1955.0,Paris Levallois,604,,,,,,,,
PariLev604,2,505,2125.0,Paris Levallois,604,,,,,,,,
PariLev604,3,680,2125.0,Paris Levallois,604,,,,,,,,
PariLev605,0,505,1955.0,Paris Levallois,605,,,,,,,,
PariLev605,1,385,1955.0,Paris Levallois,605,,,,,,,,
PariLev605,2,385,2125.0,Paris Levallois,605,,,,,,,,
PariLev605,3,505,2125.0,Paris Levallois,605,,,,,,,,
PariLev606,0,385,1955.0,Paris Levallois,606,,,,,,,,
PariLev606,1,300,1955.0,Paris Levallois,606,,,,,,,,
PariLev606,2,300,2000.0,Paris Levallois,606,,,,,,,,
PariLev606,3,310,2000.0,Paris Levallois,606,,,,,,,,
PariLev606,4,310,2050.0,Paris Levallois,606,,,,,,,,
PariLev606,5,385,2050.0,Paris Levallois,606,,,,,,,,
PariLev607,0,300,1955.0,Paris Levallois,607,,,,,,,,
PariLev607,1,200,1955.0,Paris Levallois,607,,,,,,,,
PariLev607,2,200,2085.0,Paris Levallois,607,,,,,,,,
PariLev607,3,310,2085.0,Paris Levallois,607,,,,,,,,
PariLev607,4,310,2020.0,Paris Levallois,607,,,,,,,,
PariLev607,5,275,2020.0,Paris Levallois,607,,,,,,,,
PariLev607,6,275,2000.0,Paris Levallois,607,,,,,,,,
PariLev607,7,300,2000.0,Paris Levallois,607,,,,,,,,
