Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PAS251901,0,934,698.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251801,0,1311.016,493.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251801,1,1311.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251801,2,1197.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251801,3,1196.016,493.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251802,0,1311.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251802,1,1464.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251802,2,1464.016,492.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251802,3,1311.016,493.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251803,0,1464.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251803,1,1650.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251803,2,1650.016,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251803,3,1464.016,492.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251804,0,1650.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251804,1,1802.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251804,2,1802.016,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251804,3,1650.016,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251805,0,1802.016,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251805,1,1931.516,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251805,2,1931.516,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251805,3,1802.016,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251806,0,1931.516,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251806,1,2142.516,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251806,2,2142.516,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251806,3,1931.516,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251807,0,2142.516,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251807,1,2276.516,646.0,Pasadena - 251 South Lake,,,,,,,,,
PAS251807,2,2276.516,493.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251807,3,2142.516,494.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251808,0,1391.016,798.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251808,1,1478.016,798.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251808,2,1478.016,696.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251808,3,1392.016,696.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251809,0,1478.016,798.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251809,1,1478.016,895.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251809,2,1392.016,895.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251809,3,1391.016,798.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251810,0,1527.016,1026.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251810,1,1662.016,1026.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251810,2,1662.016,943.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251810,3,1527.016,943.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251811,0,1527.016,943.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251811,1,1527.016,860.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251811,2,1661.016,860.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251811,3,1662.016,943.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251812,0,1527.016,860.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251812,1,1528.016,774.5,Pasadena - 251 South Lake,,,,,,,,,
PAS251812,2,1662.016,775.5,Pasadena - 251 South Lake,,,,,,,,,
