Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ONEPEN901,0,2558.453125,1899.390625,Penn 1,,,,,,,,,
ONEPENSTE - 201,0,1219.25,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 201,1,1403.25,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 201,2,1403.25,1535.5,Penn 1,,,,,,,,,
ONEPENSTE - 201,3,1218.25,1535.5,Penn 1,,,,,,,,,
ONEPENSTE - 202,0,1219.25,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 202,1,1091.5,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 202,2,1091.5,1646.5,Penn 1,,,,,,,,,
ONEPENSTE - 202,3,1117.5,1646.5,Penn 1,,,,,,,,,
ONEPENSTE - 202,4,1117.5,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 202,5,1218.25,1535.5,Penn 1,,,,,,,,,
ONEPEN203,0,1117.5,1534.5,Penn 1,,,,,,,,,
ONEPEN203,1,1049.5,1534.5,Penn 1,,,,,,,,,
ONEPEN203,2,1049.5,1656.5,Penn 1,,,,,,,,,
ONEPEN203,3,1090.5,1656.5,Penn 1,,,,,,,,,
ONEPEN203,4,1091.5,1646.5,Penn 1,,,,,,,,,
ONEPEN203,5,1117.5,1646.5,Penn 1,,,,,,,,,
ONEPEN204,0,1049.5,1534.5,Penn 1,,,,,,,,,
ONEPEN204,1,997.5,1534.5,Penn 1,,,,,,,,,
ONEPEN204,2,997.5,1622.5,Penn 1,,,,,,,,,
ONEPEN204,3,1049.5,1622.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,0,997.5,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,1,888.5,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,2,888.5,1647.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,3,893.5,1646.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,4,893.5,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,5,1018.5,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,6,1018.5,1623.5,Penn 1,,,,,,,,,
ONEPENSTE - 205,7,997.5,1622.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,0,888.5,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,1,775.25,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,2,775.25,1622.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,3,756.25,1622.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,4,756.25,1710.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,5,893.5,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,6,893.5,1646.5,Penn 1,,,,,,,,,
ONEPENSTE - 206,7,888.5,1647.5,Penn 1,,,,,,,,,
ONEPEN207,0,775.25,1622.5,Penn 1,,,,,,,,,
ONEPEN207,1,727.75,1622.5,Penn 1,,,,,,,,,
ONEPEN207,2,725.75,1534.5,Penn 1,,,,,,,,,
ONEPEN207,3,775.25,1534.5,Penn 1,,,,,,,,,
ONEPEN208,0,725.75,1534.5,Penn 1,,,,,,,,,
ONEPEN208,1,725.75,1656.5,Penn 1,,,,,,,,,
ONEPEN208,2,682.75,1656.5,Penn 1,,,,,,,,,
ONEPEN208,3,681.75,1645.5,Penn 1,,,,,,,,,
ONEPEN208,4,658.75,1645.5,Penn 1,,,,,,,,,
ONEPEN208,5,658.75,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 209,0,658.75,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 209,1,540.75,1534.5,Penn 1,,,,,,,,,
ONEPENSTE - 209,2,540.75,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 209,3,682.75,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 209,4,681.75,1645.5,Penn 1,,,,,,,,,
ONEPENSTE - 209,5,658.75,1645.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,0,370.75,1789.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,1,461.75,1789.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,2,461.75,1816.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,3,558.75,1816.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,4,558.75,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,5,540.75,1711.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,6,540.75,1629.5,Penn 1,,,,,,,,,
ONEPENSTE - 210,7,371.75,1629.5,Penn 1,,,,,,,,,
ONEPEN211,0,370.75,1789.5,Penn 1,,,,,,,,,
ONEPEN211,1,370.75,1861.5,Penn 1,,,,,,,,,
ONEPEN211,2,491.75,1861.5,Penn 1,,,,,,,,,
ONEPEN211,3,491.75,1816.5,Penn 1,,,,,,,,,
ONEPEN211,4,461.75,1816.5,Penn 1,,,,,,,,,
ONEPEN211,5,461.75,1789.5,Penn 1,,,,,,,,,
ONEPEN212,0,370.75,1861.5,Penn 1,,,,,,,,,
ONEPEN212,1,370.75,1934.5,Penn 1,,,,,,,,,
ONEPEN212,2,461.75,1934.5,Penn 1,,,,,,,,,
ONEPEN212,3,461.75,1861.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,0,370.75,1934.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,1,370.75,2094.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,2,541.75,2094.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,3,541.75,2028.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,4,557.75,2027.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,5,557.75,1907.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,6,462.75,1907.5,Penn 1,,,,,,,,,
ONEPENSTE - 213,7,461.75,1934.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,0,541.75,2028.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,1,541.75,2190.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,2,660.75,2190.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,3,660.75,2078.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,4,682.75,2078.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,5,682.75,2012.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,6,558.75,2012.5,Penn 1,,,,,,,,,
ONEPENSTE - 214,7,557.75,2027.5,Penn 1,,,,,,,,,
ONEPEN215,0,660.75,2078.5,Penn 1,,,,,,,,,
ONEPEN215,1,660.75,2190.5,Penn 1,,,,,,,,,
ONEPEN215,2,727.75,2190.5,Penn 1,,,,,,,,,
ONEPEN215,3,727.75,2103.5,Penn 1,,,,,,,,,
ONEPEN215,4,719.75,2102.5,Penn 1,,,,,,,,,
ONEPEN215,5,719.75,2067.5,Penn 1,,,,,,,,,
ONEPEN215,6,682.75,2067.5,Penn 1,,,,,,,,,
ONEPEN215,7,682.75,2078.5,Penn 1,,,,,,,,,
ONEPEN216,0,727.75,2103.5,Penn 1,,,,,,,,,
ONEPEN216,1,828.75,2103.5,Penn 1,,,,,,,,,
ONEPEN216,2,828.75,2190.5,Penn 1,,,,,,,,,
ONEPEN216,3,727.75,2190.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,0,828.75,2190.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,1,1225.25,2190.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,2,1225.25,2076.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,3,1180.25,2076.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,4,1180.25,2030.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,5,915.25,2030.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,6,915.25,2015.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,7,755.25,2015.5,Penn 1,,,,,,,,,
ONEPENSTE - 217,8,755.25,2102.5,Penn 1,,,,,,,,,
