Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHLBRD901,0,2198,492.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD001,0,1543,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD001,1,1764,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD001,2,1764,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD001,3,1543,174.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD002,0,1543,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD002,1,1335,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD002,2,1335,174.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD002,3,1543,174.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD003,0,1335,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD003,1,1081,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD003,2,1081,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD003,3,1335,174.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD004,0,1081,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD004,1,890,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD004,2,891,174.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD004,3,1081,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD005,0,890,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD005,1,683,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD005,2,683,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD005,3,891,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD006,0,683,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD006,1,485,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD006,2,485,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD006,3,683,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD007,0,485,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD007,1,306,391.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD007,2,306,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD007,3,485,175.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD008,0,307,454.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD008,1,307,152.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD008,2,106,152.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD008,3,106,453.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD009,0,307,454.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD009,1,304,616.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD009,2,106,616.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD009,3,106,453.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD010,0,106,616.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD010,1,106,827.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD010,2,279,827.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD010,3,279,616.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD011,0,279,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD011,1,468,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD011,2,468,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD011,3,278,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD012,0,468,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD012,1,691,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD012,2,691,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD012,3,468,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD013,0,691,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD013,1,872.3333359,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD013,2,872.3333359,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD013,3,691,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD014,0,872.3333359,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD014,1,1076.333344,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD014,2,1075.333344,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD014,3,872.3333359,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,0,1076.333344,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,1,1210.666656,686.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,2,1209.666656,694.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,3,1256.666656,694.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,4,1256.666656,782.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,5,1228.666656,782.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,6,1228.666656,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD015,7,1075.333344,802.0,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD016,0,2606,613.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD016,1,2781,613.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD016,2,2781,806.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD016,3,2608,806.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD017,0,2781,613.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD017,1,3002,613.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD017,2,3002,812.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD017,3,2964,812.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD017,4,2960,805.333313,Philadelphia - 230 S Broad,17,,,,,,,,
PHLBRD017,5,2840,805.333313,Philadelphia - 230 S Broad,17,,,,,,,,
