Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHLLIB901,0,1936,2009.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB001,0,2139,1817.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB001,1,2403,1817.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB001,2,2403,1998.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB001,3,2139,1998.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB002,0,2403,1998.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB002,1,2403,2206.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB002,2,2263,2206.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB002,3,2263,1997.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB003,0,2403,2206.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB003,1,2403,2468.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB003,2,2264,2468.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB003,3,2263,2206.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB004,0,2091,2257.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB004,1,2090,2348.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB004,2,2218,2348.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB004,3,2218,2255.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB004,4,2091,2254.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB005,0,2218,2348.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB005,1,2218,2548.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB005,2,2093,2548.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB005,3,2090,2348.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB006,0,2264,2468.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB006,1,2264,2626.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB006,2,2403,2626.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB006,3,2403,2468.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB007,0,2403,2626.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB007,1,2403,2809.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB007,2,2263,2809.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB007,3,2264,2626.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB008,0,2263,2809.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB008,1,2263,2991.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB008,2,2403,2992.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB008,3,2403,2809.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB009,0,2403,2992.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB009,1,2403,3118.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB009,2,2142,3118.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB009,3,2142,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB010,0,2142,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB010,1,1927,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB010,2,1927,3120.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB010,3,2142,3118.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB011,0,2015,2942.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB011,1,2093,2942.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB011,2,2093,2837.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB011,3,2014,2837.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB012,0,2014,2837.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB012,1,2014,2730.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB012,2,2094,2730.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB012,3,2093,2837.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB013,0,1927,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB013,1,1725,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB013,2,1727,3144.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB013,3,1930,3145.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB014,0,1725,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB014,1,1570,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB014,2,1570,3146.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB014,3,1727,3144.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB015,0,1570,3146.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB015,1,1412,3146.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB015,2,1412,2990.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB015,3,1570,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB016,0,1412,2990.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB016,1,1207,2990.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB016,2,1207,3144.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB016,3,1412,3146.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB017,0,1207,2990.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB017,1,941,2990.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB017,2,941,3119.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB017,3,1208,3119.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB018,0,941,3119.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB018,1,739,3119.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB018,2,739,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB018,3,941,2990.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB019,0,739,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB019,1,472,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB019,2,472,3093.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB019,3,737,3093.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB020,0,472,3093.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB020,1,314,3093.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB020,2,314,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB020,3,472,2989.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB021,0,314,3093.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB021,1,158,3093.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB021,2,158,2937.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB021,3,314,2937.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB022,0,360,2942.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB022,1,494,2943.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB022,2,493,2729.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB022,3,358,2729.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB022,4,358,2943.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB023,0,494,2943.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB023,1,578,2943.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB023,2,578,2836.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB023,3,495,2836.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB024,0,578,2943.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB024,1,736,2943.0,Philadelphia - 50 S 16th Street,,,,,,,,,
PHLLIB024,2,736,2730.0,Philadelphia - 50 S 16th Street,,,,,,,,,
