Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHLMAR901,0,1394,1503.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR001,0,1350.515625,1758.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR001,1,1507.515625,1757.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR001,2,1507.515625,1686.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR001,3,1350.515625,1686.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR001,4,1350.515625,1758.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR002,0,1507.515625,1757.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR002,1,1507.515625,1822.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR002,2,1349.515625,1821.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR002,3,1350.515625,1758.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR002,4,1507.515625,1757.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR003,0,1507.515625,1822.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR003,1,1507.515625,1879.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR003,2,1348.515625,1879.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR003,3,1349.515625,1821.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR003,4,1507.515625,1822.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR004,0,1507.515625,1879.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR004,1,1507.515625,1972.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR004,2,1347.515625,1972.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR004,3,1348.515625,1879.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR004,4,1507.515625,1879.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR005,0,1507.515625,1972.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR005,1,1507.515625,2077.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR005,2,1347.515625,2077.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR005,3,1347.515625,1972.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR005,4,1507.515625,1972.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR006,0,1507.515625,2077.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR006,1,1507.515625,2146.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR006,2,1347.515625,2146.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR006,3,1347.515625,2077.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR006,4,1507.515625,2077.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR007,0,1634.515625,2191.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR007,1,1634.515625,2142.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR007,2,1539.515625,2142.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR007,3,1539.515625,2192.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR007,4,1634.515625,2192.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR008,0,1507.515625,2146.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR008,1,1507.515625,2222.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR008,2,1348.515625,2222.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR008,3,1347.515625,2146.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR008,4,1507.515625,2146.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,0,1507.515625,2222.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,1,1507.515625,2303.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,2,1350.515625,2303.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,3,1350.515625,2278.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,4,1350.515625,2278.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,5,1357.515625,2278.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,6,1357.515625,2236.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,7,1348.515625,2235.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,8,1348.515625,2222.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR009,9,1507.515625,2222.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR010,0,1350.515625,2303.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR010,1,1350.515625,2392.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR010,2,1543.515625,2392.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR010,3,1543.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR010,4,1350.515625,2303.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR011,0,1543.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR011,1,1679.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR011,2,1679.515625,2392.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR011,3,1543.515625,2392.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR011,4,1543.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR012,0,1679.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR012,1,1819.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR012,2,1819.515625,2392.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR012,3,1679.515625,2392.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR012,4,1679.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,0,1819.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,1,1819.515625,2232.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,2,1850.515625,2232.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,3,1850.015625,2132.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,4,1741.515625,2130.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,5,1741.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR013,6,1819.515625,2302.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR014,0,1540.515625,2271.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR014,1,1709.515625,2271.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR014,2,1709.515625,2191.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR014,3,1539.515625,2192.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR014,4,1540.515625,2271.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR015,0,1709.515625,2192.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR015,1,1709.515625,2143.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR015,2,1634.515625,2142.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR015,3,1634.515625,2192.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR015,4,1709.515625,2192.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR016,0,1808.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR016,1,1741.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR016,2,1741.515625,2034.0,Philadelphia - 901 Market,,,,,,,,,
PHLMAR016,3,1808.515625,2033.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR016,4,1808.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR017,0,1808.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR017,1,1902.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR017,2,1902.515625,2034.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR017,3,1808.515625,2033.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR017,4,1808.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR018,0,1902.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR018,1,1994.015625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR018,2,1994.015625,2034.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR018,3,1902.515625,2034.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR018,4,1902.515625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR019,0,1994.015625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR019,1,2091.015625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR019,2,2091.015625,2034.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR019,3,1994.015625,2034.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR019,4,1994.015625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR020,0,2091.015625,2098.5,Philadelphia - 901 Market,,,,,,,,,
PHLMAR020,1,2191.015625,2098.5,Philadelphia - 901 Market,,,,,,,,,
