Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHXMID101,0,1710,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),101,,,,,,,,
PHXMID101,1,1710,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),101,,,,,,,,
PHXMID101,2,1985,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),101,,,,,,,,
PHXMID101,3,1985,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),101,,,,,,,,
PHXMID102,0,1960,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),102,,,,,,,,
PHXMID102,1,1960,2130.0,Phoenix - 3110 N Central (Midtown Phoenix),102,,,,,,,,
PHXMID102,2,2065,2130.0,Phoenix - 3110 N Central (Midtown Phoenix),102,,,,,,,,
PHXMID102,3,2065,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),102,,,,,,,,
PHXMID103,0,1985,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),103,,,,,,,,
PHXMID103,1,2165,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),103,,,,,,,,
PHXMID103,2,2165,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),103,,,,,,,,
PHXMID103,3,1985,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),103,,,,,,,,
PHXMID104,0,2065,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),104,,,,,,,,
PHXMID104,1,2215,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),104,,,,,,,,
PHXMID104,2,2215,2130.0,Phoenix - 3110 N Central (Midtown Phoenix),104,,,,,,,,
PHXMID104,3,2065,2130.0,Phoenix - 3110 N Central (Midtown Phoenix),104,,,,,,,,
PHXMID105,0,2165,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),105,,,,,,,,
PHXMID105,1,2340,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),105,,,,,,,,
PHXMID105,2,2340,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),105,,,,,,,,
PHXMID105,3,2165,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),105,,,,,,,,
PHXMID106,0,2215,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),106,,,,,,,,
PHXMID106,1,2365,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),106,,,,,,,,
PHXMID106,2,2365,2130.0,Phoenix - 3110 N Central (Midtown Phoenix),106,,,,,,,,
PHXMID106,3,2215,2130.0,Phoenix - 3110 N Central (Midtown Phoenix),106,,,,,,,,
PHXMID107,0,2340,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),107,,,,,,,,
PHXMID107,1,2610,2380.0,Phoenix - 3110 N Central (Midtown Phoenix),107,,,,,,,,
PHXMID107,2,2610,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),107,,,,,,,,
PHXMID107,3,2340,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),107,,,,,,,,
PHXMID108,0,2610,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),108,,,,,,,,
PHXMID108,1,2610,1960.0,Phoenix - 3110 N Central (Midtown Phoenix),108,,,,,,,,
PHXMID108,2,2425,1960.0,Phoenix - 3110 N Central (Midtown Phoenix),108,,,,,,,,
PHXMID108,3,2425,2190.0,Phoenix - 3110 N Central (Midtown Phoenix),108,,,,,,,,
PHXMID109,0,2365,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),109,,,,,,,,
PHXMID109,1,2365,1795.0,Phoenix - 3110 N Central (Midtown Phoenix),109,,,,,,,,
PHXMID109,2,2180,1795.0,Phoenix - 3110 N Central (Midtown Phoenix),109,,,,,,,,
PHXMID109,3,2180,1990.0,Phoenix - 3110 N Central (Midtown Phoenix),109,,,,,,,,
PHXMID110,0,2610,1960.0,Phoenix - 3110 N Central (Midtown Phoenix),110,,,,,,,,
PHXMID110,1,2610,1645.0,Phoenix - 3110 N Central (Midtown Phoenix),110,,,,,,,,
PHXMID110,2,2425,1645.0,Phoenix - 3110 N Central (Midtown Phoenix),110,,,,,,,,
PHXMID110,3,2425,1960.0,Phoenix - 3110 N Central (Midtown Phoenix),110,,,,,,,,
PHXMID111,0,2425,1645.0,Phoenix - 3110 N Central (Midtown Phoenix),111,,,,,,,,
PHXMID111,1,2425,1375.0,Phoenix - 3110 N Central (Midtown Phoenix),111,,,,,,,,
PHXMID111,2,2610,1375.0,Phoenix - 3110 N Central (Midtown Phoenix),111,,,,,,,,
PHXMID111,3,2610,1645.0,Phoenix - 3110 N Central (Midtown Phoenix),111,,,,,,,,
PHXMID112,0,2425,1375.0,Phoenix - 3110 N Central (Midtown Phoenix),112,,,,,,,,
PHXMID112,1,2425,1210.0,Phoenix - 3110 N Central (Midtown Phoenix),112,,,,,,,,
PHXMID112,2,2610,1210.0,Phoenix - 3110 N Central (Midtown Phoenix),112,,,,,,,,
PHXMID112,3,2610,1375.0,Phoenix - 3110 N Central (Midtown Phoenix),112,,,,,,,,
PHXMID113,0,2425,1210.0,Phoenix - 3110 N Central (Midtown Phoenix),113,,,,,,,,
PHXMID113,1,2425,935.0,Phoenix - 3110 N Central (Midtown Phoenix),113,,,,,,,,
PHXMID113,2,2610,935.0,Phoenix - 3110 N Central (Midtown Phoenix),113,,,,,,,,
PHXMID113,3,2610,1210.0,Phoenix - 3110 N Central (Midtown Phoenix),113,,,,,,,,
PHXMID114,0,2425,935.0,Phoenix - 3110 N Central (Midtown Phoenix),114,,,,,,,,
PHXMID114,1,2425,500.0,Phoenix - 3110 N Central (Midtown Phoenix),114,,,,,,,,
PHXMID114,2,2610,500.0,Phoenix - 3110 N Central (Midtown Phoenix),114,,,,,,,,
