Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHOCAMCafe/Lounge,0,2411,799.0,Phoenix Biltmore,,,,,,,,,
PHOCAMCafe/Lounge,1,2411,567.0,Phoenix Biltmore,,,,,,,,,
PHOCAMCafe/Lounge,2,1855,567.0,Phoenix Biltmore,,,,,,,,,
PHOCAMCafe/Lounge,3,1855,740.0,Phoenix Biltmore,,,,,,,,,
PHOCAMCafe/Lounge,4,2318,740.0,Phoenix Biltmore,,,,,,,,,
PHOCAMCafe/Lounge,5,2318,800.0,Phoenix Biltmore,,,,,,,,,
PHOCAM001,0,2314,1054.0,Phoenix Biltmore,,,,,,,,,
PHOCAM001,1,2314,958.0,Phoenix Biltmore,,,,,,,,,
PHOCAM001,2,2468,958.0,Phoenix Biltmore,,,,,,,,,
PHOCAM001,3,2468,1053.0,Phoenix Biltmore,,,,,,,,,
PHOCAM002,0,2314,1054.0,Phoenix Biltmore,,,,,,,,,
PHOCAM002,1,2314,1133.0,Phoenix Biltmore,,,,,,,,,
PHOCAM002,2,2468,1133.0,Phoenix Biltmore,,,,,,,,,
PHOCAM002,3,2468,1053.0,Phoenix Biltmore,,,,,,,,,
PHOCAM003,0,2314,1133.0,Phoenix Biltmore,,,,,,,,,
PHOCAM003,1,2314,1248.0,Phoenix Biltmore,,,,,,,,,
PHOCAM003,2,2468,1248.0,Phoenix Biltmore,,,,,,,,,
PHOCAM003,3,2468,1133.0,Phoenix Biltmore,,,,,,,,,
PHOCAM004,0,2314,1248.0,Phoenix Biltmore,,,,,,,,,
PHOCAM004,1,2314,1290.0,Phoenix Biltmore,,,,,,,,,
PHOCAM004,2,2234,1290.0,Phoenix Biltmore,,,,,,,,,
PHOCAM004,3,2234,1359.0,Phoenix Biltmore,,,,,,,,,
PHOCAM004,4,2468,1359.0,Phoenix Biltmore,,,,,,,,,
PHOCAM004,5,2468,1248.0,Phoenix Biltmore,,,,,,,,,
PHOCAM005,0,2234,1290.0,Phoenix Biltmore,,,,,,,,,
