Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHXBND101,0,"2,905",2295.0,Phoenix Bond,101,,,,,,,,
PHXBND101,1,"3,280",2295.0,Phoenix Bond,101,,,,,,,,
PHXBND101,2,"3,280",1785.0,Phoenix Bond,101,,,,,,,,
PHXBND101,3,"3,210",1715.0,Phoenix Bond,101,,,,,,,,
PHXBND101,4,"3,050",1715.0,Phoenix Bond,101,,,,,,,,
PHXBND101,5,"3,050",1860.0,Phoenix Bond,101,,,,,,,,
PHXBND101,6,"2,905",1860.0,Phoenix Bond,101,,,,,,,,
PHXBND102,0,"1,455",2050.0,Phoenix Bond,102,,,,,,,,
PHXBND102,1,"1,920",2050.0,Phoenix Bond,102,,,,,,,,
PHXBND102,2,"1,920",1880.0,Phoenix Bond,102,,,,,,,,
PHXBND102,3,"1,905",1880.0,Phoenix Bond,102,,,,,,,,
PHXBND102,4,"1,905",1715.0,Phoenix Bond,102,,,,,,,,
PHXBND102,5,"1,805",1715.0,Phoenix Bond,102,,,,,,,,
PHXBND102,6,"1,805",1680.0,Phoenix Bond,102,,,,,,,,
PHXBND102,7,"1,525",1680.0,Phoenix Bond,102,,,,,,,,
PHXBND102,8,"1,525",1835.0,Phoenix Bond,102,,,,,,,,
PHXBND102,9,"1,455",1835.0,Phoenix Bond,102,,,,,,,,
PHXBND103,0,"1,480",2300.0,Phoenix Bond,103,,,,,,,,
PHXBND103,1,"1,610",2300.0,Phoenix Bond,103,,,,,,,,
PHXBND103,2,"1,610",2105.0,Phoenix Bond,103,,,,,,,,
PHXBND103,3,"1,480",2105.0,Phoenix Bond,103,,,,,,,,
PHXBND104,0,"1,480",2300.0,Phoenix Bond,104,,,,,,,,
PHXBND104,1,"1,360",2300.0,Phoenix Bond,104,,,,,,,,
PHXBND104,2,"1,360",2105.0,Phoenix Bond,104,,,,,,,,
PHXBND104,3,"1,480",2105.0,Phoenix Bond,104,,,,,,,,
PHXBND105,0,"1,360",2300.0,Phoenix Bond,105,,,,,,,,
PHXBND105,1,"1,225",2300.0,Phoenix Bond,105,,,,,,,,
PHXBND105,2,"1,225",2105.0,Phoenix Bond,105,,,,,,,,
PHXBND105,3,"1,360",2105.0,Phoenix Bond,105,,,,,,,,
PHXBND106,0,"1,455",2050.0,Phoenix Bond,106,,,,,,,,
PHXBND106,1,"1,250",2050.0,Phoenix Bond,106,,,,,,,,
PHXBND106,2,"1,250",1680.0,Phoenix Bond,106,,,,,,,,
PHXBND106,3,"1,525",1680.0,Phoenix Bond,106,,,,,,,,
PHXBND106,4,"1,525",1835.0,Phoenix Bond,106,,,,,,,,
PHXBND106,5,"1,455",1835.0,Phoenix Bond,106,,,,,,,,
PHXBND107,0,460,2300.0,Phoenix Bond,107,,,,,,,,
PHXBND107,1,460,2105.0,Phoenix Bond,107,,,,,,,,
PHXBND107,2,330,2105.0,Phoenix Bond,107,,,,,,,,
PHXBND107,3,330,2300.0,Phoenix Bond,107,,,,,,,,
PHXBND108,0,330,2300.0,Phoenix Bond,108,,,,,,,,
PHXBND108,1,170,2300.0,Phoenix Bond,108,,,,,,,,
PHXBND108,2,170,2050.0,Phoenix Bond,108,,,,,,,,
PHXBND108,3,330,2050.0,Phoenix Bond,108,,,,,,,,
PHXBND109,0,170,2050.0,Phoenix Bond,109,,,,,,,,
PHXBND109,1,170,1865.0,Phoenix Bond,109,,,,,,,,
PHXBND109,2,400,1865.0,Phoenix Bond,109,,,,,,,,
PHXBND109,3,400,2050.0,Phoenix Bond,109,,,,,,,,
PHXBND110,0,400,2050.0,Phoenix Bond,110,,,,,,,,
PHXBND110,1,490,2050.0,Phoenix Bond,110,,,,,,,,
PHXBND110,2,490,1865.0,Phoenix Bond,110,,,,,,,,
PHXBND110,3,400,1865.0,Phoenix Bond,110,,,,,,,,
PHXBND111,0,490,2050.0,Phoenix Bond,111,,,,,,,,
PHXBND111,1,615,2050.0,Phoenix Bond,111,,,,,,,,
PHXBND111,2,615,1865.0,Phoenix Bond,111,,,,,,,,
PHXBND111,3,490,1865.0,Phoenix Bond,111,,,,,,,,
PHXBND112,0,615,2050.0,Phoenix Bond,112,,,,,,,,
PHXBND112,1,755,2050.0,Phoenix Bond,112,,,,,,,,
PHXBND112,2,755,1960.0,Phoenix Bond,112,,,,,,,,
PHXBND112,3,615,1960.0,Phoenix Bond,112,,,,,,,,
PHXBND113,0,810,2050.0,Phoenix Bond,113,,,,,,,,
PHXBND113,1,990,2050.0,Phoenix Bond,113,,,,,,,,
PHXBND113,2,990,1970.0,Phoenix Bond,113,,,,,,,,
PHXBND113,3,810,1970.0,Phoenix Bond,113,,,,,,,,
PHXBND114,0,755,1960.0,Phoenix Bond,114,,,,,,,,
PHXBND114,1,755,1865.0,Phoenix Bond,114,,,,,,,,
PHXBND114,2,615,1865.0,Phoenix Bond,114,,,,,,,,
PHXBND114,3,615,1960.0,Phoenix Bond,114,,,,,,,,
PHXBND115,0,810,1970.0,Phoenix Bond,115,,,,,,,,
PHXBND115,1,810,1890.0,Phoenix Bond,115,,,,,,,,
PHXBND115,2,990,1890.0,Phoenix Bond,115,,,,,,,,
PHXBND115,3,990,1970.0,Phoenix Bond,115,,,,,,,,
PHXBND116,0,810,1890.0,Phoenix Bond,116,,,,,,,,
PHXBND116,1,810,1765.0,Phoenix Bond,116,,,,,,,,
PHXBND116,2,945,1765.0,Phoenix Bond,116,,,,,,,,
PHXBND116,3,945,1890.0,Phoenix Bond,116,,,,,,,,
PHXBND117,0,755,1865.0,Phoenix Bond,117,,,,,,,,
PHXBND117,1,755,1675.0,Phoenix Bond,117,,,,,,,,
PHXBND117,2,525,1675.0,Phoenix Bond,117,,,,,,,,
PHXBND117,3,525,1865.0,Phoenix Bond,117,,,,,,,,
PHXBND118,0,810,1765.0,Phoenix Bond,118,,,,,,,,
