Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PITPPG901,0,100,312.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,0,90,385.8571472,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,1,90,443.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,2,37,443.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,3,37,423.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,4,26,412.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,5,37,401.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG001,6,38,385.8571472,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG002,0,90,443.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG002,1,90,485.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG002,2,26,485.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG002,3,26,466.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG002,4,37,466.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG002,5,37,443.7142792,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG003,0,90,485.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG003,1,90,527.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG003,2,37,527.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG003,3,37,484.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG004,0,90,527.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG004,1,90,568.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG004,2,37,568.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG004,3,37,547.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG004,4,27,536.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG004,5,37,527.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,0,90,568.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,1,90,598.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,2,26,661.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,3,26,640.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,4,11,625.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,5,26,610.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,6,26,589.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,7,37,589.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG005,8,37,568.5714283,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,0,90,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,1,119,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,2,119,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,3,97,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,4,97,660.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,5,77,660.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,6,61,676.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,7,46,661.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG006,8,26,661.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,0,119,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,1,180,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,2,180,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,3,160,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,4,149,659.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,5,139,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG007,6,119,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG008,0,180,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG008,1,222,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG008,2,222,660.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG008,3,202,660.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG008,4,202,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG008,5,180,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG009,0,222,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG009,1,263.2857208,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG009,2,263.2857208,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG009,3,222.2857208,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG010,0,263.2857208,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG010,1,305.4285736,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG010,2,305.4285736,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG010,3,283.4285736,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG010,4,274.4285736,662.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG010,5,263.2857208,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,0,305.4285736,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,1,388,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,2,388,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,3,365,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,4,365,659.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,5,357,659.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,6,346,671.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,7,336,659.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,8,327,659.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,9,326,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG011,10,305.4285736,650.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG012,0,388,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG012,1,428.4285583,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG012,2,429.4285583,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG012,3,419.4285583,662.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG012,4,407.4285583,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG012,5,388,649.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG013,0,428.4285583,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG013,1,471.4285583,597.0,Pittsburgh - 1 PPG,,,,,,,,,
PITPPG013,2,471.4285583,649.0,Pittsburgh - 1 PPG,,,,,,,,,
