Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PITLIB901,0,995,1902.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB001,0,677.015625,2195.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB001,1,571.015625,2195.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB001,2,571.015625,2089.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB001,3,677.015625,2090.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB002,0,571.015625,2089.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB002,1,571.015625,1919.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB002,2,677.015625,1919.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB002,3,677.015625,2090.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB003,0,812.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB003,1,585.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB003,2,585.015625,1682.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB003,3,810.015625,1682.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB004,0,585.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB004,1,407.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB004,2,407.015625,1682.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB004,3,585.015625,1682.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB005,0,520.015625,1865.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB005,1,520.015625,2064.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB005,2,391.015625,2064.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB005,3,391.015625,1867.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB006,0,520.015625,2064.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB006,1,520.015625,2197.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB006,2,392.015625,2197.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB006,3,391.015625,2064.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB007,0,392.015625,2197.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB007,1,213.015625,2197.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB007,2,213.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB007,3,391.015625,1867.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB008,0,30.015625,2060.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB008,1,213.015625,2060.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB008,2,213.015625,2275.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB008,3,29.015625,2275.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB009,0,213.015625,2275.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB009,1,213.015625,2441.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB009,2,28.015625,2441.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB009,3,29.015625,2275.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB010,0,213.015625,2441.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB010,1,213.015625,2644.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB010,2,31.015625,2643.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB010,3,28.015625,2441.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB011,0,213.015625,2644.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB011,1,379.015625,2644.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB011,2,379.015625,2522.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB011,3,214.015625,2521.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB012,0,268.015625,2468.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB012,1,429.015625,2470.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB012,2,429.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB012,3,268.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB012,4,266.015625,2469.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB013,0,429.015625,2470.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB013,1,639.015625,2470.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB013,2,639.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB013,3,429.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB014,0,429.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB014,1,429.015625,2249.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB014,2,588.015625,2249.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB014,3,588.015625,2354.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB015,0,429.015625,2249.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB015,1,267.015625,2249.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB015,2,268.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB015,3,429.015625,2356.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB016,0,1761.515625,2961.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB016,1,1966.515625,2961.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB016,2,1966.515625,2820.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB016,3,1759.515625,2820.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB017,0,1966.515625,2961.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB017,1,1966.515625,3224.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB017,2,1759.515625,3224.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB017,3,1761.515625,2961.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB018,0,1968.515625,3042.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB018,1,2143.515625,3043.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB018,2,2143.515625,3225.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB018,3,1966.515625,3224.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB019,0,2143.515625,3043.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB019,1,2143.515625,2934.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB019,2,2018.515625,2934.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB019,3,2018.515625,3042.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB020,0,2018.515625,2934.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB020,1,2018.515625,2820.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB020,2,2144.515625,2820.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB020,3,2143.515625,2934.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB021,0,2144.515625,2820.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB021,1,2334.515625,2820.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB021,2,2334.515625,3045.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB021,3,2143.515625,3043.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB022,0,2334.515625,2844.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB022,1,2334.515625,2616.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB022,2,2521.515625,2616.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB022,3,2521.515625,2849.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB023,0,2334.515625,2616.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB023,1,2334.515625,2445.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB023,2,2522.515625,2445.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB023,3,2521.515625,2616.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB024,0,2334.515625,2445.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB024,1,2334.515625,2276.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB024,2,2520.515625,2276.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB024,3,2522.515625,2445.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB025,0,2334.515625,2276.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB025,1,2334.515625,2061.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB025,2,2521.515625,2061.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB025,3,2520.515625,2276.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB026,0,2335.515625,2196.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB026,1,2154.515625,2196.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB026,2,2154.515625,1859.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB026,3,2337.515625,1859.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB027,0,2106.515625,2251.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB027,1,2106.515625,2443.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB027,2,2281.515625,2443.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB027,3,2281.515625,2250.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB028,0,2281.515625,2443.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB028,1,2281.515625,2572.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB028,2,2107.515625,2571.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB028,3,2106.515625,2443.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB029,0,2281.515625,2572.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB029,1,2281.515625,2669.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB029,2,2106.515625,2668.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB029,3,2107.515625,2571.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB030,0,2281.515625,2669.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB030,1,2281.515625,2767.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB030,2,2107.015625,2767.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB030,3,2106.515625,2668.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB031,0,2107.015625,2767.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB031,1,1908.015625,2767.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB031,2,1908.015625,2612.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB031,3,2107.015625,2612.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB032,0,1908.015625,2612.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB032,1,1908.015625,2488.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB032,2,2106.015625,2488.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB032,3,2107.015625,2612.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB033,0,2154.515625,2196.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB033,1,1909.015625,2196.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB033,2,1909.015625,2026.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB033,3,2157.015625,2026.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB034,0,1909.015625,2026.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB034,1,1909.015625,1930.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB034,2,1972.015625,1930.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB034,3,1972.015625,1881.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB034,4,2155.015625,1881.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB034,5,2157.015625,2026.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,0,2155.015625,1881.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,1,1972.015625,1881.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,2,1972.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,3,1908.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,4,1908.015625,1681.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,5,2143.015625,1681.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,6,2143.015625,1867.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB035,7,2157.015625,1867.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB036,0,1908.015625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB036,1,1744.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB036,2,1744.515625,1681.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB036,3,1908.015625,1681.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB037,0,1744.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB037,1,1533.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB037,2,1533.515625,1681.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB037,3,1744.515625,1681.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB038,0,1533.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB038,1,1358.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB038,2,1358.515625,1682.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB038,3,1533.515625,1681.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB039,0,1358.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB039,1,1183.515625,1866.0,Pittsburgh Liberty Center,,,,,,,,,
PITLIB039,2,1183.515625,1682.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB039,3,1358.515625,1682.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB040,0,1424.015625,1917.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB040,1,1424.015625,2074.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB040,2,1605.015625,2074.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB040,3,1605.015625,1918.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB041,0,1605.015625,1918.5,Pittsburgh Liberty Center,,,,,,,,,
PITLIB041,1,1711.015625,1918.5,Pittsburgh Liberty Center,,,,,,,,,
