Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PLADAL901,0,975,380.0,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL001,0,789.121521,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL001,1,731.121521,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL001,2,731.0104065,275.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL001,3,790.0104065,275.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL002,0,731.121521,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL002,1,639.3437424,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL002,2,639.3437424,275.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL002,3,731.0104065,276.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL003,0,639.3437424,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL003,1,541.3437424,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL003,2,540.0104065,286.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL003,3,556.0104065,285.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL003,4,557.3437424,275.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL003,5,639.3437424,276.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL004,0,541.3437424,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL004,1,459.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL004,2,460.0104065,284.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL004,3,541.0104065,283.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL005,0,459.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL005,1,368.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL005,2,368.0104065,283.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL005,3,460.0104065,284.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL006,0,368.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL006,1,278.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL006,2,278.0104065,284.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL006,3,368.0104065,283.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL007,0,278.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL007,1,178.0104065,360.8888855,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL007,2,178.0104065,284.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL007,3,278.0104065,284.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL008,0,795.4548492,459.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL008,1,706.4548492,459.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL008,2,706.4548492,387.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL008,3,795.4548492,387.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL009,0,706.4548492,387.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL009,1,617.1215172,387.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL009,2,617.1215172,459.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL009,3,706.4548492,459.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL010,0,557.0104065,446.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL010,1,502.0104065,446.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL010,2,502.0104065,386.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL010,3,558.0104065,386.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL011,0,502.0104065,386.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL011,1,404.0104065,386.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL011,2,404.0104065,446.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL011,3,502.0104065,446.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL012,0,404.0104065,386.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL012,1,345.0104065,386.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL012,2,345.0104065,446.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
PLADAL012,3,404.0104065,446.6666565,Plano - 7250 Dallas Parkway,,,,,,,,,
