Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PDX220101,0,655,2235.0,Portland - 220 NW 8th (Custom House),101,,,,,,,,
PDX220101,1,655,1745.0,Portland - 220 NW 8th (Custom House),101,,,,,,,,
PDX220101,2,935,1745.0,Portland - 220 NW 8th (Custom House),101,,,,,,,,
PDX220101,3,935,2235.0,Portland - 220 NW 8th (Custom House),101,,,,,,,,
PDX220102,0,855,2255.0,Portland - 220 NW 8th (Custom House),102,,,,,,,,
PDX220102,1,570,2255.0,Portland - 220 NW 8th (Custom House),102,,,,,,,,
PDX220102,2,570,2685.0,Portland - 220 NW 8th (Custom House),102,,,,,,,,
PDX220102,3,855,2685.0,Portland - 220 NW 8th (Custom House),102,,,,,,,,
PDX220103,0,880,2765.0,Portland - 220 NW 8th (Custom House),103,,,,,,,,
PDX220103,1,820,2765.0,Portland - 220 NW 8th (Custom House),103,,,,,,,,
PDX220103,2,820,2820.0,Portland - 220 NW 8th (Custom House),103,,,,,,,,
PDX220103,3,880,2820.0,Portland - 220 NW 8th (Custom House),103,,,,,,,,
PDX220104,0,880,2820.0,Portland - 220 NW 8th (Custom House),104,,,,,,,,
PDX220104,1,880,2880.0,Portland - 220 NW 8th (Custom House),104,,,,,,,,
PDX220104,2,820,2880.0,Portland - 220 NW 8th (Custom House),104,,,,,,,,
PDX220104,3,820,2820.0,Portland - 220 NW 8th (Custom House),104,,,,,,,,
PDX220105,0,820,2880.0,Portland - 220 NW 8th (Custom House),105,,,,,,,,
PDX220105,1,735,2880.0,Portland - 220 NW 8th (Custom House),105,,,,,,,,
PDX220105,2,735,2820.0,Portland - 220 NW 8th (Custom House),105,,,,,,,,
PDX220105,3,820,2820.0,Portland - 220 NW 8th (Custom House),105,,,,,,,,
PDX220106,0,735,2820.0,Portland - 220 NW 8th (Custom House),106,,,,,,,,
PDX220106,1,735,2765.0,Portland - 220 NW 8th (Custom House),106,,,,,,,,
PDX220106,2,820,2765.0,Portland - 220 NW 8th (Custom House),106,,,,,,,,
PDX220106,3,820,2820.0,Portland - 220 NW 8th (Custom House),106,,,,,,,,
PDX220107,0,880,2765.0,Portland - 220 NW 8th (Custom House),107,,,,,,,,
PDX220107,1,880,2700.0,Portland - 220 NW 8th (Custom House),107,,,,,,,,
PDX220107,2,700,2700.0,Portland - 220 NW 8th (Custom House),107,,,,,,,,
PDX220107,3,700,2765.0,Portland - 220 NW 8th (Custom House),107,,,,,,,,
PDX220108,0,700,2765.0,Portland - 220 NW 8th (Custom House),108,,,,,,,,
PDX220108,1,700,2700.0,Portland - 220 NW 8th (Custom House),108,,,,,,,,
PDX220108,2,655,2700.0,Portland - 220 NW 8th (Custom House),108,,,,,,,,
PDX220108,3,655,2845.0,Portland - 220 NW 8th (Custom House),108,,,,,,,,
PDX220108,4,700,2845.0,Portland - 220 NW 8th (Custom House),108,,,,,,,,
PDX220109,0,700,2845.0,Portland - 220 NW 8th (Custom House),109,,,,,,,,
PDX220109,1,700,2900.0,Portland - 220 NW 8th (Custom House),109,,,,,,,,
PDX220109,2,655,2900.0,Portland - 220 NW 8th (Custom House),109,,,,,,,,
PDX220109,3,655,2845.0,Portland - 220 NW 8th (Custom House),109,,,,,,,,
PDX220110,0,700,2900.0,Portland - 220 NW 8th (Custom House),110,,,,,,,,
PDX220110,1,700,2990.0,Portland - 220 NW 8th (Custom House),110,,,,,,,,
PDX220110,2,655,2990.0,Portland - 220 NW 8th (Custom House),110,,,,,,,,
PDX220110,3,655,2900.0,Portland - 220 NW 8th (Custom House),110,,,,,,,,
PDX220111,0,700,2990.0,Portland - 220 NW 8th (Custom House),111,,,,,,,,
PDX220111,1,700,3045.0,Portland - 220 NW 8th (Custom House),111,,,,,,,,
PDX220111,2,655,3045.0,Portland - 220 NW 8th (Custom House),111,,,,,,,,
PDX220111,3,655,2990.0,Portland - 220 NW 8th (Custom House),111,,,,,,,,
PDX220112,0,700,3045.0,Portland - 220 NW 8th (Custom House),112,,,,,,,,
PDX220112,1,700,3140.0,Portland - 220 NW 8th (Custom House),112,,,,,,,,
PDX220112,2,655,3140.0,Portland - 220 NW 8th (Custom House),112,,,,,,,,
PDX220112,3,655,3045.0,Portland - 220 NW 8th (Custom House),112,,,,,,,,
PDX220113,0,655,3140.0,Portland - 220 NW 8th (Custom House),113,,,,,,,,
PDX220113,1,655,3190.0,Portland - 220 NW 8th (Custom House),113,,,,,,,,
PDX220113,2,755,3190.0,Portland - 220 NW 8th (Custom House),113,,,,,,,,
PDX220113,3,755,3140.0,Portland - 220 NW 8th (Custom House),113,,,,,,,,
PDX220114,0,755,3190.0,Portland - 220 NW 8th (Custom House),114,,,,,,,,
PDX220114,1,850,3190.0,Portland - 220 NW 8th (Custom House),114,,,,,,,,
PDX220114,2,850,3140.0,Portland - 220 NW 8th (Custom House),114,,,,,,,,
PDX220114,3,755,3140.0,Portland - 220 NW 8th (Custom House),114,,,,,,,,
