Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PDXSIX001,0,38.1,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX001,1,288.9,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX001,2,288.9,1709.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX001,3,259,1709.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX001,4,259,1656.7,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX001,5,37.2,1656.7,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX002,0,288.9,1709.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX002,1,306.5,1709.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX002,2,306.5,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX002,3,389.2,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX002,4,389.2,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX002,5,288.9,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX003,0,389.2,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX003,1,547.7,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX003,2,547.7,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX003,3,389.2,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX004,0,547.7,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX004,1,639.3,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX004,2,639.3,1791.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX004,3,547.7,1790.5,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX005,0,639.3,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX005,1,722.9,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX005,2,722.9,1789.6,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX005,3,638.4,1789.6,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX006,0,722.9,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX006,1,831.1,1659.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX006,2,831.1,1791.4,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX006,3,722.9,1789.6,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX007,0,306.8,1616.2,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX007,1,394.8,1616.2,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX007,2,394.8,1516.8,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX007,3,307.7,1516.8,Portland - 811 SW 6th,9,,,,,,,,
PDXSIX008,0,394.8,1616.2,Portland - 811 SW 6th,9,,,,,,,,
