Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
RALFAY901,0,2214,1164.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY001,0,2074,413.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY001,1,2190,413.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY001,2,2190,356.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY001,3,2244,356.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY001,4,2244,261.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY001,5,2073,260.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY002,0,2190,413.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY002,1,2190,573.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY002,2,2075,573.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY002,3,2074,413.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY003,0,2136,622.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY003,1,2136,759.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY003,2,2035,759.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY003,3,2035,621.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY004,0,2075,573.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY004,1,1940,573.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY004,2,1940,351.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY004,3,2074,351.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY005,0,2035,620.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY005,1,1929,619.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY005,2,1929,711.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY005,3,2036,711.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY005,4,2035,621.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY006,0,1929,711.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY006,1,1929,856.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY006,2,2081,856.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY006,3,2081,758.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY006,4,2035,759.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY006,5,2036,711.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY007,0,1757,620.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY007,1,1757,847.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY007,2,1882,847.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY007,3,1882,622.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY008,0,1940,573.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY008,1,1774,573.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY008,2,1774,440.0,Raleigh - 150 Fayetteville,,,,,,,,,
RALFAY008,3,1940,440.0,Raleigh - 150 Fayetteville,,,,,,,,,
