Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIRIVSUITE A,0,1267,1088.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,1,1266,743.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,2,1249,743.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,3,1249,719.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,4,773,721.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,5,773,742.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,6,750,741.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIVSUITE A,7,750,1090.0,River North - 111 W. Illinois,501 Suite A,,,,,,,,
CHIRIV502,0,1291,1140.0,River North - 111 W. Illinois,502,,,,,,,,
CHIRIV502,1,1292,1222.0,River North - 111 W. Illinois,502,,,,,,,,
CHIRIV502,2,1156,1222.0,River North - 111 W. Illinois,502,,,,,,,,
CHIRIV502,3,1155,1141.0,River North - 111 W. Illinois,502,,,,,,,,
CHIRIV503,0,1156,1222.0,River North - 111 W. Illinois,503,,,,,,,,
CHIRIV503,1,1155,1141.0,River North - 111 W. Illinois,503,,,,,,,,
CHIRIV503,2,1051,1139.0,River North - 111 W. Illinois,503,,,,,,,,
CHIRIV503,3,1051,1162.0,River North - 111 W. Illinois,503,,,,,,,,
CHIRIV503,4,1037,1162.0,River North - 111 W. Illinois,503,,,,,,,,
CHIRIV503,5,1037,1221.0,River North - 111 W. Illinois,503,,,,,,,,
CHIRIV504,0,1037,1221.0,River North - 111 W. Illinois,504,,,,,,,,
CHIRIV504,1,1037,1162.0,River North - 111 W. Illinois,504,,,,,,,,
CHIRIV504,2,1026,1161.0,River North - 111 W. Illinois,504,,,,,,,,
CHIRIV504,3,1025,1140.0,River North - 111 W. Illinois,504,,,,,,,,
CHIRIV504,4,919,1142.0,River North - 111 W. Illinois,504,,,,,,,,
CHIRIV504,5,920,1223.0,River North - 111 W. Illinois,504,,,,,,,,
