Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SDLKIR250,0,2290,1890.0,SDLKIR Commons,250,,,,,,,,
SDLKIR250,1,2290,1705.0,SDLKIR Commons,250,,,,,,,,
SDLKIR250,2,1665,1705.0,SDLKIR Commons,250,,,,,,,,
SDLKIR250,3,1665,1820.0,SDLKIR Commons,250,,,,,,,,
SDLKIR250,4,1845,1820.0,SDLKIR Commons,250,,,,,,,,
SDLKIR250,5,1845,1895.0,SDLKIR Commons,250,,,,,,,,
SDLKIR249,0,2290,1890.0,SDLKIR Commons,249,,,,,,,,
SDLKIR249,1,1845,1895.0,SDLKIR Commons,249,,,,,,,,
SDLKIR249,2,1845,2045.0,SDLKIR Commons,249,,,,,,,,
SDLKIR249,3,1960,2045.0,SDLKIR Commons,249,,,,,,,,
SDLKIR249,4,1960,2120.0,SDLKIR Commons,249,,,,,,,,
SDLKIR249,5,2290,2120.0,SDLKIR Commons,249,,,,,,,,
SDLKIR248,0,2290,2120.0,SDLKIR Commons,248,,,,,,,,
SDLKIR248,1,1960,2120.0,SDLKIR Commons,248,,,,,,,,
SDLKIR248,2,1960,2045.0,SDLKIR Commons,248,,,,,,,,
SDLKIR248,3,1845,2045.0,SDLKIR Commons,248,,,,,,,,
SDLKIR248,4,1845,2300.0,SDLKIR Commons,248,,,,,,,,
SDLKIR248,5,2290,2300.0,SDLKIR Commons,248,,,,,,,,
SDLKIR204,0,1785,1980.0,SDLKIR Commons,204,,,,,,,,
SDLKIR204,1,1785,1885.0,SDLKIR Commons,204,,,,,,,,
SDLKIR204,2,1655,1885.0,SDLKIR Commons,204,,,,,,,,
SDLKIR204,3,1655,1980.0,SDLKIR Commons,204,,,,,,,,
SDLKIR203,0,1785,1980.0,SDLKIR Commons,203,,,,,,,,
SDLKIR203,1,1600,1980.0,SDLKIR Commons,203,,,,,,,,
SDLKIR203,2,1600,2060.0,SDLKIR Commons,203,,,,,,,,
SDLKIR203,3,1785,2060.0,SDLKIR Commons,203,,,,,,,,
SDLKIR202,0,1785,2060.0,SDLKIR Commons,202,,,,,,,,
SDLKIR202,1,1600,2060.0,SDLKIR Commons,202,,,,,,,,
SDLKIR202,2,1600,2200.0,SDLKIR Commons,202,,,,,,,,
SDLKIR202,3,1785,2200.0,SDLKIR Commons,202,,,,,,,,
SDLKIR201,0,1785,2200.0,SDLKIR Commons,201,,,,,,,,
SDLKIR201,1,1600,2200.0,SDLKIR Commons,201,,,,,,,,
SDLKIR201,2,1600,2335.0,SDLKIR Commons,201,,,,,,,,
SDLKIR201,3,1785,2335.0,SDLKIR Commons,201,,,,,,,,
SDLKIRCONF 96 8P 2CRM1,0,1785,2335.0,SDLKIR Commons,CONF 96 8P 2CRM1,,,,,,,,
SDLKIRCONF 96 8P 2CRM1,1,1600,2335.0,SDLKIR Commons,CONF 96 8P 2CRM1,,,,,,,,
SDLKIRCONF 96 8P 2CRM1,2,1600,2465.0,SDLKIR Commons,CONF 96 8P 2CRM1,,,,,,,,
SDLKIRCONF 96 8P 2CRM1,3,1785,2465.0,SDLKIR Commons,CONF 96 8P 2CRM1,,,,,,,,
SDLKIRBreakout 2AMM1,0,1785,2465.0,SDLKIR Commons,Breakout 2AMM1,,,,,,,,
SDLKIRBreakout 2AMM1,1,1600,2465.0,SDLKIR Commons,Breakout 2AMM1,,,,,,,,
SDLKIRBreakout 2AMM1,2,1600,2575.0,SDLKIR Commons,Breakout 2AMM1,,,,,,,,
SDLKIRBreakout 2AMM1,3,1545,2575.0,SDLKIR Commons,Breakout 2AMM1,,,,,,,,
SDLKIRBreakout 2AMM1,4,1545,2700.0,SDLKIR Commons,Breakout 2AMM1,,,,,,,,
SDLKIRBreakout 2AMM1,5,1785,2700.0,SDLKIR Commons,Breakout 2AMM1,,,,,,,,
SDLKIRKitchenette 2PTY1,0,1545,2760.0,SDLKIR Commons,Kitchenette 2PTY1,,,,,,,,
SDLKIRKitchenette 2PTY1,1,1540,2615.0,SDLKIR Commons,Kitchenette 2PTY1,,,,,,,,
SDLKIRKitchenette 2PTY1,2,1435,2615.0,SDLKIR Commons,Kitchenette 2PTY1,,,,,,,,
SDLKIRKitchenette 2PTY1,3,1435,2760.0,SDLKIR Commons,Kitchenette 2PTY1,,,,,,,,
SDLKIRStorage 2S1,0,1435,2615.0,SDLKIR Commons,Storage 2S1,,,,,,,,
SDLKIRStorage 2S1,1,1350,2615.0,SDLKIR Commons,Storage 2S1,,,,,,,,
SDLKIRStorage 2S1,2,1350,2690.0,SDLKIR Commons,Storage 2S1,,,,,,,,
SDLKIRStorage 2S1,3,1435,2690.0,SDLKIR Commons,Storage 2S1,,,,,,,,
SDLKIRPhone Booth Alcove 2PHN3,0,1350,2690.0,SDLKIR Commons,Phone Booth Alcove 2PHN3,,,,,,,,
SDLKIRPhone Booth Alcove 2PHN3,1,1350,2810.0,SDLKIR Commons,Phone Booth Alcove 2PHN3,,,,,,,,
SDLKIRPhone Booth Alcove 2PHN3,2,1415,2810.0,SDLKIR Commons,Phone Booth Alcove 2PHN3,,,,,,,,
SDLKIRPhone Booth Alcove 2PHN3,3,1415,2690.0,SDLKIR Commons,Phone Booth Alcove 2PHN3,,,,,,,,
SDLKIRSingle User RR 2R2,0,1350,2810.0,SDLKIR Commons,Single User RR 2R2,,,,,,,,
SDLKIRSingle User RR 2R2,1,1425,2810.0,SDLKIR Commons,Single User RR 2R2,,,,,,,,
SDLKIRSingle User RR 2R2,2,1425,2905.0,SDLKIR Commons,Single User RR 2R2,,,,,,,,
SDLKIRSingle User RR 2R2,3,1350,2905.0,SDLKIR Commons,Single User RR 2R2,,,,,,,,
SDLKIRSingle User RR 2R1,0,1350,2905.0,SDLKIR Commons,Single User RR 2R1,,,,,,,,
SDLKIRSingle User RR 2R1,1,1425,2905.0,SDLKIR Commons,Single User RR 2R1,,,,,,,,
SDLKIRSingle User RR 2R1,2,1425,2995.0,SDLKIR Commons,Single User RR 2R1,,,,,,,,
SDLKIRSingle User RR 2R1,3,1350,2995.0,SDLKIR Commons,Single User RR 2R1,,,,,,,,
SDLKIRMDF 2T1,0,1350,2995.0,SDLKIR Commons,MDF 2T1,,,,,,,,
SDLKIRMDF 2T1,1,1435,2995.0,SDLKIR Commons,MDF 2T1,,,,,,,,
SDLKIRMDF 2T1,2,1435,3075.0,SDLKIR Commons,MDF 2T1,,,,,,,,
SDLKIRMDF 2T1,3,1350,3075.0,SDLKIR Commons,MDF 2T1,,,,,,,,
SDLKIR247,0,1435,3075.0,SDLKIR Commons,247,,,,,,,,
SDLKIR247,1,1435,3175.0,SDLKIR Commons,247,,,,,,,,
SDLKIR247,2,1420,3175.0,SDLKIR Commons,247,,,,,,,,
SDLKIR247,3,1420,3195.0,SDLKIR Commons,247,,,,,,,,
SDLKIR247,4,1255,3195.0,SDLKIR Commons,247,,,,,,,,
SDLKIR247,5,1255,3075.0,SDLKIR Commons,247,,,,,,,,
SDLKIR245,0,1255,3195.0,SDLKIR Commons,245,,,,,,,,
SDLKIR245,1,1255,3075.0,SDLKIR Commons,245,,,,,,,,
SDLKIR245,2,1035,3075.0,SDLKIR Commons,245,,,,,,,,
SDLKIR245,3,1035,3205.0,SDLKIR Commons,245,,,,,,,,
SDLKIR245,4,1160,3205.0,SDLKIR Commons,245,,,,,,,,
SDLKIR245,5,1160,3195.0,SDLKIR Commons,245,,,,,,,,
SDLKIR243,0,1035,3075.0,SDLKIR Commons,243,,,,,,,,
SDLKIR243,1,810,3075.0,SDLKIR Commons,243,,,,,,,,
SDLKIR243,2,810,3205.0,SDLKIR Commons,243,,,,,,,,
SDLKIR243,3,1000,3205.0,SDLKIR Commons,243,,,,,,,,
SDLKIR243,4,1000,3175.0,SDLKIR Commons,243,,,,,,,,
SDLKIR243,5,1035,3175.0,SDLKIR Commons,243,,,,,,,,
SDLKIR241,0,810,3205.0,SDLKIR Commons,241,,,,,,,,
SDLKIR241,1,810,3075.0,SDLKIR Commons,241,,,,,,,,
SDLKIR241,2,630,3075.0,SDLKIR Commons,241,,,,,,,,
SDLKIR241,3,630,3205.0,SDLKIR Commons,241,,,,,,,,
SDLKIR239,0,630,3075.0,SDLKIR Commons,239,,,,,,,,
SDLKIR239,1,535,3075.0,SDLKIR Commons,239,,,,,,,,
SDLKIR239,2,535,3205.0,SDLKIR Commons,239,,,,,,,,
SDLKIR239,3,585,3205.0,SDLKIR Commons,239,,,,,,,,
SDLKIR239,4,585,3180.0,SDLKIR Commons,239,,,,,,,,
SDLKIR239,5,630,3180.0,SDLKIR Commons,239,,,,,,,,
SDLKIR238,0,535,3205.0,SDLKIR Commons,238,,,,,,,,
SDLKIR238,1,535,3075.0,SDLKIR Commons,238,,,,,,,,
SDLKIR238,2,435,3075.0,SDLKIR Commons,238,,,,,,,,
SDLKIR238,3,435,3205.0,SDLKIR Commons,238,,,,,,,,
SDLKIR236,0,435,3205.0,SDLKIR Commons,236,,,,,,,,
SDLKIR236,1,435,3075.0,SDLKIR Commons,236,,,,,,,,
SDLKIR236,2,335,3075.0,SDLKIR Commons,236,,,,,,,,
SDLKIR236,3,335,3205.0,SDLKIR Commons,236,,,,,,,,
SDLKIR234,0,335,3205.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,1,335,3075.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,2,290,3075.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,3,290,3025.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,4,160,3025.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,5,160,3160.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,6,185,3160.0,SDLKIR Commons,234,,,,,,,,
SDLKIR234,7,185,3205.0,SDLKIR Commons,234,,,,,,,,
SDLKIR233,0,160,3025.0,SDLKIR Commons,233,,,,,,,,
SDLKIR233,1,160,2875.0,SDLKIR Commons,233,,,,,,,,
SDLKIR233,2,290,2875.0,SDLKIR Commons,233,,,,,,,,
SDLKIR233,3,290,3025.0,SDLKIR Commons,233,,,,,,,,
SDLKIR231,0,160,2875.0,SDLKIR Commons,231,,,,,,,,
SDLKIR231,1,160,2780.0,SDLKIR Commons,231,,,,,,,,
SDLKIR231,2,180,2780.0,SDLKIR Commons,231,,,,,,,,
SDLKIR231,3,180,2765.0,SDLKIR Commons,231,,,,,,,,
SDLKIR231,4,290,2765.0,SDLKIR Commons,231,,,,,,,,
SDLKIR231,5,290,2875.0,SDLKIR Commons,231,,,,,,,,
SDLKIR229,0,290,2765.0,SDLKIR Commons,229,,,,,,,,
SDLKIR229,1,160,2765.0,SDLKIR Commons,229,,,,,,,,
SDLKIR229,2,160,2580.0,SDLKIR Commons,229,,,,,,,,
SDLKIR229,3,290,2580.0,SDLKIR Commons,229,,,,,,,,
SDLKIR235,0,335,3030.0,SDLKIR Commons,235,,,,,,,,
SDLKIR235,1,335,2930.0,SDLKIR Commons,235,,,,,,,,
SDLKIR235,2,440,2930.0,SDLKIR Commons,235,,,,,,,,
SDLKIR235,3,440,3030.0,SDLKIR Commons,235,,,,,,,,
SDLKIR231,0,335,2930.0,SDLKIR Commons,231,,,,,,,,
