Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SFOCAL048,0,"1,440",1915.0,SF FiDi Retrace Correction,48,,,,,,,,
SFOCAL048,1,"1,440",1770.0,SF FiDi Retrace Correction,48,,,,,,,,
SFOCAL048,2,"1,120",1770.0,SF FiDi Retrace Correction,48,,,,,,,,
SFOCAL048,3,"1,120",1895.0,SF FiDi Retrace Correction,48,,,,,,,,
SFOCAL048,4,"1,200",1975.0,SF FiDi Retrace Correction,48,,,,,,,,
SFOCAL048,5,"1,260",1915.0,SF FiDi Retrace Correction,48,,,,,,,,
SFOCAL049,0,"1,440",1915.0,SF FiDi Retrace Correction,49,,,,,,,,
SFOCAL049,1,"1,440",2015.0,SF FiDi Retrace Correction,49,,,,,,,,
SFOCAL049,2,"1,370",2015.0,SF FiDi Retrace Correction,49,,,,,,,,
SFOCAL049,3,"1,275",2110.0,SF FiDi Retrace Correction,49,,,,,,,,
SFOCAL049,4,"1,170",2005.0,SF FiDi Retrace Correction,49,,,,,,,,
SFOCAL049,5,"1,260",1915.0,SF FiDi Retrace Correction,49,,,,,,,,
SFOCAL050,0,"1,275",2110.0,SF FiDi Retrace Correction,50,,,,,,,,
SFOCAL050,1,"1,350",2185.0,SF FiDi Retrace Correction,50,,,,,,,,
SFOCAL050,2,"1,475",2060.0,SF FiDi Retrace Correction,50,,,,,,,,
SFOCAL050,3,"1,440",2015.0,SF FiDi Retrace Correction,50,,,,,,,,
SFOCAL050,4,"1,370",2015.0,SF FiDi Retrace Correction,50,,,,,,,,
SFOCAL051,0,"1,475",2060.0,SF FiDi Retrace Correction,51,,,,,,,,
SFOCAL051,1,"1,595",2175.0,SF FiDi Retrace Correction,51,,,,,,,,
SFOCAL051,2,"1,465",2300.0,SF FiDi Retrace Correction,51,,,,,,,,
SFOCAL051,3,"1,350",2185.0,SF FiDi Retrace Correction,51,,,,,,,,
SFOCAL052,0,"1,595",2175.0,SF FiDi Retrace Correction,52,,,,,,,,
SFOCAL052,1,"1,655",2240.0,SF FiDi Retrace Correction,52,,,,,,,,
SFOCAL052,2,"1,530",2365.0,SF FiDi Retrace Correction,52,,,,,,,,
SFOCAL052,3,"1,465",2300.0,SF FiDi Retrace Correction,52,,,,,,,,
SFOCAL053,0,"1,680",2090.0,SF FiDi Retrace Correction,53,,,,,,,,
SFOCAL053,1,"1,680",1960.0,SF FiDi Retrace Correction,53,,,,,,,,
SFOCAL053,2,"1,505",1960.0,SF FiDi Retrace Correction,53,,,,,,,,
SFOCAL053,3,"1,505",2020.0,SF FiDi Retrace Correction,53,,,,,,,,
SFOCAL053,4,"1,575",2090.0,SF FiDi Retrace Correction,53,,,,,,,,
SFOCAL054,0,"1,680",2090.0,SF FiDi Retrace Correction,54,,,,,,,,
SFOCAL054,1,"1,730",2090.0,SF FiDi Retrace Correction,54,,,,,,,,
SFOCAL054,2,"1,790",2025.0,SF FiDi Retrace Correction,54,,,,,,,,
SFOCAL054,3,"1,790",1960.0,SF FiDi Retrace Correction,54,,,,,,,,
SFOCAL054,4,"1,680",1960.0,SF FiDi Retrace Correction,54,,,,,,,,
SFOCAL055,0,"1,530",2365.0,SF FiDi Retrace Correction,55,,,,,,,,
SFOCAL055,1,"1,650",2485.0,SF FiDi Retrace Correction,55,,,,,,,,
SFOCAL055,2,"1,835",2300.0,SF FiDi Retrace Correction,55,,,,,,,,
SFOCAL055,3,"1,705",2175.0,SF FiDi Retrace Correction,55,,,,,,,,
SFOCAL055,4,"1,645",2230.0,SF FiDi Retrace Correction,55,,,,,,,,
SFOCAL055,5,"1,655",2240.0,SF FiDi Retrace Correction,55,,,,,,,,
SFOCAL056,0,"1,835",2300.0,SF FiDi Retrace Correction,56,,,,,,,,
SFOCAL056,1,"1,950",2185.0,SF FiDi Retrace Correction,56,,,,,,,,
SFOCAL056,2,"1,820",2060.0,SF FiDi Retrace Correction,56,,,,,,,,
SFOCAL056,3,"1,705",2175.0,SF FiDi Retrace Correction,56,,,,,,,,
SFOCAL057,0,"1,950",2185.0,SF FiDi Retrace Correction,57,,,,,,,,
SFOCAL057,1,"2,130",2005.0,SF FiDi Retrace Correction,57,,,,,,,,
SFOCAL057,2,"2,055",1930.0,SF FiDi Retrace Correction,57,,,,,,,,
SFOCAL057,3,"1,860",1930.0,SF FiDi Retrace Correction,57,,,,,,,,
SFOCAL057,4,"1,860",2020.0,SF FiDi Retrace Correction,57,,,,,,,,
SFOCAL057,5,"1,820",2060.0,SF FiDi Retrace Correction,57,,,,,,,,
SFOCAL058,0,"2,055",1930.0,SF FiDi Retrace Correction,58,,,,,,,,
SFOCAL058,1,"2,100",1975.0,SF FiDi Retrace Correction,58,,,,,,,,
SFOCAL058,2,"2,180",1895.0,SF FiDi Retrace Correction,58,,,,,,,,
SFOCAL058,3,"2,180",1790.0,SF FiDi Retrace Correction,58,,,,,,,,
SFOCAL058,4,"1,860",1790.0,SF FiDi Retrace Correction,58,,,,,,,,
SFOCAL058,5,"1,860",1930.0,SF FiDi Retrace Correction,58,,,,,,,,
SFOCAL059,0,"2,180",1790.0,SF FiDi Retrace Correction,59,,,,,,,,
SFOCAL059,1,"2,180",1650.0,SF FiDi Retrace Correction,59,,,,,,,,
SFOCAL059,2,"1,990",1650.0,SF FiDi Retrace Correction,59,,,,,,,,
SFOCAL059,3,"1,990",1790.0,SF FiDi Retrace Correction,59,,,,,,,,
SFOCAL060,0,"2,180",1650.0,SF FiDi Retrace Correction,60,,,,,,,,
SFOCAL060,1,"2,180",1535.0,SF FiDi Retrace Correction,60,,,,,,,,
SFOCAL060,2,"2,070",1535.0,SF FiDi Retrace Correction,60,,,,,,,,
SFOCAL060,3,"2,070",1650.0,SF FiDi Retrace Correction,60,,,,,,,,
SFOCAL061,0,"2,180",1535.0,SF FiDi Retrace Correction,61,,,,,,,,
SFOCAL061,1,"2,180",1420.0,SF FiDi Retrace Correction,61,,,,,,,,
SFOCAL061,2,"2,070",1420.0,SF FiDi Retrace Correction,61,,,,,,,,
SFOCAL061,3,"2,070",1535.0,SF FiDi Retrace Correction,61,,,,,,,,
SFOCAL062,0,"2,180",1420.0,SF FiDi Retrace Correction,62,,,,,,,,
SFOCAL062,1,"2,180",1295.0,SF FiDi Retrace Correction,62,,,,,,,,
SFOCAL062,2,"2,070",1295.0,SF FiDi Retrace Correction,62,,,,,,,,
SFOCAL062,3,"2,070",1420.0,SF FiDi Retrace Correction,62,,,,,,,,
SFOCAL063,0,"2,180",1295.0,SF FiDi Retrace Correction,63,,,,,,,,
SFOCAL063,1,"2,180",1165.0,SF FiDi Retrace Correction,63,,,,,,,,
SFOCAL063,2,"2,070",1165.0,SF FiDi Retrace Correction,63,,,,,,,,
SFOCAL063,3,"2,070",1295.0,SF FiDi Retrace Correction,63,,,,,,,,
SFOCAL064,0,"2,180",1165.0,SF FiDi Retrace Correction,64,,,,,,,,
SFOCAL064,1,"2,180",1035.0,SF FiDi Retrace Correction,64,,,,,,,,
SFOCAL064,2,"2,070",1035.0,SF FiDi Retrace Correction,64,,,,,,,,
SFOCAL064,3,"2,070",1165.0,SF FiDi Retrace Correction,64,,,,,,,,
SFOCAL065,0,"2,180",1035.0,SF FiDi Retrace Correction,65,,,,,,,,
SFOCAL065,1,"2,180",905.0,SF FiDi Retrace Correction,65,,,,,,,,
SFOCAL065,2,"2,070",905.0,SF FiDi Retrace Correction,65,,,,,,,,
SFOCAL065,3,"2,070",1035.0,SF FiDi Retrace Correction,65,,,,,,,,
SFOCAL066,0,"2,180",905.0,SF FiDi Retrace Correction,66,,,,,,,,
SFOCAL066,1,"2,180",780.0,SF FiDi Retrace Correction,66,,,,,,,,
SFOCAL066,2,"2,070",780.0,SF FiDi Retrace Correction,66,,,,,,,,
SFOCAL066,3,"2,070",905.0,SF FiDi Retrace Correction,66,,,,,,,,
SFOCAL067,0,"2,180",780.0,SF FiDi Retrace Correction,67,,,,,,,,
SFOCAL067,1,"2,180",655.0,SF FiDi Retrace Correction,67,,,,,,,,
SFOCAL067,2,"2,075",550.0,SF FiDi Retrace Correction,67,,,,,,,,
SFOCAL067,3,"2,000",625.0,SF FiDi Retrace Correction,67,,,,,,,,
SFOCAL067,4,"2,070",695.0,SF FiDi Retrace Correction,67,,,,,,,,
SFOCAL067,5,"2,070",780.0,SF FiDi Retrace Correction,67,,,,,,,,
SFOCAL068,0,"2,025",925.0,SF FiDi Retrace Correction,68,,,,,,,,
SFOCAL068,1,"2,025",730.0,SF FiDi Retrace Correction,68,,,,,,,,
SFOCAL068,2,"1,940",730.0,SF FiDi Retrace Correction,68,,,,,,,,
SFOCAL068,3,"1,940",925.0,SF FiDi Retrace Correction,68,,,,,,,,
SFOCAL069,0,"2,025",925.0,SF FiDi Retrace Correction,69,,,,,,,,
SFOCAL069,1,"2,025",1020.0,SF FiDi Retrace Correction,69,,,,,,,,
SFOCAL069,2,"1,940",1020.0,SF FiDi Retrace Correction,69,,,,,,,,
SFOCAL069,3,"1,940",925.0,SF FiDi Retrace Correction,69,,,,,,,,
SFOCAL070,0,"2,025",1020.0,SF FiDi Retrace Correction,70,,,,,,,,
SFOCAL070,1,"2,025",1115.0,SF FiDi Retrace Correction,70,,,,,,,,
SFOCAL070,2,"1,940",1115.0,SF FiDi Retrace Correction,70,,,,,,,,
SFOCAL070,3,"1,940",1020.0,SF FiDi Retrace Correction,70,,,,,,,,
SFOCAL071,0,"2,025",1115.0,SF FiDi Retrace Correction,71,,,,,,,,
SFOCAL071,1,"2,025",1215.0,SF FiDi Retrace Correction,71,,,,,,,,
SFOCAL071,2,"1,940",1215.0,SF FiDi Retrace Correction,71,,,,,,,,
SFOCAL071,3,"1,940",1115.0,SF FiDi Retrace Correction,71,,,,,,,,
SFOCAL072,0,"2,025",1215.0,SF FiDi Retrace Correction,72,,,,,,,,
SFOCAL072,1,"2,025",1425.0,SF FiDi Retrace Correction,72,,,,,,,,
SFOCAL072,2,"1,860",1425.0,SF FiDi Retrace Correction,72,,,,,,,,
SFOCAL072,3,"1,860",1215.0,SF FiDi Retrace Correction,72,,,,,,,,
SFOCAL073,0,"1,860",1215.0,SF FiDi Retrace Correction,73,,,,,,,,
SFOCAL073,1,"1,860",1115.0,SF FiDi Retrace Correction,73,,,,,,,,
SFOCAL073,2,"1,940",1115.0,SF FiDi Retrace Correction,73,,,,,,,,
SFOCAL073,3,"1,940",1215.0,SF FiDi Retrace Correction,73,,,,,,,,
SFOCAL074,0,"1,860",1115.0,SF FiDi Retrace Correction,74,,,,,,,,
SFOCAL074,1,"1,860",1020.0,SF FiDi Retrace Correction,74,,,,,,,,
SFOCAL074,2,"1,940",1020.0,SF FiDi Retrace Correction,74,,,,,,,,
SFOCAL074,3,"1,940",1115.0,SF FiDi Retrace Correction,74,,,,,,,,
SFOCAL075,0,"1,860",1020.0,SF FiDi Retrace Correction,75,,,,,,,,
SFOCAL075,1,"1,860",925.0,SF FiDi Retrace Correction,75,,,,,,,,
SFOCAL075,2,"1,940",925.0,SF FiDi Retrace Correction,75,,,,,,,,
SFOCAL075,3,"1,940",1020.0,SF FiDi Retrace Correction,75,,,,,,,,
SFOCAL076,0,"1,860",925.0,SF FiDi Retrace Correction,76,,,,,,,,
SFOCAL076,1,"1,860",730.0,SF FiDi Retrace Correction,76,,,,,,,,
SFOCAL076,2,"1,940",730.0,SF FiDi Retrace Correction,76,,,,,,,,
SFOCAL076,3,"1,940",925.0,SF FiDi Retrace Correction,76,,,,,,,,
SFOCAL077,0,"2,000",625.0,SF FiDi Retrace Correction,77,,,,,,,,
SFOCAL077,1,"1,905",530.0,SF FiDi Retrace Correction,77,,,,,,,,
SFOCAL077,2,"2,015",420.0,SF FiDi Retrace Correction,77,,,,,,,,
SFOCAL077,3,"2,110",515.0,SF FiDi Retrace Correction,77,,,,,,,,
SFOCAL078,0,"1,905",530.0,SF FiDi Retrace Correction,78,,,,,,,,
SFOCAL078,1,"1,750",375.0,SF FiDi Retrace Correction,78,,,,,,,,
SFOCAL078,2,"1,860",265.0,SF FiDi Retrace Correction,78,,,,,,,,
SFOCAL078,3,"2,015",420.0,SF FiDi Retrace Correction,78,,,,,,,,
SFOCAL079,0,"1,750",375.0,SF FiDi Retrace Correction,79,,,,,,,,
SFOCAL079,1,"1,650",275.0,SF FiDi Retrace Correction,79,,,,,,,,
SFOCAL079,2,"1,760",165.0,SF FiDi Retrace Correction,79,,,,,,,,
SFOCAL079,3,"1,860",265.0,SF FiDi Retrace Correction,79,,,,,,,,
SFOCAL080,0,"1,675",640.0,SF FiDi Retrace Correction,80,,,,,,,,
SFOCAL080,1,"1,675",445.0,SF FiDi Retrace Correction,80,,,,,,,,
SFOCAL080,2,"1,595",445.0,SF FiDi Retrace Correction,80,,,,,,,,
SFOCAL080,3,"1,595",640.0,SF FiDi Retrace Correction,80,,,,,,,,
SFOCAL081,0,"1,595",640.0,SF FiDi Retrace Correction,81,,,,,,,,
SFOCAL081,1,"1,505",640.0,SF FiDi Retrace Correction,81,,,,,,,,
SFOCAL081,2,"1,505",480.0,SF FiDi Retrace Correction,81,,,,,,,,
SFOCAL081,3,"1,540",445.0,SF FiDi Retrace Correction,81,,,,,,,,
SFOCAL081,4,"1,595",445.0,SF FiDi Retrace Correction,81,,,,,,,,
SFOCAL082,0,"1,760",165.0,SF FiDi Retrace Correction,82,,,,,,,,
SFOCAL082,1,"1,650",55.0,SF FiDi Retrace Correction,82,,,,,,,,
SFOCAL082,2,"1,435",270.0,SF FiDi Retrace Correction,82,,,,,,,,
SFOCAL082,3,"1,545",380.0,SF FiDi Retrace Correction,82,,,,,,,,
SFOCAL083,0,"1,435",270.0,SF FiDi Retrace Correction,83,,,,,,,,
SFOCAL083,1,"1,360",345.0,SF FiDi Retrace Correction,83,,,,,,,,
SFOCAL083,2,"1,470",450.0,SF FiDi Retrace Correction,83,,,,,,,,
SFOCAL083,3,"1,545",380.0,SF FiDi Retrace Correction,83,,,,,,,,
SFOCAL084,0,"1,470",450.0,SF FiDi Retrace Correction,84,,,,,,,,
SFOCAL084,1,"1,395",530.0,SF FiDi Retrace Correction,84,,,,,,,,
SFOCAL084,2,"1,285",420.0,SF FiDi Retrace Correction,84,,,,,,,,
SFOCAL084,3,"1,360",345.0,SF FiDi Retrace Correction,84,,,,,,,,
SFOCAL085,0,"1,395",530.0,SF FiDi Retrace Correction,85,,,,,,,,
SFOCAL085,1,"1,295",630.0,SF FiDi Retrace Correction,85,,,,,,,,
SFOCAL085,2,"1,185",515.0,SF FiDi Retrace Correction,85,,,,,,,,
SFOCAL085,3,"1,285",420.0,SF FiDi Retrace Correction,85,,,,,,,,
SFOCAL086,0,"1,505",640.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL086,1,"1,485",640.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL086,2,"1,485",670.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL086,3,"1,340",670.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL086,4,"1,340",650.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL086,5,"1,430",555.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL086,6,"1,505",555.0,SF FiDi Retrace Correction,86,,,,,,,,
SFOCAL087,0,"1,500",835.0,SF FiDi Retrace Correction,87,,,,,,,,
SFOCAL087,1,"1,500",730.0,SF FiDi Retrace Correction,87,,,,,,,,
SFOCAL087,2,"1,420",730.0,SF FiDi Retrace Correction,87,,,,,,,,
SFOCAL087,3,"1,420",835.0,SF FiDi Retrace Correction,87,,,,,,,,
SFOCAL088,0,"1,420",835.0,SF FiDi Retrace Correction,88,,,,,,,,
SFOCAL088,1,"1,300",835.0,SF FiDi Retrace Correction,88,,,,,,,,
SFOCAL088,2,"1,300",730.0,SF FiDi Retrace Correction,88,,,,,,,,
SFOCAL088,3,"1,420",730.0,SF FiDi Retrace Correction,88,,,,,,,,
SFOCAL089,0,"1,500",835.0,SF FiDi Retrace Correction,89,,,,,,,,
SFOCAL089,1,"1,500",950.0,SF FiDi Retrace Correction,89,,,,,,,,
SFOCAL089,2,"1,300",950.0,SF FiDi Retrace Correction,89,,,,,,,,
SFOCAL089,3,"1,300",835.0,SF FiDi Retrace Correction,89,,,,,,,,
SFOCAL090,0,"1,500",950.0,SF FiDi Retrace Correction,90,,,,,,,,
SFOCAL090,1,"1,500",1060.0,SF FiDi Retrace Correction,90,,,,,,,,
SFOCAL090,2,"1,300",1060.0,SF FiDi Retrace Correction,90,,,,,,,,
SFOCAL090,3,"1,300",950.0,SF FiDi Retrace Correction,90,,,,,,,,
SFOCAL091,0,"1,500",1060.0,SF FiDi Retrace Correction,91,,,,,,,,
SFOCAL091,1,"1,500",1215.0,SF FiDi Retrace Correction,91,,,,,,,,
SFOCAL091,2,"1,300",1215.0,SF FiDi Retrace Correction,91,,,,,,,,
SFOCAL091,3,"1,300",1060.0,SF FiDi Retrace Correction,91,,,,,,,,
