Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SFOCAL001,0,365,1980.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,1,365,1775.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,2,45,1770.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,3,45,1900.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,4,125,1980.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,5,100,2005.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,6,185,2090.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL001,7,295,1980.0,SF FiDi Retrace,1,,,,,,,,
SFOCAL002,0,185,2090.0,SF FiDi Retrace,2,,,,,,,,
SFOCAL002,1,275,2185.0,SF FiDi Retrace,2,,,,,,,,
SFOCAL002,2,400,2060.0,SF FiDi Retrace,2,,,,,,,,
SFOCAL002,3,365,2025.0,SF FiDi Retrace,2,,,,,,,,
SFOCAL002,4,365,1980.0,SF FiDi Retrace,2,,,,,,,,
SFOCAL002,5,295,1980.0,SF FiDi Retrace,2,,,,,,,,
SFOCAL003,0,275,2185.0,SF FiDi Retrace,3,,,,,,,,
SFOCAL003,1,390,2300.0,SF FiDi Retrace,3,,,,,,,,
SFOCAL003,2,520,2175.0,SF FiDi Retrace,3,,,,,,,,
SFOCAL003,3,400,2060.0,SF FiDi Retrace,3,,,,,,,,
SFOCAL004,0,390,2300.0,SF FiDi Retrace,4,,,,,,,,
SFOCAL004,1,455,2365.0,SF FiDi Retrace,4,,,,,,,,
SFOCAL004,2,580,2240.0,SF FiDi Retrace,4,,,,,,,,
SFOCAL004,3,520,2175.0,SF FiDi Retrace,4,,,,,,,,
SFOCAL005,0,455,2365.0,SF FiDi Retrace,5,,,,,,,,
SFOCAL005,1,570,2480.0,SF FiDi Retrace,5,,,,,,,,
SFOCAL005,2,750,2305.0,SF FiDi Retrace,5,,,,,,,,
SFOCAL005,3,625,2180.0,SF FiDi Retrace,5,,,,,,,,
SFOCAL005,4,570,2230.0,SF FiDi Retrace,5,,,,,,,,
SFOCAL005,5,580,2240.0,SF FiDi Retrace,5,,,,,,,,
SFOCAL006,0,750,2305.0,SF FiDi Retrace,6,,,,,,,,
SFOCAL006,1,870,2185.0,SF FiDi Retrace,6,,,,,,,,
SFOCAL006,2,745,2060.0,SF FiDi Retrace,6,,,,,,,,
SFOCAL006,3,625,2180.0,SF FiDi Retrace,6,,,,,,,,
SFOCAL007,0,870,2185.0,SF FiDi Retrace,7,,,,,,,,
SFOCAL007,1,930,2125.0,SF FiDi Retrace,7,,,,,,,,
SFOCAL007,2,810,2000.0,SF FiDi Retrace,7,,,,,,,,
SFOCAL007,3,745,2060.0,SF FiDi Retrace,7,,,,,,,,
SFOCAL008,0,930,2125.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,1,"1,050",2005.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,2,"1,020",1975.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,3,"1,105",1895.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,4,"1,105",1795.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,5,915,1795.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,6,915,1815.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,7,780,1815.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL008,8,780,1970.0,SF FiDi Retrace,8,,,,,,,,
SFOCAL009,0,915,1795.0,SF FiDi Retrace,9,,,,,,,,
SFOCAL009,1,945,1795.0,SF FiDi Retrace,9,,,,,,,,
SFOCAL009,2,945,1655.0,SF FiDi Retrace,9,,,,,,,,
SFOCAL009,3,805,1655.0,SF FiDi Retrace,9,,,,,,,,
SFOCAL009,4,805,1815.0,SF FiDi Retrace,9,,,,,,,,
SFOCAL009,5,915,1815.0,SF FiDi Retrace,9,,,,,,,,
SFOCAL010,0,"1,105",1795.0,SF FiDi Retrace,10,,,,,,,,
SFOCAL010,1,"1,105",1655.0,SF FiDi Retrace,10,,,,,,,,
SFOCAL010,2,945,1655.0,SF FiDi Retrace,10,,,,,,,,
SFOCAL010,3,945,1795.0,SF FiDi Retrace,10,,,,,,,,
SFOCAL011,0,"1,105",1655.0,SF FiDi Retrace,11,,,,,,,,
SFOCAL011,1,"1,105",1535.0,SF FiDi Retrace,11,,,,,,,,
SFOCAL011,2,995,1535.0,SF FiDi Retrace,11,,,,,,,,
SFOCAL011,3,995,1655.0,SF FiDi Retrace,11,,,,,,,,
SFOCAL012,0,"1,105",1535.0,SF FiDi Retrace,12,,,,,,,,
SFOCAL012,1,"1,105",1405.0,SF FiDi Retrace,12,,,,,,,,
SFOCAL012,2,995,1405.0,SF FiDi Retrace,12,,,,,,,,
SFOCAL012,3,995,1535.0,SF FiDi Retrace,12,,,,,,,,
SFOCAL013,0,"1,105",1405.0,SF FiDi Retrace,13,,,,,,,,
SFOCAL013,1,"1,105",1280.0,SF FiDi Retrace,13,,,,,,,,
SFOCAL013,2,995,1280.0,SF FiDi Retrace,13,,,,,,,,
SFOCAL013,3,995,1405.0,SF FiDi Retrace,13,,,,,,,,
SFOCAL014,0,"1,105",1280.0,SF FiDi Retrace,14,,,,,,,,
SFOCAL014,1,"1,105",1150.0,SF FiDi Retrace,14,,,,,,,,
SFOCAL014,2,995,1150.0,SF FiDi Retrace,14,,,,,,,,
