Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SLCBRO901,0,1650,278.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO001,0,708,1053.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO001,1,832,1053.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO001,2,832,946.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO001,3,706,946.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO002,0,832,1053.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO002,1,966,1053.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO002,2,966,945.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO002,3,832,946.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO003,0,966,945.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO003,1,1070,945.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO003,2,1070,1223.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO003,3,896,1223.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO003,4,896,1052.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO003,5,966,1053.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO004,0,896,1223.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO004,1,735,1223.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO004,2,735,1122.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO004,3,896,1122.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO005,0,735,1223.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO005,1,449,1223.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO005,2,449,1026.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO005,3,635,1026.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO005,4,635,1121.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO005,5,735,1122.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO006,0,635,1026.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO006,1,635,862.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO006,2,447,861.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO006,3,449,1026.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO007,0,635,862.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO007,1,635,732.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO007,2,449,732.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO007,3,447,861.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO008,0,635,732.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO008,1,635,522.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO008,2,449,522.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO008,3,449,732.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO009,0,635,522.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO009,1,635,392.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO009,2,449,392.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO009,3,449,522.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO010,0,635,392.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO010,1,635,266.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO010,2,447,266.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO010,3,449,392.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO011,0,447,266.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO011,1,720,266.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO011,2,720,63.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO011,3,449,63.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO012,0,720,266.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO012,1,1049,267.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO012,2,1049,64.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO012,3,720,63.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO013,0,1888,268.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO013,1,2225,268.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO013,2,2225,63.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO013,3,1890,63.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO014,0,2225,268.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO014,1,2567,268.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO014,2,2567,64.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO014,3,2225,63.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,0,2567,268.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,1,2674,268.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,2,2674,383.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,3,2863,383.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,4,2863,87.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,5,2859.333374,73.66662598,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,6,2848.333374,63.66662598,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO015,7,2567,64.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO016,0,2674,383.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO016,1,2674,698.666626,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO016,2,2864.333374,698.666626,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO016,3,2863,383.0,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO017,0,2674,698.666626,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO017,1,2674,877.333374,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO017,2,2864.333374,877.333374,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO017,3,2864.333374,698.666626,Salt Lake City - 10 W Broadway,,,,,,,,,
SLCBRO018,0,2674,877.333374,Salt Lake City - 10 W Broadway,,,,,,,,,
