Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SLCMAI901,0,1304,1417.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI001,0,656,1555.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI001,1,329,1555.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI001,2,329,1302.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI001,3,597,1302.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI001,4,597,1382.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI001,5,656,1382.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI002,0,597,1302.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI002,1,597,1090.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI002,2,331,1090.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI002,3,329,1302.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI003,0,597,1090.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI003,1,597,877.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI003,2,331,877.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI003,3,331,1090.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI004,0,597,877.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI004,1,597,805.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI004,2,540,805.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI004,3,540,665.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI004,4,331,666.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI004,5,331,877.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI005,0,540,805.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI005,1,661,805.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI005,2,660,665.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI005,3,540,665.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI006,0,660,665.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI006,1,660,526.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI006,2,539,526.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI006,3,540,665.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI007,0,540,665.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI007,1,331,666.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI007,2,331,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI007,3,597,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI007,4,597,526.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI007,5,539,526.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI008,0,597,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI008,1,597,205.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI008,2,330,206.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI008,3,331,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI009,0,1011,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI009,1,801,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI009,2,801,204.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI009,3,1012,204.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI010,0,801,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI010,1,801,524.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI010,2,858,524.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI010,3,858,663.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI010,4,1012,663.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI010,5,1011,451.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI011,0,858,663.0,Salt Lake City - 136 South Main,,,,,,,,,
SLCMAI011,1,738,663.0,Salt Lake City - 136 South Main,,,,,,,,,
