Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SANWAS901,0,1268.6,2396.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,0,2096.015625,1957.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,1,2096.015625,1727.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,2,2171.015625,1726.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,3,2203.015625,1705.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,4,2340.015625,1833.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,5,2339.015625,1934.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,6,2314.015625,1934.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS001,7,2314.015625,1955.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS002,0,2339.015625,1934.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS002,1,2339.015625,2150.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS002,2,2217.015625,2150.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS002,3,2217.015625,1956.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS002,4,2314.015625,1955.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS002,5,2314.015625,1934.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS003,0,2217.015625,2150.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS003,1,2077.015625,2150.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS003,2,2077.015625,2010.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS003,3,2216.015625,2010.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS004,0,1929.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS004,1,2026.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS004,2,2026.015625,2386.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS004,3,1929.015625,2386.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS005,0,1929.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS005,1,1929.015625,2532.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS005,2,2026.015625,2532.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS005,3,2026.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS006,0,1929.015625,2529.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS006,1,1929.015625,2604.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS006,2,2026.015625,2604.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS006,3,2026.015625,2532.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS007,0,1929.015625,2604.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS007,1,1929.015625,2748.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS007,2,2026.015625,2748.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS007,3,2026.015625,2604.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS008,0,2026.015625,2748.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS008,1,2126.015625,2748.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS008,2,2126.015625,2677.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS008,3,2028.015625,2677.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS009,0,2126.015625,2677.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS009,1,2126.015625,2605.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS009,2,2026.015625,2604.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS009,3,2028.015625,2677.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS010,0,2129.015625,2603.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS010,1,2129.015625,2533.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS010,2,2026.015625,2532.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS010,3,2026.015625,2604.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS011,0,2129.015625,2533.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS011,1,2129.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS011,2,2026.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS011,3,2026.015625,2532.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS012,0,2129.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS012,1,2129.015625,2386.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS012,2,2026.015625,2386.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS012,3,2026.015625,2458.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS013,0,2339.015625,2150.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS013,1,2339.015625,2445.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS013,2,2175.015625,2445.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS013,3,2175.015625,2152.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS014,0,2175.015625,2445.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS014,1,2175.015625,2658.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS014,2,2338.015625,2658.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS014,3,2339.015625,2445.5,San Diego - 401 West A Street,,,,,,,,,
SANWAS015,0,2175.015625,2658.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS015,1,2175.015625,2760.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS015,2,2338.015625,2760.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS015,3,2338.015625,2658.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS016,0,2175.015625,2760.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS016,1,2175.015625,2866.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS016,2,2338.015625,2866.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS016,3,2338.015625,2760.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS017,0,2175.015625,2866.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS017,1,2175.015625,2967.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS017,2,2277.015625,3063.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS017,3,2337.015625,3063.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS017,4,2338.015625,2866.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS018,0,1904.015625,3182.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS018,1,2204.015625,3182.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS018,2,2204.015625,3121.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS018,3,2126.015625,3050.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS018,4,1904.015625,3050.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS019,0,1904.015625,3182.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS019,1,1723.015625,3182.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS019,2,1723.015625,3049.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS019,3,1904.015625,3050.0,San Diego - 401 West A Street,,,,,,,,,
SANWAS020,0,1723.015625,3182.0,San Diego - 401 West A Street,,,,,,,,,
