Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SANLAJ901,0,1928,1902.0,San Diego UTC,,,,,,,,,
SANLAJ001,0,1975,1613.0,San Diego UTC,,,,,,,,,
SANLAJ001,1,1975,1489.0,San Diego UTC,,,,,,,,,
SANLAJ001,2,2272,1489.0,San Diego UTC,,,,,,,,,
SANLAJ001,3,2116,1643.0,San Diego UTC,,,,,,,,,
SANLAJ001,4,2088,1614.0,San Diego UTC,,,,,,,,,
SANLAJ002,0,2272,1489.0,San Diego UTC,,,,,,,,,
SANLAJ002,1,2372,1388.0,San Diego UTC,,,,,,,,,
SANLAJ002,2,2372,1369.0,San Diego UTC,,,,,,,,,
SANLAJ002,3,2202,1369.0,San Diego UTC,,,,,,,,,
SANLAJ002,4,2202,1486.0,San Diego UTC,,,,,,,,,
SANLAJ003,0,2373,1622.0,San Diego UTC,,,,,,,,,
SANLAJ003,1,2287,1534.0,San Diego UTC,,,,,,,,,
SANLAJ003,2,2433,1387.0,San Diego UTC,,,,,,,,,
SANLAJ003,3,2522,1474.0,San Diego UTC,,,,,,,,,
SANLAJ004,0,2567,1424.0,San Diego UTC,,,,,,,,,
SANLAJ004,1,2665,1332.0,San Diego UTC,,,,,,,,,
SANLAJ004,2,2665,1296.0,San Diego UTC,,,,,,,,,
SANLAJ004,3,2526,1296.0,San Diego UTC,,,,,,,,,
SANLAJ004,4,2482,1339.0,San Diego UTC,,,,,,,,,
SANLAJ005,0,2665,1296.0,San Diego UTC,,,,,,,,,
SANLAJ005,1,2833,1296.0,San Diego UTC,,,,,,,,,
SANLAJ005,2,2833,1327.0,San Diego UTC,,,,,,,,,
SANLAJ005,3,2699,1457.0,San Diego UTC,,,,,,,,,
SANLAJ005,4,2622,1379.0,San Diego UTC,,,,,,,,,
SANLAJ005,5,2665,1332.0,San Diego UTC,,,,,,,,,
SANLAJ006,0,2699,1457.0,San Diego UTC,,,,,,,,,
SANLAJ006,1,2777,1538.0,San Diego UTC,,,,,,,,,
SANLAJ006,2,2958,1359.0,San Diego UTC,,,,,,,,,
SANLAJ006,3,2893,1298.0,San Diego UTC,,,,,,,,,
SANLAJ006,4,2833,1296.0,San Diego UTC,,,,,,,,,
SANLAJ006,5,2833,1327.0,San Diego UTC,,,,,,,,,
SANLAJ007,0,2976,1252.0,San Diego UTC,,,,,,,,,
SANLAJ007,1,3058,1252.0,San Diego UTC,,,,,,,,,
SANLAJ007,2,3096,1223.0,San Diego UTC,,,,,,,,,
SANLAJ007,3,3096,1078.0,San Diego UTC,,,,,,,,,
SANLAJ007,4,2978,1078.0,San Diego UTC,,,,,,,,,
SANLAJ008,0,2976,1252.0,San Diego UTC,,,,,,,,,
SANLAJ008,1,2855,1252.0,San Diego UTC,,,,,,,,,
SANLAJ008,2,2855,1082.0,San Diego UTC,,,,,,,,,
SANLAJ008,3,2978,1078.0,San Diego UTC,,,,,,,,,
SANLAJ009,0,2855,1252.0,San Diego UTC,,,,,,,,,
SANLAJ009,1,2739,1252.0,San Diego UTC,,,,,,,,,
SANLAJ009,2,2739,1079.0,San Diego UTC,,,,,,,,,
SANLAJ009,3,2855,1082.0,San Diego UTC,,,,,,,,,
SANLAJ010,0,2739,1252.0,San Diego UTC,,,,,,,,,
SANLAJ010,1,2623,1252.0,San Diego UTC,,,,,,,,,
SANLAJ010,2,2622,1078.0,San Diego UTC,,,,,,,,,
SANLAJ010,3,2739,1079.0,San Diego UTC,,,,,,,,,
SANLAJ011,0,2623,1252.0,San Diego UTC,,,,,,,,,
SANLAJ011,1,2449,1252.0,San Diego UTC,,,,,,,,,
SANLAJ011,2,2449,1080.0,San Diego UTC,,,,,,,,,
SANLAJ011,3,2622,1078.0,San Diego UTC,,,,,,,,,
SANLAJ012,0,2372,1369.0,San Diego UTC,,,,,,,,,
SANLAJ012,1,2372,1295.0,San Diego UTC,,,,,,,,,
SANLAJ012,2,2293,1295.0,San Diego UTC,,,,,,,,,
SANLAJ012,3,2296,1369.0,San Diego UTC,,,,,,,,,
SANLAJ013,0,2293,1295.0,San Diego UTC,,,,,,,,,
SANLAJ013,1,2202,1295.0,San Diego UTC,,,,,,,,,
SANLAJ013,2,2202,1369.0,San Diego UTC,,,,,,,,,
SANLAJ013,3,2296,1369.0,San Diego UTC,,,,,,,,,
SANLAJ014,0,2167,1251.0,San Diego UTC,,,,,,,,,
SANLAJ014,1,2300,1251.0,San Diego UTC,,,,,,,,,
SANLAJ014,2,2300,1137.0,San Diego UTC,,,,,,,,,
SANLAJ014,3,2167,1137.0,San Diego UTC,,,,,,,,,
SANLAJ015,0,2202,1295.0,San Diego UTC,,,,,,,,,
SANLAJ015,1,2086,1295.0,San Diego UTC,,,,,,,,,
SANLAJ015,2,2086,1489.0,San Diego UTC,,,,,,,,,
SANLAJ015,3,2202,1486.0,San Diego UTC,,,,,,,,,
SANLAJ016,0,2086,1295.0,San Diego UTC,,,,,,,,,
SANLAJ016,1,1976,1295.0,San Diego UTC,,,,,,,,,
SANLAJ016,2,1976,1488.0,San Diego UTC,,,,,,,,,
SANLAJ016,3,2086,1489.0,San Diego UTC,,,,,,,,,
