Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SANGEA500,0,595,2750.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,1,595,2935.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,2,550,2935.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,3,550,3170.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,4,680,3170.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,5,680,3220.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,6,115,3220.0,San Fran Union Sq,500,,,,,,,,
SANGEA500,7,115,2750.0,San Fran Union Sq,500,,,,,,,,
SANGEA505,0,96,2747.0,San Fran Union Sq,505,,,,,,,,
SANGEA505,1,593,2751.0,San Fran Union Sq,505,,,,,,,,
SANGEA505,2,594,2455.0,San Fran Union Sq,505,,,,,,,,
SANGEA505,3,105,2456.0,San Fran Union Sq,505,,,,,,,,
SANGEA515,0,115,2455.0,San Fran Union Sq,515,,,,,,,,
SANGEA515,1,115,2245.0,San Fran Union Sq,515,,,,,,,,
SANGEA515,2,595,2245.0,San Fran Union Sq,515,,,,,,,,
SANGEA515,3,595,2455.0,San Fran Union Sq,515,,,,,,,,
SANGEA520,0,115,2245.0,San Fran Union Sq,520,,,,,,,,
SANGEA520,1,115,1780.0,San Fran Union Sq,520,,,,,,,,
SANGEA520,2,680,1780.0,San Fran Union Sq,520,,,,,,,,
SANGEA520,3,680,2245.0,San Fran Union Sq,520,,,,,,,,
SANGEA520b,0,680,2245.0,San Fran Union Sq,520b,,,,,,,,
SANGEA520b,1,680,2075.0,San Fran Union Sq,520b,,,,,,,,
SANGEA520b,2,905,2075.0,San Fran Union Sq,520b,,,,,,,,
SANGEA520b,3,905,2245.0,San Fran Union Sq,520b,,,,,,,,
SANGEA530,0,680,2075.0,San Fran Union Sq,530,,,,,,,,
SANGEA530,1,680,1780.0,San Fran Union Sq,530,,,,,,,,
SANGEA530,2,1145,1780.0,San Fran Union Sq,530,,,,,,,,
SANGEA530,3,1145,2245.0,San Fran Union Sq,530,,,,,,,,
SANGEA530,4,905,2245.0,San Fran Union Sq,530,,,,,,,,
SANGEA530,5,905,2075.0,San Fran Union Sq,530,,,,,,,,
SANGEA535,0,1370,2075.0,San Fran Union Sq,535,,,,,,,,
SANGEA535,1,1370,2245.0,San Fran Union Sq,535,,,,,,,,
SANGEA535,2,1145,2245.0,San Fran Union Sq,535,,,,,,,,
SANGEA535,3,1145,2075.0,San Fran Union Sq,535,,,,,,,,
SANGEA540,0,1370,2245.0,San Fran Union Sq,540,,,,,,,,
SANGEA540,1,1370,2075.0,San Fran Union Sq,540,,,,,,,,
SANGEA540,2,1145,2070.0,San Fran Union Sq,540,,,,,,,,
SANGEA540,3,1145,1775.0,San Fran Union Sq,540,,,,,,,,
SANGEA540,4,1610,1775.0,San Fran Union Sq,540,,,,,,,,
SANGEA540,5,1610,2245.0,San Fran Union Sq,540,,,,,,,,
SANGEA545,0,1610,1775.0,San Fran Union Sq,545,,,,,,,,
SANGEA545,1,2085,1775.0,San Fran Union Sq,545,,,,,,,,
SANGEA545,2,2085,2070.0,San Fran Union Sq,545,,,,,,,,
SANGEA545,3,1855,2070.0,San Fran Union Sq,545,,,,,,,,
SANGEA545,4,1855,2245.0,San Fran Union Sq,545,,,,,,,,
SANGEA545,5,1610,2245.0,San Fran Union Sq,545,,,,,,,,
SANGEA550,0,1855,2070.0,San Fran Union Sq,550,,,,,,,,
SANGEA550,1,2085,2070.0,San Fran Union Sq,550,,,,,,,,
SANGEA550,2,2085,2245.0,San Fran Union Sq,550,,,,,,,,
SANGEA550,3,1855,2245.0,San Fran Union Sq,550,,,,,,,,
