Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SFOMON901,0,3379,1745.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,0,2761,2010.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,1,2761,1538.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,2,2733,1538.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,3,2458,1814.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,4,2625,1983.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,5,2677,1983.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON001,6,2677,2011.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON002,0,2502,2163.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON002,1,2618,2047.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON002,2,2618,1984.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON002,3,2454,1817.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON002,4,2304,1967.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON003,0,2201,2464.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON003,1,2502,2163.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON003,2,2304,1967.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON003,3,2004,2267.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON004,0,1728,2547.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON004,1,1891,2712.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON004,2,1951,2712.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON004,3,2201,2464.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON004,4,2004,2267.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON005,0,1767,2899.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON005,1,1889,2780.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON005,2,1889,2712.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON005,3,1728,2547.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON005,4,1572,2699.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,0,1448,3144.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,1,1520,3144.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,2,1767,2899.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,3,1572,2699.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,4,1502,2768.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,5,1483,2746.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON006,6,1266,2965.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON007,0,1072,2772.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON007,1,1266,2965.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON007,2,1483,2746.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON007,3,1291,2547.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON008,0,909,2608.0,San Francisco - 1700 Montgomery,1,,,,,,,,
SFOMON008,1,1014,2712.0,San Francisco - 1700 Montgomery,1,,,,,,,,
