Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXMON222,0,280,2020.0,Santa Monica,222,,,,,,,,
LAXMON222,1,280,2375.0,Santa Monica,222,,,,,,,,
LAXMON222,2,40,2375.0,Santa Monica,222,,,,,,,,
LAXMON222,3,35,2020.0,Santa Monica,222,,,,,,,,
LAXMON223,0,280,2130.0,Santa Monica,223,,,,,,,,
LAXMON223,1,450,2130.0,Santa Monica,223,,,,,,,,
LAXMON223,2,450,2270.0,Santa Monica,223,,,,,,,,
LAXMON223,3,280,2270.0,Santa Monica,223,,,,,,,,
LAXMON225,0,450,2130.0,Santa Monica,225,,,,,,,,
LAXMON225,1,610,2130.0,Santa Monica,225,,,,,,,,
LAXMON225,2,610,2270.0,Santa Monica,225,,,,,,,,
LAXMON225,3,450,2270.0,Santa Monica,225,,,,,,,,
LAXMON227,0,610,2130.0,Santa Monica,227,,,,,,,,
LAXMON227,1,795,2130.0,Santa Monica,227,,,,,,,,
LAXMON227,2,795,2380.0,Santa Monica,227,,,,,,,,
LAXMON227,3,610,2380.0,Santa Monica,227,,,,,,,,
LAXMON229,0,795,2130.0,Santa Monica,229,,,,,,,,
LAXMON229,1,965,2130.0,Santa Monica,229,,,,,,,,
LAXMON229,2,965,2380.0,Santa Monica,229,,,,,,,,
LAXMON229,3,795,2380.0,Santa Monica,229,,,,,,,,
LAXMON230,0,965,2130.0,Santa Monica,230,,,,,,,,
LAXMON230,1,1135,2130.0,Santa Monica,230,,,,,,,,
LAXMON230,2,1135,2380.0,Santa Monica,230,,,,,,,,
LAXMON230,3,965,2380.0,Santa Monica,230,,,,,,,,
LAXMON232,0,1135,2130.0,Santa Monica,232,,,,,,,,
LAXMON232,1,1320,2130.0,Santa Monica,232,,,,,,,,
LAXMON232,2,1320,2380.0,Santa Monica,232,,,,,,,,
LAXMON232,3,1135,2380.0,Santa Monica,232,,,,,,,,
LAXMON235,0,1320,2130.0,Santa Monica,235,,,,,,,,
LAXMON235,1,1630,2130.0,Santa Monica,235,,,,,,,,
LAXMON235,2,1630,2155.0,Santa Monica,235,,,,,,,,
LAXMON235,3,1670,2155.0,Santa Monica,235,,,,,,,,
LAXMON235,4,1670,2385.0,Santa Monica,235,,,,,,,,
LAXMON235,5,1320,2385.0,Santa Monica,235,,,,,,,,
LAXMON236,0,1670,2155.0,Santa Monica,236,,,,,,,,
LAXMON236,1,1670,2170.0,Santa Monica,236,,,,,,,,
LAXMON236,2,1985,2170.0,Santa Monica,236,,,,,,,,
LAXMON236,3,1985,1935.0,Santa Monica,236,,,,,,,,
LAXMON236,4,1630,1935.0,Santa Monica,236,,,,,,,,
LAXMON236,5,1630,2155.0,Santa Monica,236,,,,,,,,
LAXMON241,0,1985,1935.0,Santa Monica,241,,,,,,,,
LAXMON241,1,2210,1935.0,Santa Monica,241,,,,,,,,
LAXMON241,2,2210,2010.0,Santa Monica,241,,,,,,,,
LAXMON241,3,2300,2010.0,Santa Monica,241,,,,,,,,
LAXMON241,4,2300,2170.0,Santa Monica,241,,,,,,,,
LAXMON241,5,1985,2170.0,Santa Monica,241,,,,,,,,
LAXMON242,0,2300,2010.0,Santa Monica,242,,,,,,,,
LAXMON242,1,2445,2010.0,Santa Monica,242,,,,,,,,
LAXMON242,2,2445,2170.0,Santa Monica,242,,,,,,,,
LAXMON242,3,2300,2170.0,Santa Monica,242,,,,,,,,
LAXMON243,0,2445,2010.0,Santa Monica,243,,,,,,,,
LAXMON243,1,2555,2010.0,Santa Monica,243,,,,,,,,
LAXMON243,2,2555,2170.0,Santa Monica,243,,,,,,,,
LAXMON243,3,2445,2170.0,Santa Monica,243,,,,,,,,
LAXMON245,0,2555,2010.0,Santa Monica,245,,,,,,,,
LAXMON245,1,2690,2010.0,Santa Monica,245,,,,,,,,
LAXMON245,2,2690,2170.0,Santa Monica,245,,,,,,,,
LAXMON245,3,2555,2170.0,Santa Monica,245,,,,,,,,
LAXMON247,0,2690,2010.0,Santa Monica,247,,,,,,,,
LAXMON247,1,2810,2010.0,Santa Monica,247,,,,,,,,
LAXMON247,2,2810,2170.0,Santa Monica,247,,,,,,,,
LAXMON247,3,2690,2170.0,Santa Monica,247,,,,,,,,
LAXMON250,0,2810,2010.0,Santa Monica,250,,,,,,,,
LAXMON250,1,3015,2010.0,Santa Monica,250,,,,,,,,
LAXMON250,2,3015,2170.0,Santa Monica,250,,,,,,,,
LAXMON250,3,2810,2170.0,Santa Monica,250,,,,,,,,
LAXMON251,0,3015,2010.0,Santa Monica,251,,,,,,,,
LAXMON251,1,3115,2010.0,Santa Monica,251,,,,,,,,
LAXMON251,2,3115,1975.0,Santa Monica,251,,,,,,,,
LAXMON251,3,3260,1975.0,Santa Monica,251,,,,,,,,
LAXMON251,4,3260,2170.0,Santa Monica,251,,,,,,,,
LAXMON251,5,3015,2170.0,Santa Monica,251,,,,,,,,
LAXMON253,0,3260,1975.0,Santa Monica,253,,,,,,,,
LAXMON253,1,3260,1845.0,Santa Monica,253,,,,,,,,
LAXMON253,2,3115,1845.0,Santa Monica,253,,,,,,,,
LAXMON253,3,3115,1975.0,Santa Monica,253,,,,,,,,
LAXMON254,0,3260,1845.0,Santa Monica,254,,,,,,,,
LAXMON254,1,3260,1715.0,Santa Monica,254,,,,,,,,
LAXMON254,2,3115,1715.0,Santa Monica,254,,,,,,,,
LAXMON254,3,3115,1845.0,Santa Monica,254,,,,,,,,
LAXMON256,0,3260,1715.0,Santa Monica,256,,,,,,,,
LAXMON256,1,3260,1525.0,Santa Monica,256,,,,,,,,
LAXMON256,2,3115,1525.0,Santa Monica,256,,,,,,,,
LAXMON256,3,3115,1715.0,Santa Monica,256,,,,,,,,
LAXMON258,0,3260,1525.0,Santa Monica,258,,,,,,,,
LAXMON258,1,3260,1395.0,Santa Monica,258,,,,,,,,
LAXMON258,2,3115,1395.0,Santa Monica,258,,,,,,,,
LAXMON258,3,3115,1525.0,Santa Monica,258,,,,,,,,
LAXMON260,0,3260,1395.0,Santa Monica,260,,,,,,,,
LAXMON260,1,3260,1195.0,Santa Monica,260,,,,,,,,
LAXMON260,2,3115,1195.0,Santa Monica,260,,,,,,,,
LAXMON260,3,3115,1395.0,Santa Monica,260,,,,,,,,
LAXMON262,0,3260,1195.0,Santa Monica,262,,,,,,,,
LAXMON262,1,3260,1000.0,Santa Monica,262,,,,,,,,
LAXMON262,2,3115,1000.0,Santa Monica,262,,,,,,,,
LAXMON262,3,3115,1195.0,Santa Monica,262,,,,,,,,
LAXMON263,0,3260,1000.0,Santa Monica,263,,,,,,,,
LAXMON263,1,3260,870.0,Santa Monica,263,,,,,,,,
LAXMON263,2,3115,870.0,Santa Monica,263,,,,,,,,
LAXMON263,3,3115,1000.0,Santa Monica,263,,,,,,,,
LAXMON265,0,3260,870.0,Santa Monica,265,,,,,,,,
LAXMON265,1,3260,725.0,Santa Monica,265,,,,,,,,
LAXMON265,2,3115,725.0,Santa Monica,265,,,,,,,,
LAXMON265,3,3115,870.0,Santa Monica,265,,,,,,,,
LAXMON267,0,3260,725.0,Santa Monica,267,,,,,,,,
LAXMON267,1,3260,590.0,Santa Monica,267,,,,,,,,
LAXMON267,2,3115,590.0,Santa Monica,267,,,,,,,,
LAXMON267,3,3115,725.0,Santa Monica,267,,,,,,,,
LAXMON269,0,3260,590.0,Santa Monica,269,,,,,,,,
LAXMON269,1,3260,430.0,Santa Monica,269,,,,,,,,
LAXMON269,2,3115,430.0,Santa Monica,269,,,,,,,,
LAXMON269,3,3115,590.0,Santa Monica,269,,,,,,,,
LAXMON270,0,3260,430.0,Santa Monica,270,,,,,,,,
LAXMON270,1,3260,170.0,Santa Monica,270,,,,,,,,
LAXMON270,2,2935,175.0,Santa Monica,270,,,,,,,,
LAXMON270,3,2935,430.0,Santa Monica,270,,,,,,,,
LAXMON271,0,2935,430.0,Santa Monica,271,,,,,,,,
LAXMON271,1,2750,430.0,Santa Monica,271,,,,,,,,
LAXMON271,2,2750,175.0,Santa Monica,271,,,,,,,,
LAXMON271,3,2935,175.0,Santa Monica,271,,,,,,,,
LAXMON272,0,2750,175.0,Santa Monica,272,,,,,,,,
LAXMON272,1,2595,175.0,Santa Monica,272,,,,,,,,
LAXMON272,2,2595,430.0,Santa Monica,272,,,,,,,,
LAXMON272,3,2750,430.0,Santa Monica,272,,,,,,,,
LAXMON273,0,2595,430.0,Santa Monica,273,,,,,,,,
LAXMON273,1,2490,430.0,Santa Monica,273,,,,,,,,
LAXMON273,2,2490,445.0,Santa Monica,273,,,,,,,,
LAXMON273,3,2340,445.0,Santa Monica,273,,,,,,,,
LAXMON273,4,2340,175.0,Santa Monica,273,,,,,,,,
LAXMON273,5,2595,175.0,Santa Monica,273,,,,,,,,
LAXMON274,0,2490,445.0,Santa Monica,274,,,,,,,,
LAXMON274,1,2490,585.0,Santa Monica,274,,,,,,,,
LAXMON274,2,2305,585.0,Santa Monica,274,,,,,,,,
LAXMON274,3,2305,445.0,Santa Monica,274,,,,,,,,
LAXMON275,0,2490,585.0,Santa Monica,275,,,,,,,,
LAXMON275,1,2490,785.0,Santa Monica,275,,,,,,,,
LAXMON275,2,2305,785.0,Santa Monica,275,,,,,,,,
LAXMON275,3,2305,585.0,Santa Monica,275,,,,,,,,
LAXMON276,0,2490,785.0,Santa Monica,276,,,,,,,,
LAXMON276,1,2490,985.0,Santa Monica,276,,,,,,,,
