Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SDLDRI901,0,786,185.0,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,0,560.3333435,187.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,1,596.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,2,623.3333435,200.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,3,595.3333435,257.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,4,601.3333435,260.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,5,585.3333435,292.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,6,532.3333435,267.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,7,559.3333435,210.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI001,8,559.3333435,187.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI002,0,559.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI002,1,532.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI002,2,532.3333435,222.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI002,3,549.3333435,230.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI002,4,559.3333435,210.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,0,532.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,1,489.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,2,489.3333435,251.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,3,501.3333435,251.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,4,532.3333435,267.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,5,549.3333435,230.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI003,6,532.3333435,222.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI004,0,489.3333435,251.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI004,1,454.3333435,251.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI004,2,454.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI004,3,489.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI005,0,454.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI005,1,418.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI005,2,418.3333435,252.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI005,3,454.3333435,251.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI006,0,418.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI006,1,386.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI006,2,386.3333435,251.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI006,3,418.3333435,252.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI007,0,364.3333435,252.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI007,1,332.3333435,252.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI007,2,332.3333435,217.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI007,3,365.3333435,217.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI008,0,332.3333435,217.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI008,1,332.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI008,2,365.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI008,3,365.3333435,217.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI009,0,332.3333435,252.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI009,1,322.3333435,252.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI009,2,322.3333435,242.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI009,3,301.3333435,242.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI009,4,301.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI009,5,332.3333435,188.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI010,0,301.3333435,160.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI010,1,333.3333435,160.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI010,2,333.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI010,3,301.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI011,0,333.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI011,1,333.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI011,2,360.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI011,3,360.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI012,0,360.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI012,1,405.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI012,2,405.3333435,106.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI012,3,360.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI013,0,405.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI013,1,448.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI013,2,448.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI013,3,405.3333435,106.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI014,0,448.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI014,1,487.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI014,2,487.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI014,3,448.3333435,105.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
SDLDRI015,0,487.3333435,169.3333282,Scottsdale - 4250 Drinkwater,,,,,,,,,
