Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SDLEAS901,0,507,1349.0,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS001,0,377.5999985,943.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS001,1,280.5999985,943.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS001,2,280.5999985,829.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS001,3,413.5999985,829.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS001,4,413.5999985,910.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS001,5,378.5999985,910.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS002,0,280.5999985,829.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS002,1,280.5999985,724.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS002,2,412.5999985,724.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS002,3,413.5999985,829.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS003,0,412.5999985,724.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS003,1,483.3999939,724.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS003,2,483.3999939,829.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS003,3,413.5999985,829.4000244,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS004,0,483.3999939,724.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS004,1,556.6000061,724.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS004,2,556.6000061,829.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS004,3,483.3999939,829.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS005,0,246.6000061,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS005,1,372.6000061,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS005,2,374,564.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS005,3,306.6000061,566.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS005,4,306.6000061,555.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS005,5,246.6000061,555.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS006,0,372.6000061,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS006,1,479,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS006,2,479,565.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS006,3,374,564.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS007,0,479,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS007,1,582,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS007,2,582,554.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS007,3,542,555.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS007,4,542,566.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS007,5,479,565.8000488,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS008,0,582,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
SDLEAS008,1,670.6000061,688.1999512,Scottsdale - 7014 East Camelback,,,,,,,,,
