Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SEASIX901,0,1615.1,1110.5,Seattle - 2033 6th,,,,,,,,,
SEASIX001,0,1173.8,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX001,1,938.4,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX001,2,938.4,921.6,Seattle - 2033 6th,,,,,,,,,
SEASIX001,3,1173.8,921.6,Seattle - 2033 6th,,,,,,,,,
SEASIX002,0,938.4,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX002,1,814.9,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX002,2,814.9,922.5,Seattle - 2033 6th,,,,,,,,,
SEASIX002,3,938.4,921.6,Seattle - 2033 6th,,,,,,,,,
SEASIX003,0,814.9,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX003,1,687.8,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX003,2,687.8,921.6,Seattle - 2033 6th,,,,,,,,,
SEASIX003,3,814.9,922.5,Seattle - 2033 6th,,,,,,,,,
SEASIX004,0,687.8,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX004,1,576.9,1081.8,Seattle - 2033 6th,,,,,,,,,
SEASIX004,2,576.9,922.5,Seattle - 2033 6th,,,,,,,,,
SEASIX004,3,687.8,921.6,Seattle - 2033 6th,,,,,,,,,
SEASIX005,0,781.8,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX005,1,918.7,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX005,2,918.7,1140.0,Seattle - 2033 6th,,,,,,,,,
SEASIX005,3,782.7,1140.0,Seattle - 2033 6th,,,,,,,,,
SEASIX006,0,782.7,1140.0,Seattle - 2033 6th,,,,,,,,,
SEASIX006,1,686.9,1140.0,Seattle - 2033 6th,,,,,,,,,
SEASIX006,2,686.9,1242.9,Seattle - 2033 6th,,,,,,,,,
SEASIX006,3,780.9,1242.9,Seattle - 2033 6th,,,,,,,,,
SEASIX007,0,686.9,1242.9,Seattle - 2033 6th,,,,,,,,,
SEASIX007,1,686.9,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX007,2,781.8,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX007,3,780.9,1242.9,Seattle - 2033 6th,,,,,,,,,
SEASIX008,0,686.9,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX008,1,686.9,1444.3,Seattle - 2033 6th,,,,,,,,,
SEASIX008,2,782.7,1444.3,Seattle - 2033 6th,,,,,,,,,
SEASIX008,3,781.8,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX009,0,638.6,1442.5,Seattle - 2033 6th,,,,,,,,,
SEASIX009,1,515.1,1442.5,Seattle - 2033 6th,,,,,,,,,
SEASIX009,2,515.1,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX009,3,637.7,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX010,0,515.1,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX010,1,515.1,1241.1,Seattle - 2033 6th,,,,,,,,,
SEASIX010,2,638.6,1241.1,Seattle - 2033 6th,,,,,,,,,
SEASIX010,3,637.7,1342.3,Seattle - 2033 6th,,,,,,,,,
SEASIX011,0,638.6,1241.1,Seattle - 2033 6th,,,,,,,,,
