Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SEARAIN301,0,1370,2375.0,Seattle Rainier,301,,,,,,,,
SEARAIN301,1,1370,2270.0,Seattle Rainier,301,,,,,,,,
SEARAIN301,2,1470,2270.0,Seattle Rainier,301,,,,,,,,
SEARAIN301,3,1470,2290.0,Seattle Rainier,301,,,,,,,,
SEARAIN301,4,1490,2290.0,Seattle Rainier,301,,,,,,,,
SEARAIN301,5,1490,2375.0,Seattle Rainier,301,,,,,,,,
SEARAIN302,0,1490,2375.0,Seattle Rainier,302,,,,,,,,
SEARAIN302,1,1630,2375.0,Seattle Rainier,302,,,,,,,,
SEARAIN302,2,1630,2270.0,Seattle Rainier,302,,,,,,,,
SEARAIN302,3,1470,2270.0,Seattle Rainier,302,,,,,,,,
SEARAIN302,4,1470,2290.0,Seattle Rainier,302,,,,,,,,
SEARAIN302,5,1490,2290.0,Seattle Rainier,302,,,,,,,,
SEARAIN303,0,1495,2425.0,Seattle Rainier,303,,,,,,,,
SEARAIN303,1,1495,2575.0,Seattle Rainier,303,,,,,,,,
SEARAIN303,2,1605,2575.0,Seattle Rainier,303,,,,,,,,
SEARAIN303,3,1605,2425.0,Seattle Rainier,303,,,,,,,,
SEARAIN304,0,1630,2375.0,Seattle Rainier,304,,,,,,,,
SEARAIN304,1,1655,2375.0,Seattle Rainier,304,,,,,,,,
SEARAIN304,2,1655,2435.0,Seattle Rainier,304,,,,,,,,
SEARAIN304,3,1810,2435.0,Seattle Rainier,304,,,,,,,,
SEARAIN304,4,1810,2270.0,Seattle Rainier,304,,,,,,,,
SEARAIN304,5,1630,2270.0,Seattle Rainier,304,,,,,,,,
SEARAIN305,0,1810,2435.0,Seattle Rainier,305,,,,,,,,
SEARAIN305,1,1920,2435.0,Seattle Rainier,305,,,,,,,,
SEARAIN305,2,1920,2270.0,Seattle Rainier,305,,,,,,,,
SEARAIN305,3,1810,2270.0,Seattle Rainier,305,,,,,,,,
SEARAIN306,0,1790,2485.0,Seattle Rainier,306,,,,,,,,
SEARAIN306,1,1890,2485.0,Seattle Rainier,306,,,,,,,,
SEARAIN306,2,1890,2645.0,Seattle Rainier,306,,,,,,,,
SEARAIN306,3,1790,2645.0,Seattle Rainier,306,,,,,,,,
SEARAIN307,0,1920,2270.0,Seattle Rainier,307,,,,,,,,
SEARAIN307,1,2050,2270.0,Seattle Rainier,307,,,,,,,,
SEARAIN307,2,2050,2435.0,Seattle Rainier,307,,,,,,,,
SEARAIN307,3,1920,2435.0,Seattle Rainier,307,,,,,,,,
SEARAIN308,0,2050,2515.0,Seattle Rainier,308,,,,,,,,
SEARAIN308,1,1945,2515.0,Seattle Rainier,308,,,,,,,,
SEARAIN308,2,1945,2640.0,Seattle Rainier,308,,,,,,,,
SEARAIN308,3,2050,2640.0,Seattle Rainier,308,,,,,,,,
SEARAIN309,0,1890,2645.0,Seattle Rainier,309,,,,,,,,
SEARAIN309,1,1890,2755.0,Seattle Rainier,309,,,,,,,,
SEARAIN309,2,1775,2755.0,Seattle Rainier,309,,,,,,,,
SEARAIN309,3,1775,2645.0,Seattle Rainier,309,,,,,,,,
SEARAIN310,0,2050,2640.0,Seattle Rainier,310,,,,,,,,
SEARAIN310,1,2050,2785.0,Seattle Rainier,310,,,,,,,,
SEARAIN310,2,1945,2785.0,Seattle Rainier,310,,,,,,,,
SEARAIN310,3,1945,2640.0,Seattle Rainier,310,,,,,,,,
SEARAIN311,0,2050,2785.0,Seattle Rainier,311,,,,,,,,
SEARAIN311,1,2050,2900.0,Seattle Rainier,311,,,,,,,,
SEARAIN311,2,1945,2900.0,Seattle Rainier,311,,,,,,,,
SEARAIN311,3,1945,2785.0,Seattle Rainier,311,,,,,,,,
SEARAIN312,0,2050,2900.0,Seattle Rainier,312,,,,,,,,
SEARAIN312,1,2050,3085.0,Seattle Rainier,312,,,,,,,,
SEARAIN312,2,1855,3085.0,Seattle Rainier,312,,,,,,,,
SEARAIN312,3,1855,2925.0,Seattle Rainier,312,,,,,,,,
SEARAIN312,4,1945,2925.0,Seattle Rainier,312,,,,,,,,
SEARAIN312,5,1945,2900.0,Seattle Rainier,312,,,,,,,,
SEARAIN313,0,1890,2755.0,Seattle Rainier,313,,,,,,,,
SEARAIN313,1,1890,2875.0,Seattle Rainier,313,,,,,,,,
SEARAIN313,2,1775,2875.0,Seattle Rainier,313,,,,,,,,
SEARAIN313,3,1775,2755.0,Seattle Rainier,313,,,,,,,,
SEARAIN314,0,1855,3085.0,Seattle Rainier,314,,,,,,,,
SEARAIN314,1,1730,3085.0,Seattle Rainier,314,,,,,,,,
SEARAIN314,2,1730,2925.0,Seattle Rainier,314,,,,,,,,
SEARAIN314,3,1855,2925.0,Seattle Rainier,314,,,,,,,,
SEARAIN315,0,1775,2875.0,Seattle Rainier,315,,,,,,,,
SEARAIN315,1,1660,2875.0,Seattle Rainier,315,,,,,,,,
SEARAIN315,2,1660,2755.0,Seattle Rainier,315,,,,,,,,
SEARAIN315,3,1775,2755.0,Seattle Rainier,315,,,,,,,,
SEARAIN316,0,1730,3085.0,Seattle Rainier,316,,,,,,,,
SEARAIN316,1,1615,3085.0,Seattle Rainier,316,,,,,,,,
SEARAIN316,2,1615,3010.0,Seattle Rainier,316,,,,,,,,
SEARAIN316,3,1605,3010.0,Seattle Rainier,316,,,,,,,,
SEARAIN316,4,1605,2925.0,Seattle Rainier,316,,,,,,,,
SEARAIN316,5,1730,2925.0,Seattle Rainier,316,,,,,,,,
SEARAIN317,0,1775,2755.0,Seattle Rainier,317,,,,,,,,
SEARAIN317,1,1660,2755.0,Seattle Rainier,317,,,,,,,,
SEARAIN317,2,1660,2645.0,Seattle Rainier,317,,,,,,,,
SEARAIN317,3,1775,2645.0,Seattle Rainier,317,,,,,,,,
SEARAIN318,0,965,2375.0,Seattle Rainier,318,,,,,,,,
SEARAIN318,1,965,2270.0,Seattle Rainier,318,,,,,,,,
SEARAIN318,2,860,2270.0,Seattle Rainier,318,,,,,,,,
SEARAIN318,3,860,2375.0,Seattle Rainier,318,,,,,,,,
SEARAIN319,0,860,2375.0,Seattle Rainier,319,,,,,,,,
SEARAIN319,1,695,2375.0,Seattle Rainier,319,,,,,,,,
SEARAIN319,2,695,2270.0,Seattle Rainier,319,,,,,,,,
SEARAIN319,3,860,2270.0,Seattle Rainier,319,,,,,,,,
SEARAIN320,0,695,2375.0,Seattle Rainier,320,,,,,,,,
SEARAIN320,1,695,2445.0,Seattle Rainier,320,,,,,,,,
SEARAIN320,2,525,2445.0,Seattle Rainier,320,,,,,,,,
SEARAIN320,3,525,2270.0,Seattle Rainier,320,,,,,,,,
SEARAIN320,4,695,2270.0,Seattle Rainier,320,,,,,,,,
SEARAIN321,0,765,2845.0,Seattle Rainier,321,,,,,,,,
SEARAIN321,1,920,2845.0,Seattle Rainier,321,,,,,,,,
SEARAIN321,2,920,3085.0,Seattle Rainier,321,,,,,,,,
SEARAIN321,3,765,3085.0,Seattle Rainier,321,,,,,,,,
SEARAIN322,0,765,3085.0,Seattle Rainier,322,,,,,,,,
SEARAIN322,1,590,3085.0,Seattle Rainier,322,,,,,,,,
SEARAIN322,2,590,3050.0,Seattle Rainier,322,,,,,,,,
SEARAIN322,3,570,3050.0,Seattle Rainier,322,,,,,,,,
SEARAIN322,4,570,2955.0,Seattle Rainier,322,,,,,,,,
SEARAIN322,5,765,2955.0,Seattle Rainier,322,,,,,,,,
SEARAIN323,0,570,3030.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,1,570,3085.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,2,355,3085.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,3,355,3065.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,4,345,3065.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,5,345,2770.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,6,440,2770.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,7,440,2840.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,8,455,2840.0,Seattle Rainier,323,,,,,,,,
SEARAIN323,9,455,3030.0,Seattle Rainier,323,,,,,,,,
SEARAIN324,0,355,3085.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,1,175,3085.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,2,175,2830.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,3,285,2830.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,4,285,2840.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,5,345,2840.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,6,345,3065.0,Seattle Rainier,324,,,,,,,,
SEARAIN324,7,355,3065.0,Seattle Rainier,324,,,,,,,,
SEARAIN325,0,175,2830.0,Seattle Rainier,325,,,,,,,,
SEARAIN325,1,175,2695.0,Seattle Rainier,325,,,,,,,,
SEARAIN325,2,285,2695.0,Seattle Rainier,325,,,,,,,,
SEARAIN325,3,285,2830.0,Seattle Rainier,325,,,,,,,,
SEARAIN326,0,175,2695.0,Seattle Rainier,326,,,,,,,,
SEARAIN326,1,175,2565.0,Seattle Rainier,326,,,,,,,,
SEARAIN327,0,285,2565.0,Seattle Rainier,327,,,,,,,,
SEARAIN327,1,285,2695.0,Seattle Rainier,327,,,,,,,,
SEARAIN327,2,175,2565.0,Seattle Rainier,327,,,,,,,,
SEARAIN327,3,175,2445.0,Seattle Rainier,327,,,,,,,,
SEARAIN327,4,285,2445.0,Seattle Rainier,327,,,,,,,,
SEARAIN328,0,340,2550.0,Seattle Rainier,328,,,,,,,,
SEARAIN328,1,340,2445.0,Seattle Rainier,328,,,,,,,,
SEARAIN328,2,475,2445.0,Seattle Rainier,328,,,,,,,,
SEARAIN328,3,475,2550.0,Seattle Rainier,328,,,,,,,,
SEARAIN329,0,175,2445.0,Seattle Rainier,329,,,,,,,,
SEARAIN329,1,175,2270.0,Seattle Rainier,329,,,,,,,,
SEARAIN329,2,355,2270.0,Seattle Rainier,329,,,,,,,,
SEARAIN329,3,355,2380.0,Seattle Rainier,329,,,,,,,,
SEARAIN329,4,285,2380.0,Seattle Rainier,329,,,,,,,,
SEARAIN329,5,285,2445.0,Seattle Rainier,329,,,,,,,,
SEARAIN330,0,355,2270.0,Seattle Rainier,330,,,,,,,,
SEARAIN330,1,525,2270.0,Seattle Rainier,330,,,,,,,,
SEARAIN330,2,525,2445.0,Seattle Rainier,330,,,,,,,,
SEARAIN330,3,340,2445.0,Seattle Rainier,330,,,,,,,,
SEARAIN330,4,340,2380.0,Seattle Rainier,330,,,,,,,,
SEARAIN330,5,355,2380.0,Seattle Rainier,330,,,,,,,,
SEARAIN401,0,1040,1320.0,Seattle Rainier,401,,,,,,,,
SEARAIN401,1,1040,1480.0,Seattle Rainier,401,,,,,,,,
SEARAIN401,2,1210,1480.0,Seattle Rainier,401,,,,,,,,
SEARAIN401,3,1210,1320.0,Seattle Rainier,401,,,,,,,,
SEARAIN402,0,1210,1320.0,Seattle Rainier,402,,,,,,,,
SEARAIN402,1,1375,1320.0,Seattle Rainier,402,,,,,,,,
SEARAIN402,2,1375,1480.0,Seattle Rainier,402,,,,,,,,
SEARAIN402,3,1210,1480.0,Seattle Rainier,402,,,,,,,,
SEARAIN403,0,1190,1535.0,Seattle Rainier,403,,,,,,,,
SEARAIN403,1,1190,1625.0,Seattle Rainier,403,,,,,,,,
SEARAIN403,2,1280,1625.0,Seattle Rainier,403,,,,,,,,
SEARAIN403,3,1280,1535.0,Seattle Rainier,403,,,,,,,,
SEARAIN404,0,1280,1625.0,Seattle Rainier,404,,,,,,,,
SEARAIN404,1,1370,1625.0,Seattle Rainier,404,,,,,,,,
SEARAIN404,2,1370,1535.0,Seattle Rainier,404,,,,,,,,
SEARAIN404,3,1280,1535.0,Seattle Rainier,404,,,,,,,,
SEARAIN405,0,1370,1625.0,Seattle Rainier,405,,,,,,,,
SEARAIN405,1,1455,1625.0,Seattle Rainier,405,,,,,,,,
SEARAIN405,2,1455,1535.0,Seattle Rainier,405,,,,,,,,
SEARAIN405,3,1370,1535.0,Seattle Rainier,405,,,,,,,,
SEARAIN406,0,1375,1480.0,Seattle Rainier,406,,,,,,,,
SEARAIN406,1,1375,1320.0,Seattle Rainier,406,,,,,,,,
SEARAIN406,2,1480,1320.0,Seattle Rainier,406,,,,,,,,
SEARAIN406,3,1480,1480.0,Seattle Rainier,406,,,,,,,,
SEARAIN407,0,1455,1625.0,Seattle Rainier,407,,,,,,,,
SEARAIN407,1,1545,1625.0,Seattle Rainier,407,,,,,,,,
SEARAIN407,2,1545,1535.0,Seattle Rainier,407,,,,,,,,
SEARAIN407,3,1455,1535.0,Seattle Rainier,407,,,,,,,,
SEARAIN408,0,1480,1480.0,Seattle Rainier,408,,,,,,,,
SEARAIN408,1,1640,1480.0,Seattle Rainier,408,,,,,,,,
SEARAIN408,2,1640,1320.0,Seattle Rainier,408,,,,,,,,
SEARAIN408,3,1480,1320.0,Seattle Rainier,408,,,,,,,,
SEARAIN409,0,1600,1625.0,Seattle Rainier,409,,,,,,,,
SEARAIN409,1,1600,1535.0,Seattle Rainier,409,,,,,,,,
SEARAIN409,2,1740,1535.0,Seattle Rainier,409,,,,,,,,
SEARAIN409,3,1740,1625.0,Seattle Rainier,409,,,,,,,,
SEARAIN410,0,1640,1480.0,Seattle Rainier,410,,,,,,,,
SEARAIN410,1,1820,1480.0,Seattle Rainier,410,,,,,,,,
SEARAIN410,2,1820,1320.0,Seattle Rainier,410,,,,,,,,
SEARAIN410,3,1640,1320.0,Seattle Rainier,410,,,,,,,,
SEARAIN411,0,1820,1480.0,Seattle Rainier,411,,,,,,,,
SEARAIN411,1,2055,1480.0,Seattle Rainier,411,,,,,,,,
SEARAIN411,2,2055,1320.0,Seattle Rainier,411,,,,,,,,
SEARAIN411,3,1820,1320.0,Seattle Rainier,411,,,,,,,,
SEARAIN412,0,2055,1480.0,Seattle Rainier,412,,,,,,,,
SEARAIN412,1,2055,1625.0,Seattle Rainier,412,,,,,,,,
SEARAIN412,2,1900,1625.0,Seattle Rainier,412,,,,,,,,
SEARAIN412,3,1900,1480.0,Seattle Rainier,412,,,,,,,,
SEARAIN413,0,2055,1625.0,Seattle Rainier,413,,,,,,,,
SEARAIN413,1,2055,1750.0,Seattle Rainier,413,,,,,,,,
SEARAIN413,2,1900,1750.0,Seattle Rainier,413,,,,,,,,
SEARAIN413,3,1900,1625.0,Seattle Rainier,413,,,,,,,,
SEARAIN414,0,1740,1535.0,Seattle Rainier,414,,,,,,,,
SEARAIN414,1,1740,1715.0,Seattle Rainier,414,,,,,,,,
SEARAIN414,2,1850,1715.0,Seattle Rainier,414,,,,,,,,
SEARAIN414,3,1850,1535.0,Seattle Rainier,414,,,,,,,,
SEARAIN415,0,2055,1750.0,Seattle Rainier,415,,,,,,,,
SEARAIN415,1,2055,1860.0,Seattle Rainier,415,,,,,,,,
SEARAIN415,2,1900,1860.0,Seattle Rainier,415,,,,,,,,
SEARAIN415,3,1900,1750.0,Seattle Rainier,415,,,,,,,,
SEARAIN416,0,1850,1715.0,Seattle Rainier,416,,,,,,,,
SEARAIN416,1,1850,1870.0,Seattle Rainier,416,,,,,,,,
SEARAIN416,2,1760,1870.0,Seattle Rainier,416,,,,,,,,
SEARAIN416,3,1760,1715.0,Seattle Rainier,416,,,,,,,,
SEARAIN417,0,2055,1860.0,Seattle Rainier,417,,,,,,,,
SEARAIN417,1,2055,2125.0,Seattle Rainier,417,,,,,,,,
SEARAIN417,2,1550,2125.0,Seattle Rainier,417,,,,,,,,
SEARAIN417,3,1550,1920.0,Seattle Rainier,417,,,,,,,,
SEARAIN417,4,1905,1920.0,Seattle Rainier,417,,,,,,,,
SEARAIN417,5,1905,1860.0,Seattle Rainier,417,,,,,,,,
SEARAIN418,0,1740,1715.0,Seattle Rainier,418,,,,,,,,
SEARAIN418,1,1600,1715.0,Seattle Rainier,418,,,,,,,,
SEARAIN418,2,1600,1625.0,Seattle Rainier,418,,,,,,,,
SEARAIN418,3,1740,1625.0,Seattle Rainier,418,,,,,,,,
SEARAIN419,0,1545,1625.0,Seattle Rainier,419,,,,,,,,
SEARAIN419,1,1545,1735.0,Seattle Rainier,419,,,,,,,,
SEARAIN419,2,1405,1735.0,Seattle Rainier,419,,,,,,,,
SEARAIN419,3,1405,1625.0,Seattle Rainier,419,,,,,,,,
SEARAIN420,0,1405,1735.0,Seattle Rainier,420,,,,,,,,
SEARAIN420,1,1265,1735.0,Seattle Rainier,420,,,,,,,,
SEARAIN420,2,1265,1625.0,Seattle Rainier,420,,,,,,,,
SEARAIN420,3,1405,1625.0,Seattle Rainier,420,,,,,,,,
SEARAIN421,0,1040,1480.0,Seattle Rainier,421,,,,,,,,
SEARAIN421,1,945,1480.0,Seattle Rainier,421,,,,,,,,
SEARAIN421,2,950,1320.0,Seattle Rainier,421,,,,,,,,
SEARAIN421,3,1040,1320.0,Seattle Rainier,421,,,,,,,,
SEARAIN422,0,945,1480.0,Seattle Rainier,422,,,,,,,,
SEARAIN422,1,765,1480.0,Seattle Rainier,422,,,,,,,,
SEARAIN422,2,765,1320.0,Seattle Rainier,422,,,,,,,,
SEARAIN422,3,950,1320.0,Seattle Rainier,422,,,,,,,,
SEARAIN423,0,765,1480.0,Seattle Rainier,423,,,,,,,,
SEARAIN423,1,535,1480.0,Seattle Rainier,423,,,,,,,,
SEARAIN423,2,535,1320.0,Seattle Rainier,423,,,,,,,,
SEARAIN423,3,765,1320.0,Seattle Rainier,423,,,,,,,,
SEARAIN424,0,535,1480.0,Seattle Rainier,424,,,,,,,,
SEARAIN424,1,535,1630.0,Seattle Rainier,424,,,,,,,,
SEARAIN424,2,695,1630.0,Seattle Rainier,424,,,,,,,,
SEARAIN424,3,695,1480.0,Seattle Rainier,424,,,,,,,,
