Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SEAUNI501,0,1886,2464.0,Seattle University District,501,,,,,,,,
SEAUNI501,1,1886,2440.0,Seattle University District,501,,,,,,,,
SEAUNI501,2,1908,2440.0,Seattle University District,501,,,,,,,,
SEAUNI501,3,1909,2407.0,Seattle University District,501,,,,,,,,
SEAUNI501,4,1917,2407.0,Seattle University District,501,,,,,,,,
SEAUNI501,5,1918,2216.0,Seattle University District,501,,,,,,,,
SEAUNI501,6,1591,2212.0,Seattle University District,501,,,,,,,,
SEAUNI501,7,1591,2463.0,Seattle University District,501,,,,,,,,
SEAUNI502,0,1591,2463.0,Seattle University District,502,,,,,,,,
SEAUNI502,1,1591,2212.0,Seattle University District,502,,,,,,,,
SEAUNI502,2,1297,2212.0,Seattle University District,502,,,,,,,,
SEAUNI502,3,1297,2463.0,Seattle University District,502,,,,,,,,
SEAUNI503,0,1297,2463.0,Seattle University District,503,,,,,,,,
SEAUNI503,1,1297,2212.0,Seattle University District,503,,,,,,,,
SEAUNI503,2,966,2211.0,Seattle University District,503,,,,,,,,
SEAUNI503,3,967,2463.0,Seattle University District,503,,,,,,,,
SEAUNI504,0,1064,2150.0,Seattle University District,504,,,,,,,,
SEAUNI504,1,1063,2051.0,Seattle University District,504,,,,,,,,
SEAUNI504,2,1165,2049.0,Seattle University District,504,,,,,,,,
SEAUNI504,3,1165,2150.0,Seattle University District,504,,,,,,,,
SEAUNI505,0,1064,2150.0,Seattle University District,505,,,,,,,,
SEAUNI505,1,1063,2051.0,Seattle University District,505,,,,,,,,
SEAUNI505,2,955,2050.0,Seattle University District,505,,,,,,,,
SEAUNI505,3,955,2150.0,Seattle University District,505,,,,,,,,
SEAUNI506,0,966,2211.0,Seattle University District,506,,,,,,,,
SEAUNI506,1,622,2212.0,Seattle University District,506,,,,,,,,
SEAUNI506,2,622,2463.0,Seattle University District,506,,,,,,,,
SEAUNI506,3,967,2463.0,Seattle University District,506,,,,,,,,
SEAUNI507,0,622,2212.0,Seattle University District,507,,,,,,,,
SEAUNI507,1,890,2212.0,Seattle University District,507,,,,,,,,
SEAUNI507,2,890,2072.0,Seattle University District,507,,,,,,,,
SEAUNI507,3,645,2072.0,Seattle University District,507,,,,,,,,
SEAUNI507,4,646,2102.0,Seattle University District,507,,,,,,,,
SEAUNI507,5,622,2102.0,Seattle University District,507,,,,,,,,
SEAUNI508,0,890,2072.0,Seattle University District,508,,,,,,,,
SEAUNI508,1,622,2069.0,Seattle University District,508,,,,,,,,
SEAUNI508,2,622,1819.0,Seattle University District,508,,,,,,,,
SEAUNI508,3,890,1820.0,Seattle University District,508,,,,,,,,
SEAUNI509,0,622,1819.0,Seattle University District,509,,,,,,,,
SEAUNI509,1,890,1820.0,Seattle University District,509,,,,,,,,
SEAUNI509,2,891,1552.0,Seattle University District,509,,,,,,,,
SEAUNI509,3,621,1553.0,Seattle University District,509,,,,,,,,
SEAUNI510,0,621,1553.0,Seattle University District,510,,,,,,,,
SEAUNI510,1,891,1552.0,Seattle University District,510,,,,,,,,
SEAUNI510,2,890,1308.0,Seattle University District,510,,,,,,,,
SEAUNI510,3,859,1308.0,Seattle University District,510,,,,,,,,
SEAUNI510,4,859,1285.0,Seattle University District,510,,,,,,,,
SEAUNI510,5,645,1285.0,Seattle University District,510,,,,,,,,
SEAUNI510,6,645,1308.0,Seattle University District,510,,,,,,,,
SEAUNI510,7,621,1308.0,Seattle University District,510,,,,,,,,
SEAUNI511,0,890,1491.0,Seattle University District,511,,,,,,,,
SEAUNI511,1,1142,1490.0,Seattle University District,511,,,,,,,,
SEAUNI511,2,1140,1285.0,Seattle University District,511,,,,,,,,
SEAUNI511,3,892,1284.0,Seattle University District,511,,,,,,,,
SEAUNI512,0,1142,1490.0,Seattle University District,512,,,,,,,,
SEAUNI512,1,1140,1285.0,Seattle University District,512,,,,,,,,
SEAUNI512,2,1269,1284.0,Seattle University District,512,,,,,,,,
SEAUNI512,3,1269,1491.0,Seattle University District,512,,,,,,,,
SEAUNI513,0,1148,1680.0,Seattle University District,513,,,,,,,,
SEAUNI513,1,1149,1553.0,Seattle University District,513,,,,,,,,
SEAUNI513,2,1228,1552.0,Seattle University District,513,,,,,,,,
SEAUNI513,3,1229,1679.0,Seattle University District,513,,,,,,,,
SEAUNI514,0,1229,1679.0,Seattle University District,514,,,,,,,,
SEAUNI514,1,1228,1552.0,Seattle University District,514,,,,,,,,
SEAUNI514,2,1309,1552.0,Seattle University District,514,,,,,,,,
SEAUNI514,3,1308,1679.0,Seattle University District,514,,,,,,,,
SEAUNI515,0,1269,1491.0,Seattle University District,515,,,,,,,,
SEAUNI515,1,1269,1284.0,Seattle University District,515,,,,,,,,
SEAUNI515,2,1395,1284.0,Seattle University District,515,,,,,,,,
SEAUNI515,3,1395,1490.0,Seattle University District,515,,,,,,,,
SEAUNI516,0,1309,1552.0,Seattle University District,516,,,,,,,,
SEAUNI516,1,1308,1679.0,Seattle University District,516,,,,,,,,
SEAUNI516,2,1437,1680.0,Seattle University District,516,,,,,,,,
SEAUNI516,3,1435,1553.0,Seattle University District,516,,,,,,,,
SEAUNI517,0,1395,1490.0,Seattle University District,517,,,,,,,,
SEAUNI517,1,1395,1284.0,Seattle University District,517,,,,,,,,
SEAUNI517,2,1637,1284.0,Seattle University District,517,,,,,,,,
SEAUNI517,3,1634,1491.0,Seattle University District,517,,,,,,,,
SEAUNI518,0,1634,1491.0,Seattle University District,518,,,,,,,,
SEAUNI518,1,1637,1284.0,Seattle University District,518,,,,,,,,
SEAUNI518,2,1759,1284.0,Seattle University District,518,,,,,,,,
SEAUNI518,3,1762,1491.0,Seattle University District,518,,,,,,,,
SEAUNI519,0,1762,1491.0,Seattle University District,519,,,,,,,,
SEAUNI519,1,1888,1490.0,Seattle University District,519,,,,,,,,
SEAUNI519,2,1887,1285.0,Seattle University District,519,,,,,,,,
SEAUNI519,3,1790,1284.0,Seattle University District,519,,,,,,,,
SEAUNI519,4,1790,1308.0,Seattle University District,519,,,,,,,,
SEAUNI519,5,1760,1308.0,Seattle University District,519,,,,,,,,
SEAUNI520,0,1809,1553.0,Seattle University District,520,,,,,,,,
SEAUNI520,1,1809,1681.0,Seattle University District,520,,,,,,,,
SEAUNI520,2,1884,1679.0,Seattle University District,520,,,,,,,,
SEAUNI520,3,1885,1553.0,Seattle University District,520,,,,,,,,
SEAUNI521,0,2296,1285.0,Seattle University District,521,,,,,,,,
SEAUNI521,1,2435,1283.0,Seattle University District,521,,,,,,,,
SEAUNI521,2,2436,1491.0,Seattle University District,521,,,,,,,,
SEAUNI521,3,2296,1492.0,Seattle University District,521,,,,,,,,
SEAUNI522,0,2436,1491.0,Seattle University District,522,,,,,,,,
SEAUNI522,1,2435,1283.0,Seattle University District,522,,,,,,,,
SEAUNI522,2,2655,1283.0,Seattle University District,522,,,,,,,,
SEAUNI522,3,2655,1307.0,Seattle University District,522,,,,,,,,
SEAUNI522,4,2678,1307.0,Seattle University District,522,,,,,,,,
SEAUNI522,5,2678,1554.0,Seattle University District,522,,,,,,,,
SEAUNI522,6,2501,1554.0,Seattle University District,522,,,,,,,,
SEAUNI522,7,2501,1491.0,Seattle University District,522,,,,,,,,
SEAUNI523,0,2346,1554.0,Seattle University District,523,,,,,,,,
SEAUNI523,1,2436,1553.0,Seattle University District,523,,,,,,,,
SEAUNI523,2,2436,1643.0,Seattle University District,523,,,,,,,,
SEAUNI523,3,2345,1643.0,Seattle University District,523,,,,,,,,
SEAUNI524,0,2501,1554.0,Seattle University District,524,,,,,,,,
SEAUNI524,1,2678,1554.0,Seattle University District,524,,,,,,,,
SEAUNI524,2,2679,1679.0,Seattle University District,524,,,,,,,,
SEAUNI524,3,2501,1679.0,Seattle University District,524,,,,,,,,
SEAUNI525,0,2436,1643.0,Seattle University District,525,,,,,,,,
SEAUNI525,1,2345,1643.0,Seattle University District,525,,,,,,,,
SEAUNI525,2,2345,1733.0,Seattle University District,525,,,,,,,,
SEAUNI525,3,2436,1732.0,Seattle University District,525,,,,,,,,
SEAUNI526,0,2501,1679.0,Seattle University District,526,,,,,,,,
SEAUNI526,1,2679,1679.0,Seattle University District,526,,,,,,,,
SEAUNI526,2,2679,1819.0,Seattle University District,526,,,,,,,,
SEAUNI526,3,2500,1819.0,Seattle University District,526,,,,,,,,
SEAUNI527,0,2436,1732.0,Seattle University District,527,,,,,,,,
SEAUNI527,1,2345,1733.0,Seattle University District,527,,,,,,,,
SEAUNI527,2,2346,1819.0,Seattle University District,527,,,,,,,,
SEAUNI527,3,2434,1819.0,Seattle University District,527,,,,,,,,
SEAUNI528,0,2500,1819.0,Seattle University District,528,,,,,,,,
SEAUNI528,1,2679,1819.0,Seattle University District,528,,,,,,,,
SEAUNI528,2,2679,2069.0,Seattle University District,528,,,,,,,,
SEAUNI528,3,2656,2069.0,Seattle University District,528,,,,,,,,
SEAUNI528,4,2655,2104.0,Seattle University District,528,,,,,,,,
SEAUNI528,5,2501,2104.0,Seattle University District,528,,,,,,,,
SEAUNI601,0,1886,1234.0,Seattle University District,601,,,,,,,,
SEAUNI601,1,1887,1206.0,Seattle University District,601,,,,,,,,
SEAUNI601,2,1911,1205.0,Seattle University District,601,,,,,,,,
SEAUNI601,3,1910,871.0,Seattle University District,601,,,,,,,,
SEAUNI601,4,1890,871.0,Seattle University District,601,,,,,,,,
SEAUNI601,5,1890,743.0,Seattle University District,601,,,,,,,,
SEAUNI601,6,1051,740.0,Seattle University District,601,,,,,,,,
SEAUNI601,7,1050,1233.0,Seattle University District,601,,,,,,,,
SEAUNI602,0,1050,1233.0,Seattle University District,602,,,,,,,,
SEAUNI602,1,613,1233.0,Seattle University District,602,,,,,,,,
SEAUNI602,2,613,617.0,Seattle University District,602,,,,,,,,
SEAUNI602,3,801,616.0,Seattle University District,602,,,,,,,,
SEAUNI602,4,802,677.0,Seattle University District,602,,,,,,,,
SEAUNI602,5,923,676.0,Seattle University District,602,,,,,,,,
SEAUNI602,6,925,555.0,Seattle University District,602,,,,,,,,
SEAUNI602,7,1047,554.0,Seattle University District,602,,,,,,,,
SEAUNI603,0,1047,554.0,Seattle University District,603,,,,,,,,
SEAUNI603,1,925,555.0,Seattle University District,603,,,,,,,,
SEAUNI603,2,923,676.0,Seattle University District,603,,,,,,,,
SEAUNI603,3,802,677.0,Seattle University District,603,,,,,,,,
SEAUNI603,4,801,616.0,Seattle University District,603,,,,,,,,
SEAUNI603,5,613,617.0,Seattle University District,603,,,,,,,,
SEAUNI603,6,612,37.0,Seattle University District,603,,,,,,,,
SEAUNI603,7,1048,36.0,Seattle University District,603,,,,,,,,
SEAUNI604,0,1048,378.0,Seattle University District,604,,,,,,,,
SEAUNI604,1,1048,36.0,Seattle University District,604,,,,,,,,
SEAUNI604,2,2045,39.0,Seattle University District,604,,,,,,,,
SEAUNI604,3,2043,378.0,Seattle University District,604,,,,,,,,
SEAUNI605,0,2043,378.0,Seattle University District,605,,,,,,,,
SEAUNI605,1,2045,39.0,Seattle University District,605,,,,,,,,
SEAUNI605,2,2663,40.0,Seattle University District,605,,,,,,,,
SEAUNI605,3,2665,66.0,Seattle University District,605,,,,,,,,
SEAUNI605,4,2691,67.0,Seattle University District,605,,,,,,,,
SEAUNI605,5,2690,741.0,Seattle University District,605,,,,,,,,
SEAUNI605,6,2539,741.0,Seattle University District,605,,,,,,,,
SEAUNI605,7,2540,676.0,Seattle University District,605,,,,,,,,
SEAUNI605,8,2443,676.0,Seattle University District,605,,,,,,,,
SEAUNI605,9,2442,442.0,Seattle University District,605,,,,,,,,
SEAUNI605,10,2174,441.0,Seattle University District,605,,,,,,,,
SEAUNI605,11,2174,378.0,Seattle University District,605,,,,,,,,
SEAUNI530,0,1683,1678.0,Seattle University District,,,,,,,,,
SEAUNI530,1,1805,1679.0,Seattle University District,,,,,,,,,
SEAUNI530,2,1808,1553.0,Seattle University District,,,,,,,,,
SEAUNI530,3,1683,1553.0,Seattle University District,,,,,,,,,
SEAUNI529,0,2264,1679.0,Seattle University District,,,,,,,,,
SEAUNI529,1,2342,1678.0,Seattle University District,,,,,,,,,
SEAUNI529,2,2342,1554.0,Seattle University District,,,,,,,,,
SEAUNI529,3,2260,1554.0,Seattle University District,,,,,,,,,
