Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXSHO201,0,"1,780",2620.0,Sherman Oaks,201,,,,,,,,
LAXSHO201,1,"1,925",2620.0,Sherman Oaks,201,,,,,,,,
LAXSHO201,2,"1,925",2520.0,Sherman Oaks,201,,,,,,,,
LAXSHO201,3,"1,780",2520.0,Sherman Oaks,201,,,,,,,,
LAXSHO202,0,"1,780",2620.0,Sherman Oaks,202,,,,,,,,
LAXSHO202,1,"1,780",2710.0,Sherman Oaks,202,,,,,,,,
LAXSHO202,2,"1,925",2710.0,Sherman Oaks,202,,,,,,,,
LAXSHO202,3,"1,925",2620.0,Sherman Oaks,202,,,,,,,,
LAXSHO203,0,"1,780",2710.0,Sherman Oaks,203,,,,,,,,
LAXSHO203,1,"1,780",2800.0,Sherman Oaks,203,,,,,,,,
LAXSHO203,2,"1,925",2800.0,Sherman Oaks,203,,,,,,,,
LAXSHO203,3,"1,925",2710.0,Sherman Oaks,203,,,,,,,,
LAXSHO204,0,"1,185",2800.0,Sherman Oaks,204,,,,,,,,
LAXSHO204,1,"1,465",2800.0,Sherman Oaks,204,,,,,,,,
LAXSHO204,2,"1,465",2595.0,Sherman Oaks,204,,,,,,,,
LAXSHO204,3,"1,185",2595.0,Sherman Oaks,204,,,,,,,,
LAXSHO205,0,"1,185",2595.0,Sherman Oaks,205,,,,,,,,
LAXSHO205,1,"1,465",2595.0,Sherman Oaks,205,,,,,,,,
LAXSHO205,2,"1,465",2395.0,Sherman Oaks,205,,,,,,,,
LAXSHO205,3,"1,210",2395.0,Sherman Oaks,205,,,,,,,,
LAXSHO205,4,"1,210",2525.0,Sherman Oaks,205,,,,,,,,
LAXSHO205,5,"1,185",2525.0,Sherman Oaks,205,,,,,,,,
LAXSHO206,0,900,3225.0,Sherman Oaks,206,,,,,,,,
LAXSHO206,1,"1,040",3225.0,Sherman Oaks,206,,,,,,,,
LAXSHO206,2,"1,040",2960.0,Sherman Oaks,206,,,,,,,,
LAXSHO206,3,900,2960.0,Sherman Oaks,206,,,,,,,,
LAXSHO207,0,810,2900.0,Sherman Oaks,207,,,,,,,,
LAXSHO207,1,"1,035",2900.0,Sherman Oaks,207,,,,,,,,
LAXSHO207,2,"1,035",2645.0,Sherman Oaks,207,,,,,,,,
LAXSHO207,3,810,2645.0,Sherman Oaks,207,,,,,,,,
LAXSHO208,0,680,3225.0,Sherman Oaks,208,,,,,,,,
LAXSHO208,1,900,3225.0,Sherman Oaks,208,,,,,,,,
LAXSHO208,2,900,2960.0,Sherman Oaks,208,,,,,,,,
