Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
EWRMOR901,0,2295,1327.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR001,0,2467.015625,1053.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR001,1,2467.015625,882.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR001,2,2664.015625,882.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR001,3,2666.015625,1053.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR002,0,2467.015625,882.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR002,1,2467.015625,722.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR002,2,2681.015625,722.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR002,3,2681.015625,881.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR003,0,2467.015625,722.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR003,1,2467.015625,454.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR003,2,2680.015625,454.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR003,3,2681.015625,722.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,0,2467.015625,454.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,1,2467.015625,440.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,2,2421.015625,388.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,3,2356.015625,388.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,4,2356.015625,211.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,5,2544.015625,211.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,6,2544.015625,250.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,7,2640.015625,341.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,8,2679.015625,341.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR004,9,2680.015625,454.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR005,0,2356.015625,388.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR005,1,2060.015625,388.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR005,2,2060.015625,210.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR005,3,2356.015625,211.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,0,2060.015625,388.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,1,1764.515625,388.0,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,2,1764.515625,297.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,3,1724.515625,297.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,4,1724.515625,172.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,5,1844.515625,172.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,6,1844.515625,226.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR006,7,2059.515625,226.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR007,0,2274.515625,688.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR007,1,2418.515625,688.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR007,2,2418.515625,454.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR007,3,2273.515625,454.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR008,0,2274.515625,688.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR008,1,2274.515625,776.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
EWRMOR008,2,2419.515625,775.5,Short Hills - 1200 Morris Turnpike,,,,,,,,,
