Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
STLDTN901,0,1615,809.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN001,0,3179,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN001,1,2461,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN001,2,2461,1651.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN001,3,3180,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN001,4,3180,2005.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN002,0,2461,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN002,1,1952,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN002,2,1952,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN002,3,2461,1651.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN003,0,1952,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN003,1,1676,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN003,2,1678,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN003,3,1952,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN004,0,1676,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN004,1,1398.666626,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN004,2,1398.666626,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN004,3,1678,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN005,0,1398.666626,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN005,1,1116.666687,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN005,2,1116.666687,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN005,3,1398.666626,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN006,0,1116.666687,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN006,1,942.333313,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN006,2,942.333313,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN006,3,1116.666687,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN007,0,942.333313,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN007,1,767.333313,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN007,2,767.333313,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN007,3,942.333313,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN008,0,767.333313,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN008,1,475,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN008,2,475,1746.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN008,3,572,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN008,4,767.333313,1652.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,0,537,1685.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,1,449,1597.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,2,390,1655.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,3,124,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,4,125,1928.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,5,215,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,6,475,2003.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN009,7,475,1746.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,0,124,1653.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,1,124,1364.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,2,488,1364.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,3,488,1570.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,4,456,1604.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,5,449,1597.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN010,6,390,1655.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN011,0,488,1364.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN011,1,490,1185.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN011,2,123,1184.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN011,3,124,1364.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN012,0,490,1185.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN012,1,489,665.333313,St. Louis - 555 Washington,,,,,,,,,
STLDTN012,2,123,667.666687,St. Louis - 555 Washington,,,,,,,,,
STLDTN012,3,123,1184.0,St. Louis - 555 Washington,,,,,,,,,
STLDTN013,0,489,665.333313,St. Louis - 555 Washington,,,,,,,,,
STLDTN013,1,489,372.333374,St. Louis - 555 Washington,,,,,,,,,
STLDTN013,2,282,372.333374,St. Louis - 555 Washington,,,,,,,,,
STLDTN013,3,280,363.333374,St. Louis - 555 Washington,,,,,,,,,
STLDTN013,4,248,363.333374,St. Louis - 555 Washington,,,,,,,,,
