Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TPACEN901,0,1229.555573,1855.77771,St. Petersburg,4,,,,,,,,
TPACEN901,1,1030.555573,1658.77771,St. Petersburg,4,,,,,,,,
TPACEN901,2,1030.555573,1558.77771,St. Petersburg,4,,,,,,,,
TPACEN901,3,1383.555573,1558.77771,St. Petersburg,4,,,,,,,,
TPACEN901,4,1383.555573,1785.77771,St. Petersburg,4,,,,,,,,
TPACEN901,5,1342.555573,1785.77771,St. Petersburg,4,,,,,,,,
TPACEN901,6,1342.555573,1812.77771,St. Petersburg,4,,,,,,,,
TPACEN901,7,1265.555573,1889.77771,St. Petersburg,4,,,,,,,,
TPACEN301,0,1482.555634,2751.888885,St. Petersburg,3,,,,,,,,
TPACEN301,1,1417.555634,2751.888885,St. Petersburg,3,,,,,,,,
TPACEN301,2,1417.555634,2694.888885,St. Petersburg,3,,,,,,,,
TPACEN301,3,1482.555634,2694.888885,St. Petersburg,3,,,,,,,,
TPACEN302,0,1417.555634,2694.888885,St. Petersburg,3,,,,,,,,
TPACEN302,1,1417.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN302,2,1482.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN302,3,1482.555634,2694.888885,St. Petersburg,3,,,,,,,,
TPACEN303,0,1417.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN303,1,1417.555634,2572.888885,St. Petersburg,3,,,,,,,,
TPACEN303,2,1482.555634,2572.888885,St. Petersburg,3,,,,,,,,
TPACEN303,3,1482.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN304,0,1417.555634,2572.888885,St. Petersburg,3,,,,,,,,
TPACEN304,1,1417.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN304,2,1482.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN304,3,1482.555634,2572.888885,St. Petersburg,3,,,,,,,,
TPACEN305,0,1417.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN305,1,1417.555634,2428.888885,St. Petersburg,3,,,,,,,,
TPACEN305,2,1482.555634,2428.888885,St. Petersburg,3,,,,,,,,
TPACEN305,3,1482.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN306,0,1482.555634,2428.888885,St. Petersburg,3,,,,,,,,
TPACEN306,1,1547.555634,2428.888885,St. Petersburg,3,,,,,,,,
TPACEN306,2,1547.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN306,3,1482.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN307,0,1547.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN307,1,1547.555634,2573.888885,St. Petersburg,3,,,,,,,,
TPACEN307,2,1482.555634,2572.888885,St. Petersburg,3,,,,,,,,
TPACEN307,3,1482.555634,2501.888885,St. Petersburg,3,,,,,,,,
TPACEN308,0,1547.555634,2573.888885,St. Petersburg,3,,,,,,,,
TPACEN308,1,1547.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN308,2,1482.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN308,3,1482.555634,2572.888885,St. Petersburg,3,,,,,,,,
TPACEN309,0,1547.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN309,1,1547.555634,2693.888885,St. Petersburg,3,,,,,,,,
TPACEN309,2,1482.555634,2694.888885,St. Petersburg,3,,,,,,,,
TPACEN309,3,1482.555634,2633.888885,St. Petersburg,3,,,,,,,,
TPACEN310,0,1547.555634,2693.888885,St. Petersburg,3,,,,,,,,
TPACEN310,1,1548.555634,2751.888885,St. Petersburg,3,,,,,,,,
TPACEN310,2,1482.555634,2751.888885,St. Petersburg,3,,,,,,,,
TPACEN310,3,1482.555634,2694.888885,St. Petersburg,3,,,,,,,,
TPACEN311,0,1452.555634,2966.888885,St. Petersburg,3,,,,,,,,
TPACEN311,1,1546.555634,2966.888885,St. Petersburg,3,,,,,,,,
TPACEN311,2,1546.555634,2892.888885,St. Petersburg,3,,,,,,,,
TPACEN311,3,1452.555634,2892.888885,St. Petersburg,3,,,,,,,,
TPACEN312,0,1546.555634,2966.888885,St. Petersburg,3,,,,,,,,
TPACEN312,1,1546.555634,3036.0,St. Petersburg,3,,,,,,,,
TPACEN312,2,1464.555634,3036.0,St. Petersburg,3,,,,,,,,
TPACEN312,3,1464.555634,2968.0,St. Petersburg,3,,,,,,,,
TPACEN313,0,1546.555634,3036.0,St. Petersburg,3,,,,,,,,
TPACEN313,1,1546.555634,3114.0,St. Petersburg,3,,,,,,,,
TPACEN313,2,1464.555634,3114.0,St. Petersburg,3,,,,,,,,
TPACEN313,3,1464.555634,3036.0,St. Petersburg,3,,,,,,,,
TPACEN314,0,1464.555634,3114.0,St. Petersburg,3,,,,,,,,
TPACEN314,1,1464.555634,3143.0,St. Petersburg,3,,,,,,,,
TPACEN314,2,1356.555634,3143.0,St. Petersburg,3,,,,,,,,
TPACEN314,3,1356.555634,3238.0,St. Petersburg,3,,,,,,,,
TPACEN314,4,1529.555634,3238.0,St. Petersburg,3,,,,,,,,
TPACEN314,5,1529.555634,3115.0,St. Petersburg,3,,,,,,,,
TPACEN315,0,1529.555634,3238.0,St. Petersburg,3,,,,,,,,
TPACEN315,1,1704.555634,3238.0,St. Petersburg,3,,,,,,,,
TPACEN315,2,1704.555634,3219.0,St. Petersburg,3,,,,,,,,
TPACEN315,3,1723.555634,3219.0,St. Petersburg,3,,,,,,,,
TPACEN315,4,1723.555634,3179.0,St. Petersburg,3,,,,,,,,
TPACEN315,5,1583.555634,3179.0,St. Petersburg,3,,,,,,,,
TPACEN315,6,1583.555634,3149.0,St. Petersburg,3,,,,,,,,
TPACEN315,7,1529.555634,3149.0,St. Petersburg,3,,,,,,,,
TPACEN316,0,1583.555634,3179.0,St. Petersburg,3,,,,,,,,
TPACEN316,1,1583.555634,3115.0,St. Petersburg,3,,,,,,,,
TPACEN316,2,1723.555634,3115.0,St. Petersburg,3,,,,,,,,
TPACEN316,3,1723.555634,3179.0,St. Petersburg,3,,,,,,,,
TPACEN317,0,1583.555634,3115.0,St. Petersburg,3,,,,,,,,
TPACEN317,1,1583.555634,3048.0,St. Petersburg,3,,,,,,,,
TPACEN317,2,1723.555634,3048.0,St. Petersburg,3,,,,,,,,
TPACEN317,3,1723.555634,3115.0,St. Petersburg,3,,,,,,,,
TPACEN318,0,1583.555634,3048.0,St. Petersburg,3,,,,,,,,
TPACEN318,1,1583.555634,2971.0,St. Petersburg,3,,,,,,,,
TPACEN318,2,1723.555634,2971.0,St. Petersburg,3,,,,,,,,
TPACEN318,3,1723.555634,3048.0,St. Petersburg,3,,,,,,,,
TPACEN319,0,1583.555634,2971.0,St. Petersburg,3,,,,,,,,
TPACEN319,1,1583.555634,2868.0,St. Petersburg,3,,,,,,,,
TPACEN319,2,1708.555634,2868.0,St. Petersburg,3,,,,,,,,
TPACEN319,3,1708.555634,2886.0,St. Petersburg,3,,,,,,,,
TPACEN319,4,1723.555634,2886.0,St. Petersburg,3,,,,,,,,
TPACEN319,5,1723.555634,2971.0,St. Petersburg,3,,,,,,,,
TPACEN320,0,1583.555634,2868.0,St. Petersburg,3,,,,,,,,
TPACEN320,1,1583.555634,2712.222229,St. Petersburg,3,,,,,,,,
TPACEN320,2,1682.555634,2712.222229,St. Petersburg,3,,,,,,,,
TPACEN320,3,1683.555634,2869.222229,St. Petersburg,3,,,,,,,,
TPACEN321,0,1583.555634,2712.222229,St. Petersburg,3,,,,,,,,
TPACEN321,1,1583.555634,2622.333313,St. Petersburg,3,,,,,,,,
TPACEN321,2,1682.555634,2621.333313,St. Petersburg,3,,,,,,,,
TPACEN321,3,1682.555634,2712.222229,St. Petersburg,3,,,,,,,,
