Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TPAJAC901,0,1375.3,3011.9,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC001,0,1526.3,3165.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC001,1,1640.1,3165.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC001,2,1640.1,3027.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC001,3,1525.8,3027.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC002,0,1640.1,3027.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC002,1,1739.2,3027.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC002,2,1739.2,3165.3,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC002,3,1640.1,3165.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC003,0,1739.2,3027.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC003,1,1839.5,3027.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC003,2,1840.2,3164.9,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC003,3,1739.2,3165.3,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC004,0,1607.7,2986.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC004,1,1706.2,2986.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC004,2,1706.2,2895.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC004,3,1607.7,2895.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC005,0,1706.2,2986.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC005,1,1770.9,2986.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC005,2,1770.9,2894.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC005,3,1706.2,2895.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC006,0,1770.9,2894.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC006,1,1770.9,2801.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC006,2,1706.2,2801.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC006,3,1706.2,2895.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC007,0,1706.2,2801.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC007,1,1607.1,2801.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC007,2,1607.7,2895.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC007,3,1706.2,2895.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC008,0,1657.3,2757.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC008,1,1771.6,2757.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC008,2,1771.6,2665.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC008,3,1657.9,2665.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC009,0,1771.6,2665.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC009,1,1771.6,2597.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC009,2,1657.3,2597.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC009,3,1657.3,2664.5,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC010,0,1771.6,2597.0,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC010,1,1771.6,2510.8,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC010,2,1656.6,2510.8,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC010,3,1657.3,2597.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC011,0,1818.6,3019.9,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC011,1,1819.8,2870.7,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC011,2,1985.6,2872.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC011,3,1984.9,3021.2,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC012,0,1819.8,2870.7,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC012,1,1819.8,2774.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC012,2,1985.6,2774.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC012,3,1985.6,2872.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC012,4,1819.2,2870.7,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC013,0,1819.8,2774.6,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC013,1,1819.8,2674.9,Tampa - 401 East Jackson,,,,,,,,,
TPAJAC013,2,1984.9,2674.9,Tampa - 401 East Jackson,,,,,,,,,
