Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TPAYBOR901,0,1424.666656,2255.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,1,1424.666656,2454.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,2,1517.666656,2454.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,3,1567.666656,2504.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,4,1909.666656,2504.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,5,1909.666656,2234.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,6,1845.666656,2211.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,7,1724.666656,2210.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR901,8,1598.666656,2257.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR001,0,1424.666656,2255.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR001,1,1265.666656,2255.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR001,2,1265.666656,2318.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR001,3,1425.666656,2318.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR002,0,1265.666656,2255.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR002,1,1174.666656,2255.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR002,2,1151.666656,2273.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR002,3,1151.666656,2318.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR002,4,1265.666656,2318.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR003,0,807.6666565,2287.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR003,1,751.6666565,2287.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR003,2,751.6666565,2211.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR003,3,807.6666565,2211.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR004,0,619.6666565,2342.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR004,1,703.6666565,2342.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR004,2,703.6666565,2251.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR004,3,620.6666565,2252.333313,Tampa Centro Ybor,,,,,,,,,
TPAYBOR005,0,703.6666565,2251.333313,Tampa Centro Ybor,,,,,,,,,
