Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TPASPAR901,0,1239,1644.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR001,0,1222.5,1456.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR001,1,1134.5,1456.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR001,2,1134.5,1356.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR001,3,1222.5,1356.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR002,0,1246.5,1356.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR002,1,1134.5,1356.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR002,2,1116.5,1366.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR002,3,1050.5,1298.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR002,4,1091.5,1254.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR002,5,1247.5,1256.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,0,1247.5,1256.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,1,1247.5,1161.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,2,1075.5,1161.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,3,1075.5,1202.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,4,1014.5,1263.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,5,1050.5,1298.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR003,6,1091.5,1254.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR004,0,1247.5,1161.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR004,1,1247.5,1069.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR004,2,1163.5,1069.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR004,3,1163.5,1160.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR005,0,1014.5,1263.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR005,1,796.5,1043.5,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR005,2,1003.5,1043.5,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR005,3,1003.5,1160.5,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR005,4,1059.5,1216.5,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR006,0,1004.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR006,1,851.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR006,2,851.5,913.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR006,3,1004.5,913.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR007,0,1004.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR007,1,1118.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR007,2,1118.5,926.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR007,3,1004.5,927.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR008,0,1118.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR008,1,1226.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR008,2,1226.5,912.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR008,3,1177.5,912.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR008,4,1178.5,926.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR008,5,1118.5,926.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR009,0,1226.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR009,1,1367.5,1014.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR009,2,1367.5,913.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR009,3,1226.5,912.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR010,0,1276.5,1156.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR010,1,1367.5,1156.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR010,2,1367.5,1068.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR010,3,1276.5,1068.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR011,0,1367.5,1156.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR011,1,1367.5,1270.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR011,2,1276.5,1269.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR011,3,1276.5,1156.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR012,0,1367.5,1270.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR012,1,1367.5,1353.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR012,2,1276.5,1353.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR012,3,1276.5,1269.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR013,0,1467.5,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR013,1,1408.5,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR013,2,1408.5,1086.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR013,3,1468.5,1086.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR014,0,1467.5,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR014,1,1530.5,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR014,2,1530.5,1086.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR014,3,1468.5,1086.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR015,0,1530.5,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR015,1,1591,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR015,2,1591,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR015,3,1530.5,1086.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR016,0,1591,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR016,1,1652,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR016,2,1652,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR016,3,1591,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR017,0,1652,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR017,1,1714,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR017,2,1714,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR017,3,1652,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR018,0,1714,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR018,1,1775,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR018,2,1775,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR018,3,1714,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR019,0,1775,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR019,1,1870,1170.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR019,2,1870,1086.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR019,3,1775,1085.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR020,0,1788.5,1292.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR020,1,1788.5,1199.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR020,2,1920.5,1199.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR020,3,1920.5,1273.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR021,0,1920.5,1199.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR021,1,1969.5,1199.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR021,2,1969.5,1269.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR021,3,1959.5,1269.0,Tampa Sparkman Wharf,,,,,,,,,
TPASPAR021,4,1920.5,1273.0,Tampa Sparkman Wharf,,,,,,,,,
