Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ALIENTE901,0,"1,266",2135.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,0,1570.003906,2617.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,1,1662.003906,2617.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,2,1662.003906,2634.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,3,1907.003906,2636.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,4,1907.003906,2427.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,5,1667.003906,2427.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,6,1667.003906,2316.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,7,1570.003906,2316.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE310,8,1570.003906,2617.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,0,1907.003906,2427.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,1,1907.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,2,2011.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,3,2011.003906,2378.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,4,2070.003906,2378.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,5,2070.003906,2635.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,6,1907.003906,2636.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE315,7,1907.003906,2427.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE320,0,2070.003906,2635.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE320,1,2070.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE320,2,2430.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE320,3,2430.003906,2639.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE320,4,2070.003906,2635.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,0,2430.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,1,2175.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,2,2175.003906,2268.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,3,1983.003906,2268.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,4,1983.003906,1835.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,5,2026.003906,1844.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,6,2090.003906,1860.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,7,2141.003906,1872.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,8,2214.003906,1894.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,9,2279.003906,1915.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,10,2342.003906,1937.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,11,2408.003906,1960.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,12,2432.003906,1975.0,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE325,13,2430.003906,2335.25,Techspace - Aliso Viejo,,,,,,,,,
ALIENTE330,0,1983.003906,2268.0,Techspace - Aliso Viejo,,,,,,,,,
