Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LOSGLE1710,0,608,269.0,Techspace - LA,,,,,,,,,
LOSGLE1710,1,688,269.0,Techspace - LA,,,,,,,,,
LOSGLE1710,2,688,211.0,Techspace - LA,,,,,,,,,
LOSGLE1710,3,608,211.0,Techspace - LA,,,,,,,,,
LOSGLE1713,0,489,372.0,Techspace - LA,,,,,,,,,
LOSGLE1713,1,575,373.0,Techspace - LA,,,,,,,,,
LOSGLE1713,2,575,249.0,Techspace - LA,,,,,,,,,
LOSGLE1713,3,489,249.0,Techspace - LA,,,,,,,,,
LOSGLE1713,4,488,372.0,Techspace - LA,,,,,,,,,
LOSGLE1714,0,489,249.0,Techspace - LA,,,,,,,,,
LOSGLE1714,1,405,249.0,Techspace - LA,,,,,,,,,
LOSGLE1714,2,405,319.0,Techspace - LA,,,,,,,,,
LOSGLE1714,3,489,319.0,Techspace - LA,,,,,,,,,
LOSGLE1715,0,405,249.0,Techspace - LA,,,,,,,,,
LOSGLE1715,1,320,249.0,Techspace - LA,,,,,,,,,
LOSGLE1715,2,320,318.0,Techspace - LA,,,,,,,,,
LOSGLE1715,3,405,319.0,Techspace - LA,,,,,,,,,
LOSGLE1716,0,320,318.0,Techspace - LA,,,,,,,,,
LOSGLE1716,1,235,318.0,Techspace - LA,,,,,,,,,
LOSGLE1716,2,235,373.0,Techspace - LA,,,,,,,,,
LOSGLE1716,3,150,373.0,Techspace - LA,,,,,,,,,
LOSGLE1716,4,150,249.0,Techspace - LA,,,,,,,,,
LOSGLE1716,5,320,249.0,Techspace - LA,,,,,,,,,
LOSGLE1719,0,28,210.0,Techspace - LA,,,,,,,,,
LOSGLE1719,1,28,273.0,Techspace - LA,,,,,,,,,
LOSGLE1719,2,84,273.0,Techspace - LA,,,,,,,,,
LOSGLE1719,3,121,224.0,Techspace - LA,,,,,,,,,
LOSGLE1719,4,121,210.0,Techspace - LA,,,,,,,,,
LOSGLE1720,0,84,273.0,Techspace - LA,,,,,,,,,
