Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUSSAN901,0,2013,707.0,Techspace- Austin,,,,,,,,,
AUSSAN401,0,1463,881.0,Techspace- Austin,,,,,,,,,
AUSSAN401,1,1842,881.0,Techspace- Austin,,,,,,,,,
AUSSAN401,2,1841,612.0,Techspace- Austin,,,,,,,,,
AUSSAN401,3,1464,608.0,Techspace- Austin,,,,,,,,,
AUSSAN402,0,1463,881.0,Techspace- Austin,,,,,,,,,
AUSSAN402,1,1047,881.0,Techspace- Austin,,,,,,,,,
AUSSAN402,2,1047,612.0,Techspace- Austin,,,,,,,,,
AUSSAN402,3,1464,608.0,Techspace- Austin,,,,,,,,,
AUSSAN403,0,1188,981.0,Techspace- Austin,,,,,,,,,
AUSSAN403,1,1048,981.0,Techspace- Austin,,,,,,,,,
AUSSAN403,2,1048,1152.0,Techspace- Austin,,,,,,,,,
AUSSAN403,3,1190,1152.0,Techspace- Austin,,,,,,,,,
AUSSAN404,0,1047,917.0,Techspace- Austin,,,,,,,,,
AUSSAN404,1,710,917.0,Techspace- Austin,,,,,,,,,
AUSSAN404,2,710,672.0,Techspace- Austin,,,,,,,,,
AUSSAN404,3,1050,672.0,Techspace- Austin,,,,,,,,,
AUSSAN405,0,708,880.0,Techspace- Austin,,,,,,,,,
AUSSAN405,1,576,880.0,Techspace- Austin,,,,,,,,,
AUSSAN405,2,576,736.0,Techspace- Austin,,,,,,,,,
AUSSAN405,3,707,736.0,Techspace- Austin,,,,,,,,,
AUSSAN406,0,576,880.0,Techspace- Austin,,,,,,,,,
AUSSAN406,1,434,880.0,Techspace- Austin,,,,,,,,,
AUSSAN406,2,434,735.0,Techspace- Austin,,,,,,,,,
AUSSAN406,3,576,736.0,Techspace- Austin,,,,,,,,,
AUSSAN407,0,434,880.0,Techspace- Austin,,,,,,,,,
AUSSAN407,1,288,880.0,Techspace- Austin,,,,,,,,,
AUSSAN407,2,288,733.0,Techspace- Austin,,,,,,,,,
AUSSAN407,3,434,735.0,Techspace- Austin,,,,,,,,,
AUSSAN408,0,459,981.0,Techspace- Austin,,,,,,,,,
AUSSAN408,1,459,1108.0,Techspace- Austin,,,,,,,,,
AUSSAN408,2,292,1108.0,Techspace- Austin,,,,,,,,,
AUSSAN408,3,293,982.0,Techspace- Austin,,,,,,,,,
AUSSAN409,0,292,1108.0,Techspace- Austin,,,,,,,,,
AUSSAN409,1,292,1232.0,Techspace- Austin,,,,,,,,,
AUSSAN409,2,479,1232.0,Techspace- Austin,,,,,,,,,
AUSSAN409,3,479,1108.0,Techspace- Austin,,,,,,,,,
AUSSAN410,0,479,1232.0,Techspace- Austin,,,,,,,,,
AUSSAN410,1,479,1367.0,Techspace- Austin,,,,,,,,,
AUSSAN410,2,293,1366.0,Techspace- Austin,,,,,,,,,
AUSSAN410,3,292,1232.0,Techspace- Austin,,,,,,,,,
AUSSAN411,0,459,1369.0,Techspace- Austin,,,,,,,,,
