Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ARLBAL901,0,1121,740.0,Techspace- Ballston,,,,,,,,,
ARLBAL801,0,1516,753.0,Techspace- Ballston,,,,,,,,,
ARLBAL801,1,1826,728.0,Techspace- Ballston,,,,,,,,,
ARLBAL801,2,1800,387.0,Techspace- Ballston,,,,,,,,,
ARLBAL801,3,1490,415.0,Techspace- Ballston,,,,,,,,,
ARLBAL802,0,1826,728.0,Techspace- Ballston,,,,,,,,,
ARLBAL802,1,2024,716.0,Techspace- Ballston,,,,,,,,,
ARLBAL802,2,2011,557.0,Techspace- Ballston,,,,,,,,,
ARLBAL802,3,2121,549.0,Techspace- Ballston,,,,,,,,,
ARLBAL802,4,2108,365.0,Techspace- Ballston,,,,,,,,,
ARLBAL802,5,1800,387.0,Techspace- Ballston,,,,,,,,,
ARLBAL803,0,2024,716.0,Techspace- Ballston,,,,,,,,,
ARLBAL803,1,2329,690.0,Techspace- Ballston,,,,,,,,,
ARLBAL803,2,2307,347.0,Techspace- Ballston,,,,,,,,,
ARLBAL803,3,2108,365.0,Techspace- Ballston,,,,,,,,,
ARLBAL803,4,2121,549.0,Techspace- Ballston,,,,,,,,,
ARLBAL803,5,2011,557.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,0,2329,690.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,1,2478,677.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,2,2478,644.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,3,2610,634.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,4,2610,718.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,5,2921,718.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,6,2921,301.0,Techspace- Ballston,,,,,,,,,
ARLBAL804,7,2307,347.0,Techspace- Ballston,,,,,,,,,
ARLBAL805,0,2610,718.0,Techspace- Ballston,,,,,,,,,
ARLBAL805,1,2610,926.0,Techspace- Ballston,,,,,,,,,
ARLBAL805,2,2760,926.0,Techspace- Ballston,,,,,,,,,
ARLBAL805,3,2760,1025.0,Techspace- Ballston,,,,,,,,,
ARLBAL805,4,2919,1025.0,Techspace- Ballston,,,,,,,,,
ARLBAL805,5,2921,718.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,0,2919,1025.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,1,2919,1179.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,2,2610,1179.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,3,2610,1028.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,4,2583,1028.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,5,2583,925.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,6,2760,926.0,Techspace- Ballston,,,,,,,,,
ARLBAL806,7,2760,1025.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,0,2919,1179.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,1,2919,1333.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,2,2758,1333.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,3,2758,1437.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,4,2586,1437.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,5,2586,1331.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,6,2610,1331.0,Techspace- Ballston,,,,,,,,,
ARLBAL807,7,2610,1179.0,Techspace- Ballston,,,,,,,,,
ARLBAL808,0,2919,1333.0,Techspace- Ballston,,,,,,,,,
ARLBAL808,1,2919,1643.0,Techspace- Ballston,,,,,,,,,
ARLBAL808,2,2610,1643.0,Techspace- Ballston,,,,,,,,,
ARLBAL808,3,2610,1438.0,Techspace- Ballston,,,,,,,,,
ARLBAL808,4,2758,1437.0,Techspace- Ballston,,,,,,,,,
ARLBAL808,5,2758,1333.0,Techspace- Ballston,,,,,,,,,
ARLBAL809,0,2919,1643.0,Techspace- Ballston,,,,,,,,,
ARLBAL809,1,2919,1805.0,Techspace- Ballston,,,,,,,,,
ARLBAL809,2,2750,1805.0,Techspace- Ballston,,,,,,,,,
ARLBAL809,3,2750,1644.0,Techspace- Ballston,,,,,,,,,
ARLBAL810,0,2750,1805.0,Techspace- Ballston,,,,,,,,,
ARLBAL810,1,2587,1805.0,Techspace- Ballston,,,,,,,,,
ARLBAL810,2,2587,1644.0,Techspace- Ballston,,,,,,,,,
ARLBAL810,3,2750,1644.0,Techspace- Ballston,,,,,,,,,
ARLBAL811,0,2183,915.0,Techspace- Ballston,,,,,,,,,
ARLBAL811,1,2338,915.0,Techspace- Ballston,,,,,,,,,
ARLBAL811,2,2338,786.0,Techspace- Ballston,,,,,,,,,
ARLBAL811,3,2182,801.0,Techspace- Ballston,,,,,,,,,
ARLBAL812,0,2338,786.0,Techspace- Ballston,,,,,,,,,
ARLBAL812,1,2480,773.0,Techspace- Ballston,,,,,,,,,
ARLBAL812,2,2480,916.0,Techspace- Ballston,,,,,,,,,
ARLBAL812,3,2338,915.0,Techspace- Ballston,,,,,,,,,
ARLBAL813,0,2579,1903.0,Techspace- Ballston,,,,,,,,,
ARLBAL813,1,2920,1903.0,Techspace- Ballston,,,,,,,,,
ARLBAL813,2,2920,2224.0,Techspace- Ballston,,,,,,,,,
ARLBAL813,3,2579,2224.0,Techspace- Ballston,,,,,,,,,
ARLBAL814,0,2579,1903.0,Techspace- Ballston,,,,,,,,,
ARLBAL814,1,2246,1903.0,Techspace- Ballston,,,,,,,,,
ARLBAL814,2,2246,2222.0,Techspace- Ballston,,,,,,,,,
ARLBAL814,3,2579,2224.0,Techspace- Ballston,,,,,,,,,
ARLBAL815,0,2246,1903.0,Techspace- Ballston,,,,,,,,,
ARLBAL815,1,2031,1903.0,Techspace- Ballston,,,,,,,,,
ARLBAL815,2,2031,2061.0,Techspace- Ballston,,,,,,,,,
ARLBAL815,3,1928,2061.0,Techspace- Ballston,,,,,,,,,
ARLBAL815,4,1928,2222.0,Techspace- Ballston,,,,,,,,,
