Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
COSBRI901,0,2863,1237.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI500,0,1341,934.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI500,1,1053,934.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI500,2,1053,821.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI500,3,1342,821.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI501,0,1342,821.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI501,1,1342,549.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI501,2,1084,549.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI501,3,1084,819.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI502,0,1084,549.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI502,1,976,549.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI502,2,976,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI502,3,1084,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI503,0,976,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI503,1,868,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI503,2,868,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI503,3,976,549.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI504,0,868,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI504,1,760,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI504,2,760,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI504,3,868,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI505,0,760,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI505,1,542,706.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI505,2,542,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI505,3,760,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI506,0,542,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI506,1,392,548.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI506,2,392,819.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI506,3,544,819.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI507,0,392,819.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI507,1,392,933.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI507,2,542,933.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI507,3,544,819.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI508,0,608,919.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI508,1,608,1023.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI508,2,768,1023.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI508,3,768,919.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI509,0,542,933.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI509,1,542,1047.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI509,2,393,1047.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI509,3,392,933.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI510,0,768,1023.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI510,1,768,1130.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI510,2,608,1130.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI510,3,608,1023.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI511,0,542,1047.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI511,1,542,1160.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI511,2,390,1160.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI511,3,393,1047.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI512,0,608,1130.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI512,1,608,1233.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI512,2,766,1233.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI512,3,768,1130.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI513,0,542,1160.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI513,1,542,1275.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI513,2,391,1275.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI513,3,390,1160.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI514,0,542,1275.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI514,1,542,1392.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI514,2,392,1392.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI514,3,391,1275.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI515,0,392,1392.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI515,1,392,1504.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI515,2,678,1504.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI515,3,678,1390.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI516,0,678,1504.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI516,1,678,1735.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI516,2,391,1735.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI516,3,392,1504.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI517,0,391,1735.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI517,1,391,2001.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI517,2,650,2001.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI517,3,650,1734.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI518,0,650,2001.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI518,1,758,2001.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI518,2,758,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI518,3,651,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI519,0,758,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI519,1,868,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI519,2,868,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI519,3,758,2001.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI520,0,868,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI520,1,978,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI520,2,978,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI520,3,868,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI521,0,978,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI521,1,1084,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI521,2,1084,1847.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI521,3,978,1845.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI522,0,1084,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI522,1,1342,2004.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI522,2,1342,1733.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI522,3,1053,1733.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI522,4,1053,1846.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI522,5,1084,1847.0,Techspace- Costa Mesa,,,,,,,,,
COSBRI523,0,1053,1733.0,Techspace- Costa Mesa,,,,,,,,,
