Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
HOUCIT901,0,2151,2498.0,Techspace- Houston,,,,,,,,,
HOUCIT101,0,1313,2707.0,Techspace- Houston,,,,,,,,,
HOUCIT101,1,1400,2707.0,Techspace- Houston,,,,,,,,,
HOUCIT101,2,1400,2580.0,Techspace- Houston,,,,,,,,,
HOUCIT101,3,1313,2580.0,Techspace- Houston,,,,,,,,,
HOUCIT102,0,1404.015625,2758.0,Techspace- Houston,,,,,,,,,
HOUCIT102,1,1498,2760.0,Techspace- Houston,,,,,,,,,
HOUCIT102,2,1498,2837.0,Techspace- Houston,,,,,,,,,
HOUCIT102,3,1402,2837.0,Techspace- Houston,,,,,,,,,
HOUCIT102,4,1402.015625,2761.0,Techspace- Houston,,,,,,,,,
HOUCIT103,0,1402,2837.0,Techspace- Houston,,,,,,,,,
HOUCIT103,1,1402,2911.0,Techspace- Houston,,,,,,,,,
HOUCIT103,2,1497.015625,2911.0,Techspace- Houston,,,,,,,,,
HOUCIT103,3,1498,2837.0,Techspace- Houston,,,,,,,,,
HOUCIT104,0,1400,2707.0,Techspace- Houston,,,,,,,,,
HOUCIT104,1,1490.515625,2707.0,Techspace- Houston,,,,,,,,,
HOUCIT104,2,1490.515625,2582.0,Techspace- Houston,,,,,,,,,
HOUCIT104,3,1400,2580.0,Techspace- Houston,,,,,,,,,
HOUCIT105,0,1490.515625,2707.0,Techspace- Houston,,,,,,,,,
HOUCIT105,1,1579.515625,2707.0,Techspace- Houston,,,,,,,,,
HOUCIT105,2,1579.515625,2581.0,Techspace- Houston,,,,,,,,,
HOUCIT105,3,1490.515625,2582.0,Techspace- Houston,,,,,,,,,
HOUCIT106,0,1498,2915.0,Techspace- Houston,,,,,,,,,
HOUCIT106,1,1497,2765.0,Techspace- Houston,,,,,,,,,
HOUCIT106,2,1966,2764.0,Techspace- Houston,,,,,,,,,
HOUCIT106,3,1964,2814.0,Techspace- Houston,,,,,,,,,
HOUCIT106,4,1923,2813.0,Techspace- Houston,,,,,,,,,
HOUCIT106,5,1918,2914.0,Techspace- Houston,,,,,,,,,
HOUCIT107,0,1706.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT107,1,1794.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT107,2,1794.515625,2579.0,Techspace- Houston,,,,,,,,,
HOUCIT107,3,1705.515625,2579.0,Techspace- Houston,,,,,,,,,
HOUCIT109,0,1794.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT109,1,1885.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT109,2,1885.515625,2578.0,Techspace- Houston,,,,,,,,,
HOUCIT109,3,1794.515625,2579.0,Techspace- Houston,,,,,,,,,
HOUCIT110,0,1885.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT110,1,1975.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT110,2,1975.515625,2578.0,Techspace- Houston,,,,,,,,,
HOUCIT110,3,1885.515625,2578.0,Techspace- Houston,,,,,,,,,
HOUCIT111,0,1964.515625,2760.0,Techspace- Houston,,,,,,,,,
HOUCIT111,1,2222.515625,2760.0,Techspace- Houston,,,,,,,,,
HOUCIT111,2,2223.515625,2907.0,Techspace- Houston,,,,,,,,,
HOUCIT111,3,1919.515625,2909.0,Techspace- Houston,,,,,,,,,
HOUCIT111,4,1919.515625,2815.0,Techspace- Houston,,,,,,,,,
HOUCIT111,5,1964.515625,2815.0,Techspace- Houston,,,,,,,,,
HOUCIT112,0,1975.515625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT112,1,2063.015625,2708.0,Techspace- Houston,,,,,,,,,
HOUCIT112,2,2063.015625,2657.0,Techspace- Houston,,,,,,,,,
HOUCIT112,3,1977.015625,2657.0,Techspace- Houston,,,,,,,,,
HOUCIT113,0,2063.015625,2657.0,Techspace- Houston,,,,,,,,,
HOUCIT113,1,2063.015625,2604.0,Techspace- Houston,,,,,,,,,
HOUCIT113,2,1976.015625,2604.0,Techspace- Houston,,,,,,,,,
HOUCIT113,3,1977.015625,2657.0,Techspace- Houston,,,,,,,,,
HOUCIT114,0,2063.015625,2604.0,Techspace- Houston,,,,,,,,,
HOUCIT114,1,2063.015625,2550.0,Techspace- Houston,,,,,,,,,
HOUCIT114,2,1974.015625,2550.0,Techspace- Houston,,,,,,,,,
HOUCIT114,3,1976.015625,2604.0,Techspace- Houston,,,,,,,,,
HOUCIT115,0,1794.515625,2579.0,Techspace- Houston,,,,,,,,,
HOUCIT115,1,1794.515625,2383.5,Techspace- Houston,,,,,,,,,
