Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MANEA901,0,2810,1127.0,Techspace- NYC,,,,,,,,,
MANEAS001,0,3078.666626,909.333374,Techspace- NYC,,,,,,,,,
MANEAS001,1,3078.666626,853.333374,Techspace- NYC,,,,,,,,,
MANEAS001,2,2836.666626,829.333374,Techspace- NYC,,,,,,,,,
MANEAS001,3,2836.666626,907.444458,Techspace- NYC,,,,,,,,,
MANEAS001,4,2861.121613,939.444458,Techspace- NYC,,,,,,,,,
MANEAS001,5,2870.121613,964.444458,Techspace- NYC,,,,,,,,,
MANEAS001,6,2921.121613,943.444458,Techspace- NYC,,,,,,,,,
MANEAS001,7,2990.121613,923.444458,Techspace- NYC,,,,,,,,,
MANEAS001,8,3044.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS002,0,2836.666626,907.444458,Techspace- NYC,,,,,,,,,
MANEAS002,1,2808.121613,919.444458,Techspace- NYC,,,,,,,,,
MANEAS002,2,2809.121613,929.444458,Techspace- NYC,,,,,,,,,
MANEAS002,3,2705.121613,929.444458,Techspace- NYC,,,,,,,,,
MANEAS002,4,2706.121613,823.444458,Techspace- NYC,,,,,,,,,
MANEAS002,5,2836.666626,829.333374,Techspace- NYC,,,,,,,,,
MANEAS003,0,2809.121613,929.444458,Techspace- NYC,,,,,,,,,
MANEAS003,1,2813.121613,958.444458,Techspace- NYC,,,,,,,,,
MANEAS003,2,2832.121613,984.444458,Techspace- NYC,,,,,,,,,
MANEAS003,3,2803.121613,1001.444458,Techspace- NYC,,,,,,,,,
MANEAS003,4,2775.121613,1018.444458,Techspace- NYC,,,,,,,,,
MANEAS003,5,2751.121613,1036.444458,Techspace- NYC,,,,,,,,,
MANEAS003,6,2742.121613,1044.444458,Techspace- NYC,,,,,,,,,
MANEAS003,7,2704.121613,1044.444458,Techspace- NYC,,,,,,,,,
MANEAS003,8,2705.121613,929.444458,Techspace- NYC,,,,,,,,,
MANEAS004,0,2706.121613,823.444458,Techspace- NYC,,,,,,,,,
MANEAS004,1,2527.121613,810.444458,Techspace- NYC,,,,,,,,,
MANEAS004,2,2527.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS004,3,2704.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS005,0,2704.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS005,1,2704.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS005,2,2637.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS005,3,2637.121613,912.444458,Techspace- NYC,,,,,,,,,
MANEAS006,0,2637.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS006,1,2637.121613,1032.444458,Techspace- NYC,,,,,,,,,
MANEAS006,2,2704.121613,1032.444458,Techspace- NYC,,,,,,,,,
MANEAS006,3,2704.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS007,0,2535.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS007,1,2535.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS007,2,2600.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS007,3,2600.121613,914.444458,Techspace- NYC,,,,,,,,,
MANEAS008,0,2600.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS008,1,2600.121613,1032.444458,Techspace- NYC,,,,,,,,,
MANEAS008,2,2535.121613,1032.444458,Techspace- NYC,,,,,,,,,
MANEAS008,3,2535.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS009,0,2527.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS009,1,2471.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS009,2,2471.121613,878.444458,Techspace- NYC,,,,,,,,,
MANEAS009,3,2447.121613,878.444458,Techspace- NYC,,,,,,,,,
MANEAS009,4,2447.121613,802.444458,Techspace- NYC,,,,,,,,,
MANEAS009,5,2527.121613,810.444458,Techspace- NYC,,,,,,,,,
MANEAS010,0,2471.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS010,1,2471.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS010,2,2535.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS010,3,2535.121613,913.444458,Techspace- NYC,,,,,,,,,
MANEAS011,0,2471.121613,974.444458,Techspace- NYC,,,,,,,,,
MANEAS011,1,2471.121613,1033.444458,Techspace- NYC,,,,,,,,,
