Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PXHMIL901,0,1650,1793.0,Tempe,,,,,,,,,
PHXMIL001,0,1361.015625,1819.0,Tempe,,,,,,,,,
PHXMIL001,1,1201.015625,1819.0,Tempe,,,,,,,,,
PHXMIL001,2,1201.015625,2054.0,Tempe,,,,,,,,,
PHXMIL001,3,1257.015625,2057.0,Tempe,,,,,,,,,
PHXMIL001,4,1311.015625,2060.0,Tempe,,,,,,,,,
PHXMIL001,5,1362.015625,2062.0,Tempe,,,,,,,,,
PHXMIL002,0,1201.015625,1819.0,Tempe,,,,,,,,,
PHXMIL002,1,1019.515625,1819.0,Tempe,,,,,,,,,
PHXMIL002,2,1019.515625,2036.0,Tempe,,,,,,,,,
PHXMIL002,3,1076.515625,2042.0,Tempe,,,,,,,,,
PHXMIL002,4,1142.515625,2048.0,Tempe,,,,,,,,,
PHXMIL002,5,1201.015625,2054.0,Tempe,,,,,,,,,
PHXMIL003,0,1019.515625,1819.0,Tempe,,,,,,,,,
PHXMIL003,1,793.515625,1818.0,Tempe,,,,,,,,,
PHXMIL003,2,792.515625,2007.0,Tempe,,,,,,,,,
PHXMIL003,3,855.515625,2018.0,Tempe,,,,,,,,,
PHXMIL003,4,917.515625,2025.0,Tempe,,,,,,,,,
PHXMIL003,5,980.515625,2030.0,Tempe,,,,,,,,,
PHXMIL003,6,1019.515625,2036.0,Tempe,,,,,,,,,
PHXMIL004,0,566.515625,1821.0,Tempe,,,,,,,,,
PHXMIL004,1,565.515625,1969.0,Tempe,,,,,,,,,
PHXMIL004,2,621.515625,1979.0,Tempe,,,,,,,,,
PHXMIL004,3,679.515625,1989.0,Tempe,,,,,,,,,
PHXMIL004,4,745.515625,2000.0,Tempe,,,,,,,,,
PHXMIL004,5,792.515625,2007.0,Tempe,,,,,,,,,
PHXMIL004,6,793.515625,1818.0,Tempe,,,,,,,,,
PHXMIL005,0,566.515625,1821.0,Tempe,,,,,,,,,
PHXMIL005,1,359.515625,1821.0,Tempe,,,,,,,,,
PHXMIL005,2,359.515625,1927.0,Tempe,,,,,,,,,
PHXMIL005,3,442.515625,1945.0,Tempe,,,,,,,,,
PHXMIL005,4,505.515625,1958.0,Tempe,,,,,,,,,
PHXMIL005,5,565.515625,1969.0,Tempe,,,,,,,,,
PHXMIL006,0,359.515625,1927.0,Tempe,,,,,,,,,
PHXMIL006,1,139.015625,1867.5,Tempe,,,,,,,,,
PHXMIL006,2,139.015625,1765.5,Tempe,,,,,,,,,
PHXMIL006,3,358.015625,1763.5,Tempe,,,,,,,,,
PHXMIL007,0,358.015625,1763.5,Tempe,,,,,,,,,
PHXMIL007,1,358.015625,1649.5,Tempe,,,,,,,,,
PHXMIL007,2,139.015625,1649.5,Tempe,,,,,,,,,
PHXMIL007,3,139.015625,1765.5,Tempe,,,,,,,,,
PHXMIL008,0,358.015625,1649.5,Tempe,,,,,,,,,
PHXMIL008,1,358.015625,1478.5,Tempe,,,,,,,,,
PHXMIL008,2,139.015625,1479.5,Tempe,,,,,,,,,
PHXMIL008,3,139.015625,1649.5,Tempe,,,,,,,,,
PHXMIL009,0,358.015625,1478.5,Tempe,,,,,,,,,
PHXMIL009,1,358.015625,1308.0,Tempe,,,,,,,,,
PHXMIL009,2,140.015625,1308.0,Tempe,,,,,,,,,
