Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASHOM001,0,1072,870.0,The Homer Building UPDATED,1,,,,,,,,
WASHOM001,1,1233,869.0,The Homer Building UPDATED,1,,,,,,,,
WASHOM001,2,1235,730.0,The Homer Building UPDATED,1,,,,,,,,
WASHOM001,3,1073,728.0,The Homer Building UPDATED,1,,,,,,,,
WASHOM002,0,1290,770.0,The Homer Building UPDATED,2,,,,,,,,
WASHOM002,1,1290,643.0,The Homer Building UPDATED,2,,,,,,,,
WASHOM002,2,1407,643.0,The Homer Building UPDATED,2,,,,,,,,
WASHOM002,3,1407,769.0,The Homer Building UPDATED,2,,,,,,,,
WASHOM003,0,1073,728.0,The Homer Building UPDATED,3,,,,,,,,
WASHOM003,1,1072,641.0,The Homer Building UPDATED,3,,,,,,,,
WASHOM003,2,1235,645.0,The Homer Building UPDATED,3,,,,,,,,
WASHOM003,3,1235,731.0,The Homer Building UPDATED,3,,,,,,,,
WASHOM004,0,1290,643.0,The Homer Building UPDATED,4,,,,,,,,
WASHOM004,1,1771,642.0,The Homer Building UPDATED,4,,,,,,,,
WASHOM004,2,1774,283.0,The Homer Building UPDATED,4,,,,,,,,
WASHOM004,3,1285,285.0,The Homer Building UPDATED,4,,,,,,,,
WASHOM005,0,1072,641.0,The Homer Building UPDATED,5,,,,,,,,
WASHOM005,1,1070,519.0,The Homer Building UPDATED,5,,,,,,,,
WASHOM005,2,1235,519.0,The Homer Building UPDATED,5,,,,,,,,
WASHOM005,3,1235,645.0,The Homer Building UPDATED,5,,,,,,,,
WASHOM006,0,1057,466.0,The Homer Building UPDATED,6,,,,,,,,
WASHOM006,1,1286,466.0,The Homer Building UPDATED,6,,,,,,,,
WASHOM006,2,1285,285.0,The Homer Building UPDATED,6,,,,,,,,
WASHOM006,3,1057,281.0,The Homer Building UPDATED,6,,,,,,,,
WASHOM007,0,849,465.0,The Homer Building UPDATED,7,,,,,,,,
WASHOM007,1,1057,466.0,The Homer Building UPDATED,7,,,,,,,,
WASHOM007,2,1058,266.0,The Homer Building UPDATED,7,,,,,,,,
WASHOM007,3,852,266.0,The Homer Building UPDATED,7,,,,,,,,
WASHOM008,0,944,870.0,The Homer Building UPDATED,8,,,,,,,,
WASHOM008,1,1072,870.0,The Homer Building UPDATED,8,,,,,,,,
WASHOM008,2,1072,796.0,The Homer Building UPDATED,8,,,,,,,,
WASHOM008,3,944,796.0,The Homer Building UPDATED,8,,,,,,,,
WASHOM009,0,944,796.0,The Homer Building UPDATED,9,,,,,,,,
WASHOM009,1,943,705.0,The Homer Building UPDATED,9,,,,,,,,
WASHOM009,2,1071,703.0,The Homer Building UPDATED,9,,,,,,,,
WASHOM009,3,1072,796.0,The Homer Building UPDATED,9,,,,,,,,
WASHOM010,0,944,701.0,The Homer Building UPDATED,10,,,,,,,,
WASHOM010,1,1071,703.0,The Homer Building UPDATED,10,,,,,,,,
WASHOM010,2,1070,609.0,The Homer Building UPDATED,10,,,,,,,,
WASHOM010,3,944,608.0,The Homer Building UPDATED,10,,,,,,,,
WASHOM011,0,944,608.0,The Homer Building UPDATED,11,,,,,,,,
WASHOM011,1,943,520.0,The Homer Building UPDATED,11,,,,,,,,
WASHOM011,2,1070,519.0,The Homer Building UPDATED,11,,,,,,,,
WASHOM011,3,1070,609.0,The Homer Building UPDATED,11,,,,,,,,
WASHOM012,0,719,682.0,The Homer Building UPDATED,12,,,,,,,,
WASHOM012,1,820,682.0,The Homer Building UPDATED,12,,,,,,,,
WASHOM012,2,821,518.0,The Homer Building UPDATED,12,,,,,,,,
WASHOM012,3,719,517.0,The Homer Building UPDATED,12,,,,,,,,
WASHOM013,0,597,464.0,The Homer Building UPDATED,13,,,,,,,,
WASHOM013,1,849,465.0,The Homer Building UPDATED,13,,,,,,,,
WASHOM013,2,852,266.0,The Homer Building UPDATED,13,,,,,,,,
WASHOM013,3,599,266.0,The Homer Building UPDATED,13,,,,,,,,
WASHOM014,0,617,682.0,The Homer Building UPDATED,14,,,,,,,,
WASHOM014,1,719,682.0,The Homer Building UPDATED,14,,,,,,,,
WASHOM014,2,719,517.0,The Homer Building UPDATED,14,,,,,,,,
WASHOM014,3,616,518.0,The Homer Building UPDATED,14,,,,,,,,
WASHOM015,0,597,464.0,The Homer Building UPDATED,15,,,,,,,,
WASHOM015,1,342,464.0,The Homer Building UPDATED,15,,,,,,,,
WASHOM015,2,345,269.0,The Homer Building UPDATED,15,,,,,,,,
WASHOM015,3,599,266.0,The Homer Building UPDATED,15,,,,,,,,
WASHOM016,0,492,685.0,The Homer Building UPDATED,16,,,,,,,,
WASHOM016,1,617,682.0,The Homer Building UPDATED,16,,,,,,,,
WASHOM016,2,616,518.0,The Homer Building UPDATED,16,,,,,,,,
WASHOM016,3,495,517.0,The Homer Building UPDATED,16,,,,,,,,
WASHOM017,0,128,467.0,The Homer Building UPDATED,17,,,,,,,,
WASHOM017,1,342,464.0,The Homer Building UPDATED,17,,,,,,,,
WASHOM017,2,345,269.0,The Homer Building UPDATED,17,,,,,,,,
WASHOM017,3,128,269.0,The Homer Building UPDATED,17,,,,,,,,
WASHOM018,0,385,599.0,The Homer Building UPDATED,18,,,,,,,,
WASHOM018,1,490,599.0,The Homer Building UPDATED,18,,,,,,,,
WASHOM018,2,493,518.0,The Homer Building UPDATED,18,,,,,,,,
WASHOM018,3,384,516.0,The Homer Building UPDATED,18,,,,,,,,
WASHOM019,0,288,465.0,The Homer Building UPDATED,19,,,,,,,,
WASHOM019,1,289,522.0,The Homer Building UPDATED,19,,,,,,,,
WASHOM019,2,330,521.0,The Homer Building UPDATED,19,,,,,,,,
WASHOM019,3,328,721.0,The Homer Building UPDATED,19,,,,,,,,
WASHOM019,4,128,721.0,The Homer Building UPDATED,19,,,,,,,,
WASHOM019,5,128,467.0,The Homer Building UPDATED,19,,,,,,,,
WASHOM020,0,383,682.0,The Homer Building UPDATED,20,,,,,,,,
WASHOM020,1,492,685.0,The Homer Building UPDATED,20,,,,,,,,
WASHOM020,2,490,599.0,The Homer Building UPDATED,20,,,,,,,,
WASHOM020,3,385,599.0,The Homer Building UPDATED,20,,,,,,,,
WASHOM021,0,130,929.0,The Homer Building UPDATED,21,,,,,,,,
WASHOM021,1,330,928.0,The Homer Building UPDATED,21,,,,,,,,
WASHOM021,2,328,721.0,The Homer Building UPDATED,21,,,,,,,,
WASHOM021,3,128,721.0,The Homer Building UPDATED,21,,,,,,,,
