Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
INDSTU001,0,2007,1166.0,The Stutz,1,,,,,,,,
INDSTU001,1,2009,946.0,The Stutz,1,,,,,,,,
INDSTU001,2,2273,945.0,The Stutz,1,,,,,,,,
INDSTU001,3,2274,1170.0,The Stutz,1,,,,,,,,
INDSTU002,0,1688,871.0,The Stutz,2,,,,,,,,
INDSTU002,1,1788,872.0,The Stutz,2,,,,,,,,
INDSTU002,2,1787,768.0,The Stutz,2,,,,,,,,
INDSTU002,3,1689,768.0,The Stutz,2,,,,,,,,
INDSTU003,0,2274,1170.0,The Stutz,3,,,,,,,,
INDSTU003,1,2507,1169.0,The Stutz,3,,,,,,,,
INDSTU003,2,2509,946.0,The Stutz,3,,,,,,,,
INDSTU003,3,2273,945.0,The Stutz,3,,,,,,,,
INDSTU004,0,1790,765.0,The Stutz,4,,,,,,,,
INDSTU004,1,1789,871.0,The Stutz,4,,,,,,,,
INDSTU004,2,1899,870.0,The Stutz,4,,,,,,,,
INDSTU004,3,1900,765.0,The Stutz,4,,,,,,,,
INDSTU005,0,2346,943.0,The Stutz,5,,,,,,,,
INDSTU005,1,2509,946.0,The Stutz,5,,,,,,,,
INDSTU005,2,2508,803.0,The Stutz,5,,,,,,,,
INDSTU005,3,2347,801.0,The Stutz,5,,,,,,,,
INDSTU006,0,1899,870.0,The Stutz,6,,,,,,,,
INDSTU006,1,2009,871.0,The Stutz,6,,,,,,,,
INDSTU006,2,2008,767.0,The Stutz,6,,,,,,,,
INDSTU006,3,1900,765.0,The Stutz,6,,,,,,,,
INDSTU007,0,2347,801.0,The Stutz,7,,,,,,,,
INDSTU007,1,2508,803.0,The Stutz,7,,,,,,,,
INDSTU007,2,2507,628.0,The Stutz,7,,,,,,,,
INDSTU007,3,2345,627.0,The Stutz,7,,,,,,,,
INDSTU008,0,2009,871.0,The Stutz,8,,,,,,,,
INDSTU008,1,2117,871.0,The Stutz,8,,,,,,,,
INDSTU008,2,2117,766.0,The Stutz,8,,,,,,,,
INDSTU008,3,2008,767.0,The Stutz,8,,,,,,,,
INDSTU009,0,2345,627.0,The Stutz,9,,,,,,,,
INDSTU009,1,2507,628.0,The Stutz,9,,,,,,,,
INDSTU009,2,2507,452.0,The Stutz,9,,,,,,,,
INDSTU009,3,2347,450.0,The Stutz,9,,,,,,,,
INDSTU010,0,2118,871.0,The Stutz,10,,,,,,,,
